"Subject"	"numTrials"	"numArtifact"	"numIncorrect"	"numAccept"
1	223	27	15	181
2	255	54	9	193
3	253	12	2	239
4	248	94	10	150
5	250	37	8	206
6	250	82	25	150
7	253	127	5	126
8	255	22	26	209
9	156	19	23	117
10	253	17	4	232
11	254	3	21	230
12	255	11	5	241
13	255	19	4	235
14	209	8	10	191
15	252	17	23	212
16	255	11	13	231
17	250	47	18	186
18	254	33	6	217
19	248	7	4	237
20	253	11	39	207
21	253	2	8	243
22	246	102	26	128
23	252	30	15	208
24	250	15	5	230
25	250	79	12	162
26	251	33	14	208
27	206	53	15	140
28	256	18	13	230
29	245	59	3	183
30	255	1	4	250
31	254	67	3	185
32	122	9	2	112
33	252	135	15	110
34	206	62	16	129
35	251	40	31	186
36	256	23	13	221
37	254	9	7	238
38	248	46	11	192
39	222	35	4	185
40	249	2	24	223
41	256	32	12	213
42	255	7	4	245
43	254	21	10	224
44	256	18	1	237
45	251	9	12	230
46	235	30	13	195
47	251	68	54	147
48	242	19	30	196
49	251	62	4	186
50	253	25	36	195
51	247	178	3	68
52	256	81	27	159
53	256	122	32	120
54	256	46	24	195
55	256	11	7	238
56	245	8	34	204
57	256	19	11	227
58	256	34	10	213
59	256	108	6	145
60	256	11	9	242
61	256	44	18	197
62	209	102	9	103
63	256	41	6	210
64	256	4	23	231
66	256	12	100	150
