"Subject"	"numTrials"	"numArtifact"	"numIncorrect"	"numAccept"
1	223	19	15	189
2	255	23	9	223
3	253	7	2	244
4	248	79	10	162
5	250	3	8	239
6	250	23	25	205
7	253	49	5	201
8	255	8	26	221
9	251	22	40	193
10	253	2	4	247
11	254	0	21	233
12	255	5	5	245
13	255	7	4	244
14	209	1	10	198
15	252	1	23	228
16	255	4	13	238
17	250	48	18	186
18	254	23	6	226
19	248	11	4	233
20	253	4	39	213
21	253	1	8	244
22	246	17	26	204
23	252	10	15	227
24	250	4	5	241
25	250	16	12	226
26	251	1	14	236
27	206	30	15	162
28	256	1	13	242
29	245	15	3	227
30	255	0	4	251
31	254	8	3	243
32	122	8	2	113
33	252	93	15	148
34	206	2	16	188
35	251	21	31	203
36	256	5	13	238
37	254	0	7	247
38	248	35	11	203
39	222	10	4	208
40	249	5	24	220
41	256	5	12	239
42	255	2	4	249
43	254	6	10	238
44	256	6	1	249
45	251	3	12	236
46	235	10	13	213
47	251	40	54	169
48	242	5	30	207
49	251	10	4	237
50	253	28	36	192
51	247	140	3	106
52	256	14	27	217
53	256	61	32	171
54	256	28	24	208
55	256	1	7	248
56	245	3	34	208
57	256	6	11	240
58	256	17	10	229
59	256	14	6	236
60	256	1	9	246
61	256	8	18	232
62	209	79	9	122
63	256	9	6	241
64	256	4	23	229
66	256	4	100	153
