"Race"	"Fix"	"rescaleTrial"	"MeanAmp"	"plo"	"phi"	"Condition"
"Black"	"eyes"	1	1.05946059377332	0.360831045945698	1.75809014160095	"Black, eyes"
"White"	"eyes"	1	0.529147314058321	-0.129777287116678	1.18807191523332	"White, eyes"
"Black"	"forehead"	1	0.943742152058632	0.322110005765833	1.56537429835143	"Black, forehead"
"White"	"forehead"	1	0.304503821693543	-0.339773628806862	0.948781272193947	"White, forehead"
"Black"	"eyes"	2	1.23114901015135	0.536261829862161	1.92603619044055	"Black, eyes"
"White"	"eyes"	2	0.633685403567856	-0.0213282259993542	1.28869903313507	"White, eyes"
"Black"	"forehead"	2	1.04534121543923	0.427882168529296	1.66280026234917	"Black, forehead"
"White"	"forehead"	2	0.407445840628249	-0.232865581186452	1.04775726244295	"White, forehead"
"Black"	"eyes"	3	1.40283742652938	0.710614122327238	2.09506073073153	"Black, eyes"
"White"	"eyes"	3	0.738223493077391	0.0859992985484972	1.39044768760629	"White, eyes"
"Black"	"forehead"	3	1.14694027881984	0.5324538679957	1.76142668964397	"Black, forehead"
"White"	"forehead"	3	0.510387859562954	-0.127111320952332	1.14788704007824	"White, forehead"
"Black"	"eyes"	4	1.57452584290741	0.883875443827931	2.26517624198689	"Black, eyes"
"White"	"eyes"	4	0.842761582586926	0.192190860018047	1.4933323051558	"White, eyes"
"Black"	"forehead"	4	1.24853934220044	0.635807631959823	1.86127105244106	"Black, forehead"
"White"	"forehead"	4	0.61332987849766	-0.0225261570773705	1.24918591407269	"White, forehead"
"Black"	"eyes"	5	1.74621425928544	1.05603833538299	2.43639018318789	"Black, eyes"
"White"	"eyes"	5	0.947299672096461	0.297237790177827	1.5973615540151	"White, eyes"
"Black"	"forehead"	5	1.35013840558104	0.737932987807308	1.96234382335478	"Black, forehead"
"White"	"forehead"	5	0.716271897432366	0.0808808403935031	1.35166295447123	"White, forehead"
"Black"	"eyes"	6	1.91790267566347	1.22710053362974	2.6087048176972	"Black, eyes"
"White"	"eyes"	6	1.051837761606	0.40113740375434	1.70253811945765	"White, eyes"
"Black"	"forehead"	6	1.45173746896165	0.838826771111708	2.06464816681158	"Black, forehead"
"White"	"forehead"	6	0.819213916367072	0.183107087822551	1.45532074491159	"White, forehead"
"Black"	"eyes"	7	2.0895910920415	1.39706502447435	2.78211715960865	"Black, eyes"
"White"	"eyes"	7	1.15637585111553	0.5038930688003	1.80885863343076	"White, eyes"
"Black"	"forehead"	7	1.55333653234225	0.938493220028824	2.16817984465567	"Black, forehead"
"White"	"forehead"	7	0.922155935301778	0.284156559247844	1.56015531135571	"White, forehead"
"Black"	"eyes"	8	2.26127950841953	1.56593997236574	2.95661904447331	"Black, eyes"
"White"	"eyes"	8	1.26091394062507	0.60551411849185	1.91631376275828	"White, eyes"
"Black"	"forehead"	8	1.65493559572285	1.03694384899443	2.27292734245127	"Black, forehead"
"White"	"forehead"	8	1.02509795423648	0.38403967690307	1.6661562315699	"White, forehead"
"Black"	"eyes"	9	2.43296792479756	1.73373852906479	3.13219732053032	"Black, eyes"
"White"	"eyes"	9	1.3654520301346	0.706015609687904	2.0248884505813	"White, eyes"
"Black"	"forehead"	9	1.75653465910345	1.1341971104029	2.37887220780401	"Black, forehead"
"White"	"forehead"	9	1.12803997317119	0.482773027947435	1.77330691839494	"White, forehead"
"Black"	"eyes"	10	2.60465634117558	1.90047853221541	3.30883415013576	"Black, eyes"
"White"	"eyes"	10	1.46999011964414	0.805417942604103	2.13456229668417	"White, eyes"
"Black"	"forehead"	10	1.85813372248406	1.23027786705939	2.48598957790873	"Black, forehead"
"White"	"forehead"	10	1.2309819921059	0.580378925077048	1.88158505913474	"White, forehead"
"Black"	"eyes"	11	2.77634475755361	2.06618210947576	3.48650740563147	"Black, eyes"
"White"	"eyes"	11	1.57452820915367	0.903746363465537	2.2453100548418	"White, eyes"
"Black"	"forehead"	11	1.95973278586466	1.32521670960675	2.59424886212257	"Black, forehead"
"White"	"forehead"	11	1.3339240110406	0.67688483745616	1.99096318462504	"White, forehead"
"Black"	"eyes"	12	2.94803317393164	2.23087520797451	3.66519113988878	"Black, eyes"
"White"	"eyes"	12	1.67906629866321	1.00103037731486	2.35710222001155	"White, eyes"
"Black"	"forehead"	12	2.06133184924526	1.41904916067372	2.7036145378168	"Black, forehead"
"White"	"forehead"	12	1.43686602997531	0.772322724396248	2.10140933555437	"White, forehead"
"Black"	"eyes"	13	3.11972159030967	2.3945870711586	3.84485610946074	"Black, eyes"
"White"	"eyes"	13	1.78360438817274	1.09730310091072	2.46990567543476	"White, eyes"
"Black"	"forehead"	13	2.16293091262586	1.51181481067637	2.81404701457536	"Black, forehead"
"White"	"forehead"	13	1.53980804891001	0.866728307034211	2.21288779078581	"White, forehead"
"Black"	"eyes"	14	3.2914100066877	2.5573496856575	4.0254703277179	"Black, eyes"
"White"	"eyes"	14	1.88814247768228	1.19260058585895	2.58368436950561	"White, eyes"
"Black"	"forehead"	14	2.26452997600647	1.60355642920798	2.92550352280496	"Black, forehead"
"White"	"forehead"	14	1.64275006784472	0.960140312988047	2.32535982270139	"White, forehead"
"Black"	"eyes"	15	3.46309842306573	2.71919721976295	4.2069996263685	"Black, eyes"
"White"	"eyes"	15	1.99268056719181	1.28696114008942	2.6983999942942	"White, eyes"
"Black"	"forehead"	15	2.36612903938707	1.69431909149473	3.03793898727941	"Black, forehead"
"White"	"forehead"	15	1.74569208677942	1.05259972605424	2.43878444750461	"White, forehead"
"Black"	"eyes"	16	3.63478683944376	2.88016547282504	4.38940820606248	"Black, eyes"
"White"	"eyes"	16	2.09721865670135	1.38042467205642	2.81401264134627	"White, eyes"
"Black"	"forehead"	16	2.46772810276767	1.78414935252955	3.15130685300579	"Black, forehead"
"White"	"forehead"	16	1.84863410571413	1.14414906816261	2.55311914326565	"White, forehead"
"Black"	"eyes"	17	3.80647525582179	3.04029135168549	4.57265915995809	"Black, eyes"
"White"	"eyes"	17	2.20175674621088	1.4730320772299	2.93048141519187	"White, eyes"
"Black"	"forehead"	17	2.56932716614828	1.87309449337475	3.2655598389218	"Black, forehead"
"White"	"forehead"	17	1.95157612464884	1.23483173482736	2.66832051447032	"White, forehead"
"Black"	"eyes"	18	3.97816367219982	3.19961238662165	4.75671495777798	"Black, eyes"
"White"	"eyes"	18	2.30629483572042	1.56482468118645	3.04776499025438	"White, eyes"
"Black"	"forehead"	18	2.67092622952888	1.96120185579786	3.3806506032599	"Black, forehead"
"White"	"forehead"	18	2.05451814358354	1.3246913989959	2.78434488817119	"White, forehead"
"Black"	"eyes"	19	4.14985208857785	3.35816629553168	4.94153788162401	"Black, eyes"
"White"	"eyes"	19	2.41083292522995	1.65584374843821	3.16582210202169	"White, eyes"
"Black"	"forehead"	19	2.77252529290948	2.04851827369719	3.49653231212178	"Black, forehead"
"White"	"forehead"	19	2.15746016251825	1.41377149213361	2.90114883290288	"White, forehead"
"Black"	"eyes"	20	4.32154050495588	3.51599060155778	5.12709040835397	"Black, eyes"
"White"	"eyes"	20	2.51537101473949	1.74613006145789	3.28461196802109	"White, eyes"
"Black"	"forehead"	20	2.87412435629008	2.13508960322382	3.61315910935635	"Black, forehead"
"White"	"forehead"	20	2.26040218145295	1.50211476604257	3.01868959686334	"White, forehead"
"Black"	"eyes"	21	4.4932289213339	3.67312230623067	5.31333553643713	"Black, eyes"
"White"	"eyes"	21	2.61990910424902	1.83572357042212	3.40409463807592	"White, eyes"
"Black"	"forehead"	21	2.97572341967069	2.22096034838207	3.7304864909593	"Black, forehead"
"White"	"forehead"	21	2.36334420038766	1.58976293455368	3.13692546622164	"White, forehead"
"Black"	"eyes"	22	4.66491733771193	3.82959761764942	5.50023705777444	"Black, eyes"
"White"	"eyes"	22	2.72444719375856	1.92466311111747	3.52423127639965	"White, eyes"
"Black"	"forehead"	22	3.07732248305129	2.30617337523064	3.84847159087194	"Black, forehead"
"White"	"forehead"	22	2.46628621932236	1.67675639094533	3.2558160476994	"White, forehead"
"Black"	"eyes"	23	4.83660575408996	3.98545173122901	5.68775977695092	"Black, eyes"
"White"	"eyes"	23	2.82898528326809	2.0129861862382	3.64498438029798	"White, eyes"
"Black"	"forehead"	23	3.17892154643189	2.3907697054936	3.96707338737018	"Black, forehead"
"White"	"forehead"	23	2.56922823825707	1.76313399468931	3.37532248182484	"White, forehead"
"Black"	"eyes"	24	5.00829417046799	4.14071865913926	5.87586968179672	"Black, eyes"
"White"	"eyes"	24	2.93352337277763	2.10072880387962	3.76631794167563	"White, eyes"
"Black"	"forehead"	24	3.28052060981249	2.47478837921321	4.08625284041178	"Black, forehead"
"White"	"forehead"	24	2.67217025719178	1.84893291978698	3.49540759459657	"White, forehead"
"Black"	"eyes"	25	5.17998258684602	4.29543110366369	6.06453407002835	"Black, eyes"
"White"	"eyes"	25	3.03806146228716	2.1879253662747	3.88819755829962	"White, eyes"
"Black"	"forehead"	25	3.3821196731931	2.55826637578582	4.20597297060038	"Black, forehead"
"White"	"forehead"	25	2.77511227612648	1.93418855636956	3.6160359958834	"White, forehead"
"Black"	"eyes"	26	5.35167100322405	4.44962036924575	6.25372163720235	"Black, eyes"
"White"	"eyes"	26	3.1425995517967	2.27460860159878	4.01059050199461	"White, eyes"
"Black"	"forehead"	26	3.4837187365737	2.64123858307365	4.32619889007375	"Black, forehead"
"White"	"forehead"	26	2.87805429506119	2.01893445722101	3.73717413290136	"White, forehead"
"Black"	"eyes"	27	5.52335941960208	4.60331630787357	6.44340253133059	"Black, eyes"
"White"	"eyes"	27	3.24713764130623	2.36080953183857	4.13346575077389	"White, eyes"
"Black"	"forehead"	27	3.5853177999543	2.72373780505868	4.44689779484992	"Black, forehead"
"White"	"forehead"	27	2.98099631399589	2.10320232127353	3.85879030671826	"White, forehead"
"Black"	"eyes"	28	5.69504783598011	4.75654729259435	6.63354837936586	"Black, eyes"
"White"	"eyes"	28	3.35167573081577	2.44655747016447	4.25679399146706	"White, eyes"
"Black"	"forehead"	28	3.6869168633349	2.80579479952225	4.56803892714756	"Black, forehead"
"White"	"forehead"	28	3.0839383329306	2.18702200677934	3.98085465908186	"White, forehead"
"Black"	"eyes"	29	5.86673625235814	4.90934021426863	6.82413229044764	"Black, eyes"
"White"	"eyes"	29	3.4562138203253	2.53188004185498	4.38054759879562	"White, eyes"
"Black"	"forehead"	29	3.78851592671551	2.88743833835762	4.68959351507339	"Black, forehead"
"White"	"forehead"	29	3.18688035186531	2.27042156766272	4.1033391360679	"White, forehead"
"Black"	"eyes"	30	6.03842466873616	5.06172049710515	7.01512884036718	"Black, eyes"
"White"	"eyes"	30	3.56075190983484	2.61680322351609	4.50470059615358	"White, eyes"
"Black"	"forehead"	30	3.89011499009611	2.9686952842538	4.81153469593842	"Black, forehead"
"White"	"forehead"	30	3.28982237080001	2.3534273074129	4.22621743418712	"White, forehead"
"Black"	"eyes"	31	6.21011308511419	5.21371212900705	7.20651404122134	"Black, eyes"
"White"	"eyes"	31	3.66528999934437	2.70135139605605	4.62922860263269	"White, eyes"
"Black"	"forehead"	31	3.99171405347671	3.04959067856319	4.93383742839023	"Black, forehead"
"White"	"forehead"	31	3.39276438973472	2.43606384573067	4.34946493373877	"White, forehead"
"Black"	"eyes"	32	6.38180150149222	5.36533770326876	7.39826529971568	"Black, eyes"
"White"	"eyes"	32	3.76982808885391	2.78554740757399	4.75410877013382	"White, eyes"
"Black"	"forehead"	32	4.09331311685732	3.13014783614345	5.05647839757118	"Black, forehead"
"White"	"forehead"	32	3.49570640866942	2.51835419394447	4.47305862339438	"White, forehead"
"Black"	"eyes"	33	6.55348991787025	5.51661846866146	7.59036136707904	"Black, eyes"
"White"	"eyes"	33	3.87436617836344	2.86941264297131	4.87931971375557	"White, eyes"
"Black"	"forehead"	33	4.19491218023792	3.21038844382672	5.17943591664911	"Black, forehead"
"White"	"forehead"	33	3.59864842760413	2.60031983594398	4.59697701926428	"White, forehead"
"Black"	"eyes"	34	6.72517833424828	5.66757438541504	7.78278228308152	"Black, eyes"
"White"	"eyes"	34	3.97890426787298	2.95296709768257	5.00484143806338	"White, eyes"
"Black"	"forehead"	34	4.29651124361852	3.29033265991096	5.30268982732609	"Black, forehead"
"White"	"forehead"	34	3.70159044653884	2.68198081202534	4.72120008105233	"White, forehead"
"Black"	"eyes"	35	6.89686675062631	5.81822418503342	7.9755093162192	"Black, eyes"
"White"	"eyes"	35	4.08344235738251	3.0362294534397	5.13065526132532	"White, eyes"
"Black"	"forehead"	35	4.39811030699912	3.36999921269232	5.42622140130592	"Black, forehead"
"White"	"forehead"	35	3.80453246547354	2.76335580360123	4.84570912734585	"White, forehead"
"Black"	"eyes"	36	7.06855516700434	5.9685854322626	8.16852490174607	"Black, eyes"
"White"	"eyes"	36	4.18798044689205	3.11921715442956	5.25674373935453	"White, eyes"
"Black"	"forehead"	36	4.49970937037973	3.4494054965737	5.55001324418576	"Black, forehead"
"White"	"forehead"	36	3.90747448440825	2.84446221720215	4.97048675161434	"White, forehead"
"Black"	"eyes"	37	7.24024358338237	6.11867458786553	8.3618125788992	"Black, eyes"
"White"	"eyes"	37	4.29251853640158	3.20194648258256	5.3830905902206	"White, eyes"
"Black"	"forehead"	37	4.60130843376033	3.52856766470313	5.67404920281753	"Black, forehead"
"White"	"forehead"	37	4.01041650334295	2.92531626658971	5.0955167400962	"White, forehead"
"Black"	"eyes"	38	7.4119319997604	6.26850707114491	8.55535692837588	"Black, eyes"
"White"	"eyes"	38	4.39705662591112	3.28443263104506	5.50968062077717	"White, eyes"
"Black"	"forehead"	38	4.70290749714093	3.60750071743159	5.79831427685027	"Black, forehead"
"White"	"forehead"	38	4.11335852227766	3.00593305212561	5.22078399242971	"White, forehead"
"Black"	"eyes"	39	7.58362041613842	6.41809732139863	8.74914351087822	"Black, eyes"
"White"	"eyes"	39	4.50159471542065	3.36668977514713	5.63649965569417	"White, eyes"
"Black"	"forehead"	39	4.80450656052153	3.6862185861432	5.92279453489987	"Black, forehead"
"White"	"forehead"	39	4.21630054121236	3.08632663680162	5.34627444562311	"White, forehead"
"Black"	"eyes"	40	7.75530883251645	6.56745885769548	8.94315880733743	"Black, eyes"
"White"	"eyes"	40	4.60613280493019	3.44873114038686	5.76353446947351	"White, eyes"
"Black"	"forehead"	40	4.90610562390214	3.76473421221554	6.04747703558874	"Black, forehead"
"White"	"forehead"	40	4.31924256014707	3.16651011854352	5.47197500175062	"White, forehead"
"Black"	"eyes"	41	7.92699724889448	6.71660433652661	9.13739016126236	"Black, eyes"
"White"	"eyes"	41	4.71067089443972	3.53056906712017	5.89077272175927	"White, eyes"
"Black"	"forehead"	41	5.00770468728274	3.8430596210235	6.17234975354199	"Black, forehead"
"White"	"forehead"	41	4.42218457908178	3.24649569856553	5.59787345959802	"White, forehead"
"Black"	"eyes"	42	8.09868566527251	6.86554560702429	9.33182572352073	"Black, eyes"
"White"	"eyes"	42	4.81520898394925	3.61221507177717	6.01820289612134	"White, eyes"
"Black"	"forehead"	42	5.10930375066334	3.9212059910161	6.29740151031058	"Black, forehead"
"White"	"forehead"	42	4.52512659801648	3.32629474567771	5.72395845035526	"White, forehead"
"Black"	"eyes"	43	8.27037408165054	7.0142937635497	9.52645439975138	"Black, eyes"
"White"	"eyes"	43	4.91974707345879	3.69367990452874	6.14581424238884	"White, eyes"
