"FZ"	"FC3"	"FCZ"	"FC4"	"C3"	"CZ"	"C4"	"CP3"	"CPZ"	"CP4"	"P3"	"PZ"	"P4"	"OZ"	"P8"	"TP7"	"TP8"	"P7"	"Subject"	"Points"	"Time"	"Trial"	"Rejected"	"Correct"
-37.5977	-24.8413	-31.5552	-30.8838	-18.7988	-20.4773	-19.1345	-11.4136	-13.092	-9.0637	-2.0142	-3.0212	2.3499	7.0496	11.9171	-13.7634	-15.1062	3.0212	20	231	130	1	1	2
-38.269	-26.3519	-32.2266	-31.3873	-19.6381	-20.4773	-19.3024	-11.7493	-13.092	-9.2316	-2.182	-3.1891	1.8463	6.8817	11.2457	-13.5956	-15.6097	2.6855	20	232	131	1	1	2
-38.6047	-27.8625	-32.5623	-31.8909	-20.3094	-20.3094	-19.3024	-12.085	-13.092	-9.3994	-2.3499	-3.3569	1.3428	6.8817	10.7422	-13.5956	-15.9454	2.3499	20	233	132	1	1	2
-39.2761	-29.541	-33.0658	-32.3944	-21.1487	-20.4773	-19.3024	-12.4207	-13.092	-9.7351	-2.5177	-3.5248	0.8392	6.7139	10.0708	-13.9313	-16.2811	1.5106	20	234	133	1	1	2
-40.2832	-31.2195	-33.905	-32.8979	-21.9879	-20.6451	-19.4702	-12.9242	-13.5956	-10.0708	-3.0212	-3.8605	0.1678	6.7139	9.3994	-14.4348	-16.7847	0.8392	20	235	134	1	1	2
-40.7867	-32.8979	-34.5764	-33.4015	-22.995	-20.813	-19.6381	-13.5956	-13.7634	-10.4065	-3.5248	-4.1962	-0.5035	6.546	8.728	-14.9384	-17.2882	-0.1678	20	236	135	1	1	2
-41.626	-34.4086	-34.9121	-33.7372	-24.0021	-20.9808	-19.8059	-14.0991	-14.0991	-10.5743	-4.0283	-4.5319	-1.1749	6.546	8.0566	-15.7776	-17.6239	-1.0071	20	237	136	1	1	2
-42.2974	-35.9192	-35.5835	-34.0729	-24.8413	-21.3165	-19.9738	-14.7705	-14.6027	-11.0779	-4.6997	-5.0354	-1.8463	6.546	7.5531	-16.7847	-18.2953	-2.0142	20	238	137	1	1	2
-42.6331	-36.7584	-36.087	-34.0729	-25.5127	-21.1487	-19.9738	-15.274	-14.6027	-11.2457	-5.2032	-5.2032	-2.3499	6.3782	6.8817	-17.6239	-18.631	-3.1891	20	239	138	1	1	2
-43.1366	-37.0941	-36.2549	-33.905	-25.6805	-20.9808	-19.8059	-15.4419	-14.6027	-11.4136	-5.5389	-5.3711	-2.6855	6.3782	6.3782	-18.4631	-18.9667	-4.0283	20	240	139	1	1	2
-43.3044	-37.4298	-36.2549	-33.7372	-26.0162	-20.813	-19.4702	-15.9454	-14.7705	-11.4136	-5.8746	-5.5389	-3.0212	6.3782	5.8746	-19.4702	-19.4702	-5.0354	20	241	140	1	1	2
-43.3044	-37.0941	-35.9192	-32.8979	-25.8484	-20.4773	-19.1345	-15.7776	-14.4348	-11.2457	-6.0425	-5.3711	-3.1891	6.2103	5.7068	-19.9738	-19.4702	-5.7068	20	242	141	1	1	2
-43.3044	-36.9263	-35.9192	-32.3944	-25.6805	-20.1416	-18.631	-15.7776	-14.6027	-11.0779	-6.0425	-5.3711	-3.3569	6.2103	5.2032	-20.4773	-19.8059	-6.3782	20	243	142	1	1	2
-42.9688	-36.4227	-35.5835	-31.3873	-25.5127	-19.6381	-18.1274	-15.6097	-14.267	-11.0779	-6.2103	-5.0354	-3.5248	6.0425	4.8676	-20.4773	-19.8059	-6.7139	20	244	143	1	1	2
-42.8009	-36.087	-34.9121	-30.3802	-25.177	-19.1345	-17.4561	-15.4419	-13.9313	-10.91	-6.0425	-4.6997	-3.5248	6.0425	4.5319	-20.1416	-19.9738	-6.7139	20	245	144	1	1	2
-42.6331	-35.9192	-34.5764	-29.541	-25.177	-18.7988	-17.1204	-15.274	-13.9313	-10.91	-5.8746	-4.8676	-3.6926	6.0425	4.0283	-19.6381	-20.4773	-7.0496	20	246	145	1	1	2
-42.2974	-35.5835	-34.2407	-28.5339	-24.6735	-18.2953	-16.6168	-15.1062	-13.4277	-10.91	-5.7068	-4.364	-3.8605	6.0425	3.5248	-18.9667	-21.1487	-6.7139	20	247	146	1	1	2
-42.1295	-35.4156	-33.7372	-27.6947	-24.5056	-17.9596	-16.2811	-14.7705	-13.4277	-10.91	-5.5389	-4.1962	-4.1962	6.0425	3.0212	-17.9596	-21.9879	-6.2103	20	248	147	1	1	2
-41.9617	-35.2478	-33.4015	-27.1912	-24.3378	-17.6239	-16.1133	-14.6027	-13.092	-11.2457	-5.2032	-4.0283	-4.364	6.0425	2.5177	-17.1204	-22.995	-5.8746	20	249	148	1	1	2
-42.1295	-35.4156	-33.2336	-27.0233	-24.3378	-17.4561	-16.449	-14.4348	-13.2599	-11.5814	-5.2032	-4.0283	-4.6997	5.8746	1.8463	-16.2811	-24.3378	-5.5389	20	250	149	1	1	2
-42.2974	-35.4156	-33.2336	-27.359	-24.5056	-17.6239	-16.9525	-14.6027	-13.4277	-12.4207	-5.2032	-4.364	-5.5389	6.0425	0.8392	-15.7776	-25.8484	-5.2032	20	251	150	1	1	2
-42.6331	-35.4156	-33.2336	-27.8625	-24.5056	-17.6239	-17.6239	-14.6027	-13.7634	-13.092	-5.3711	-4.364	-5.8746	6.0425	0.1678	-15.4419	-27.1912	-5.0354	20	252	151	1	1	2
-43.3044	-35.7513	-33.5693	-28.8696	-24.6735	-17.9596	-18.7988	-14.7705	-13.9313	-14.0991	-5.5389	-4.8676	-6.8817	6.2103	-0.6714	-15.4419	-28.8696	-5.0354	20	253	152	1	1	2
-43.3044	-35.5835	-33.2336	-29.541	-24.5056	-17.9596	-19.6381	-14.6027	-14.0991	-14.7705	-5.3711	-4.8676	-7.2174	6.3782	-1.1749	-15.4419	-29.7089	-4.8676	20	254	153	1	1	2
-43.3044	-35.2478	-33.0658	-30.5481	-24.5056	-17.9596	-20.4773	-14.6027	-14.4348	-15.4419	-5.5389	-5.0354	-7.8888	6.546	-1.8463	-15.4419	-30.8838	-4.8676	20	255	154	1	1	2
-42.9688	-34.7443	-32.7301	-31.3873	-24.1699	-17.9596	-21.3165	-14.4348	-14.267	-16.1133	-5.5389	-5.2032	-8.3923	6.7139	-2.182	-15.4419	-31.5552	-4.6997	20	256	155	1	1	2
-42.8009	-34.0729	-32.3944	-32.2266	-23.8342	-17.7917	-22.1558	-14.267	-14.4348	-16.6168	-5.7068	-5.3711	-8.728	6.7139	-2.5177	-15.4419	-32.0587	-4.5319	20	257	156	1	1	2
-42.6331	-33.5693	-32.0587	-33.2336	-23.6664	-17.7917	-23.1628	-14.267	-14.6027	-17.2882	-5.8746	-5.5389	-9.2316	6.546	-3.0212	-15.6097	-32.5623	-4.5319	20	258	157	1	1	2
-42.6331	-33.0658	-31.8909	-34.2407	-23.6664	-17.9596	-24.0021	-14.267	-14.9384	-17.9596	-6.2103	-5.8746	-9.7351	6.3782	-3.3569	-15.7776	-33.0658	-4.5319	20	259	158	1	1	2
-42.4652	-32.8979	-31.723	-35.4156	-23.4985	-18.1274	-25.0092	-14.267	-15.1062	-18.7988	-6.546	-6.546	-10.4065	6.0425	-3.8605	-15.6097	-33.4015	-4.5319	20	260	159	1	1	2
-42.4652	-32.5623	-31.5552	-36.2549	-23.4985	-18.1274	-26.0162	-14.0991	-15.274	-19.3024	-6.546	-6.7139	-10.91	5.7068	-4.0283	-15.4419	-33.4015	-4.1962	20	261	160	1	1	2
-42.6331	-32.5623	-31.723	-37.4298	-23.4985	-18.631	-26.8555	-14.267	-15.7776	-19.9738	-6.7139	-7.0496	-11.4136	5.3711	-4.364	-15.4419	-33.7372	-3.8605	20	262	161	1	1	2
-42.8009	-32.8979	-32.0587	-38.6047	-23.8342	-18.9667	-27.8625	-14.4348	-16.2811	-20.6451	-7.0496	-7.5531	-11.9171	5.0354	-4.6997	-15.274	-33.7372	-3.6926	20	263	162	1	1	2
-43.3044	-33.0658	-32.2266	-39.6118	-23.8342	-19.4702	-28.5339	-14.4348	-16.7847	-21.1487	-7.3853	-8.0566	-12.2528	4.6997	-4.8676	-14.9384	-33.7372	-3.5248	20	264	163	1	1	2
-43.4723	-33.0658	-32.3944	-40.2832	-24.0021	-19.9738	-29.3732	-14.7705	-16.9525	-21.6522	-7.5531	-8.5602	-12.7563	4.364	-5.0354	-14.9384	-33.4015	-3.1891	20	265	164	1	1	2
-43.6401	-33.0658	-32.7301	-40.7867	-24.1699	-20.1416	-29.7089	-14.7705	-17.4561	-21.9879	-7.7209	-8.8959	-13.092	4.1962	-5.0354	-14.6027	-33.4015	-2.8534	20	266	165	1	1	2
-43.4723	-32.7301	-32.5623	-40.9546	-23.8342	-20.3094	-29.8767	-14.6027	-17.4561	-21.9879	-7.7209	-9.0637	-13.092	4.0283	-5.0354	-14.0991	-32.7301	-2.6855	20	267	166	1	1	2
-42.8009	-31.8909	-32.2266	-40.451	-23.1628	-20.1416	-29.3732	-14.4348	-17.2882	-21.4844	-7.7209	-8.8959	-12.7563	3.8605	-4.6997	-13.5956	-32.0587	-2.6855	20	268	167	1	1	2
