[Subject]	
[Date]	01/29/2016
[Time]	15:07:28
[Channels]	24
[Rate]	1000.000000
[Type]	Average
[Points]	1101
[Xmin]	-100.00000
[Sweeps]	248
[Accepted]	59
[Rejected]	189
[Domain]	Time
[Rows]	Points
[Electrode Labels]
[      FZ]	[     FC3]	[     FCZ]	[     FC4]	[      C3]	[      CZ]	[      C4]	[     CP3]	[     CPZ]	[     CP4]	[      P3]	[      PZ]	[      P4]	[      Oz]	[     FP1]	[     FP2]	[      A2]	[   P8/T6]	[     TP7]	[     TP8]	[   P7/T5]	[    VEOG]	[    HEOG]	[    Nose]	
[Average Data]
    -0.0427	    -0.0996	     0.3328	     0.4410	     0.0740	     0.7966	     0.2731	     0.5007	     0.6685	     0.0967	     0.6429	     0.4779	    -0.1593	    -1.1749	    -0.1081	    -0.3528	     2.3157	    -0.9104	     0.5946	    -0.7311	     0.6742	    -0.8876	    -0.0711	    -0.4694	
    -0.0740	    -0.1109	     0.2902	     0.3784	     0.0825	     0.7510	     0.2162	     0.5064	     0.6230	     0.0541	     0.6116	     0.4153	    -0.2503	    -1.2432	    -0.0569	    -0.2788	     2.4636	    -0.9872	     0.5519	    -0.7966	     0.6316	    -0.7909	    -0.0541	    -0.5291	
    -0.1593	    -0.1622	     0.2077	     0.2816	     0.0569	     0.6657	     0.1024	     0.4722	     0.5633	    -0.0427	     0.5462	     0.3129	    -0.3755	    -1.3058	    -0.0654	    -0.2247	     2.5831	    -1.0924	     0.4865	    -0.8705	     0.5804	    -0.7084	    -0.0313	    -0.6287	
    -0.2447	    -0.1963	     0.0939	     0.1764	     0.0256	     0.5718	    -0.0028	     0.4353	     0.4893	    -0.1337	     0.4751	     0.2276	    -0.4836	    -1.3399	    -0.0597	    -0.1678	     2.6571	    -1.1920	     0.4239	    -0.9303	     0.4950	    -0.6088	    -0.0370	    -0.6970	
    -0.3414	    -0.2532	     0.0085	     0.0683	    -0.0142	     0.4865	    -0.0996	     0.4239	     0.4353	    -0.1935	     0.4210	     0.1678	    -0.5491	    -1.3542	    -0.0654	    -0.1337	     2.6742	    -1.2432	     0.3471	    -0.9445	     0.4523	    -0.5178	    -0.0370	    -0.7311	
    -0.4381	    -0.3414	    -0.0939	    -0.0484	    -0.0768	     0.3869	    -0.1991	     0.3755	     0.3755	    -0.2930	     0.3613	     0.0939	    -0.6259	    -1.3399	    -0.0512	    -0.0740	     2.6571	    -1.3115	     0.2788	    -0.9843	     0.3670	    -0.4182	    -0.0256	    -0.7738	
    -0.5576	    -0.4125	    -0.2247	    -0.1508	    -0.1394	     0.2845	    -0.3243	     0.3215	     0.2959	    -0.3841	     0.3016	     0.0199	    -0.7141	    -1.3314	    -0.0512	    -0.0341	     2.6201	    -1.3598	     0.1821	    -1.0042	     0.2845	    -0.3129	    -0.0455	    -0.7596	
    -0.6629	    -0.4950	    -0.3215	    -0.2418	    -0.1792	     0.2191	    -0.3983	     0.2703	     0.2731	    -0.4068	     0.2361	    -0.0228	    -0.7311	    -1.2944	    -0.0768	     0.0000	     2.5888	    -1.3741	     0.0768	    -1.0014	     0.1906	    -0.2134	    -0.0512	    -0.7510	
    -0.7482	    -0.5604	    -0.3670	    -0.3044	    -0.2247	     0.1622	    -0.4836	     0.2276	     0.2304	    -0.4353	     0.1991	    -0.0370	    -0.7653	    -1.2574	    -0.0512	     0.0711	     2.4921	    -1.3598	     0.0199	    -0.9815	     0.1394	    -0.1252	    -0.0740	    -0.7084	
    -0.8136	    -0.6145	    -0.4438	    -0.3442	    -0.2390	     0.1138	    -0.5064	     0.2162	     0.2020	    -0.4438	     0.1849	    -0.0341	    -0.7823	    -1.2091	    -0.0398	     0.1223	     2.3868	    -1.3314	    -0.0256	    -0.9445	     0.0910	    -0.0569	    -0.1053	    -0.6486	
    -0.8506	    -0.6287	    -0.4722	    -0.3499	    -0.2048	     0.1109	    -0.5064	     0.2247	     0.2134	    -0.4210	     0.1906	    -0.0028	    -0.7311	    -1.1209	     0.0114	     0.1906	     2.2133	    -1.2603	    -0.0341	    -0.8734	     0.0768	    -0.0142	    -0.1252	    -0.5747	
    -0.8591	    -0.6344	    -0.5064	    -0.3272	    -0.2048	     0.1166	    -0.4865	     0.2333	     0.2816	    -0.3869	     0.2105	     0.0341	    -0.6600	    -0.9957	     0.1081	     0.2617	     1.9857	    -1.1692	    -0.0512	    -0.7852	     0.0512	     0.0057	    -0.1366	    -0.4637	
    -0.8108	    -0.6031	    -0.4637	    -0.2845	    -0.1280	     0.1650	    -0.4353	     0.2930	     0.3926	    -0.2760	     0.2873	     0.1394	    -0.5462	    -0.8563	     0.2048	     0.3243	     1.6870	    -1.0441	     0.0085	    -0.6799	     0.1053	    -0.0114	    -0.1650	    -0.3442	
    -0.7596	    -0.5263	    -0.4210	    -0.2020	    -0.0370	     0.2247	    -0.3613	     0.3812	     0.4865	    -0.1422	     0.3869	     0.2703	    -0.3812	    -0.6828	     0.3158	     0.3954	     1.3598	    -0.8848	     0.0711	    -0.5405	     0.1565	    -0.0484	    -0.1935	    -0.2333	
