[Subject]	
[Date]	11/30/2015
[Time]	16:44:52
[Channels]	24
[Rate]	1000.000000
[Type]	Average
[Points]	1101
[Xmin]	-100.00000
[Sweeps]	223
[Accepted]	51
[Rejected]	172
[Domain]	Time
[Rows]	Points
[Electrode Labels]
[      FZ]	[     FC3]	[     FCZ]	[     FC4]	[      C3]	[      CZ]	[      C4]	[     CP3]	[     CPZ]	[     CP4]	[      P3]	[      PZ]	[      P4]	[      OZ]	[     FP1]	[     FP2]	[      A2]	[   P8/T6]	[     TP7]	[     TP8]	[   P7/T5]	[    VEOG]	[    HEOG]	[    Nose]	
[Average Data]
     0.5332	     0.4180	    -0.3258	     0.2172	    -1.1289	    -0.9775	    -0.5233	    -2.1952	    -2.0076	    -2.0010	    -2.6329	    -2.5868	    -2.5769	     0.5299	     1.0433	     0.1152	    -0.3258	    -1.0828	    -0.5332	    -0.8820	    -0.8721	     5.1967	     2.6263	    -0.3949	
     0.4904	     0.3324	    -0.3818	     0.1185	    -1.1387	    -1.0202	    -0.6023	    -2.1096	    -2.0175	    -2.0372	    -2.5276	    -2.5835	    -2.6230	     0.3752	     1.0170	     0.2534	    -0.3094	    -1.2177	    -0.5002	    -0.9248	    -0.8294	     5.1736	    -0.2633	    -0.3587	
     0.4278	     0.2403	    -0.4542	     0.0625	    -1.1387	    -1.0005	    -0.6516	    -2.0602	    -1.9747	    -2.0767	    -2.4420	    -2.5868	    -2.6790	     0.0790	     0.9610	     0.3225	    -0.2830	    -1.3132	    -0.4772	    -0.9610	    -0.7504	     5.0222	    -3.1693	    -0.3686	
     0.3851	     0.1876	    -0.4476	    -0.0099	    -1.0992	    -0.9709	    -0.6813	    -1.9747	    -1.9450	    -2.0899	    -2.3301	    -2.5506	    -2.7053	    -0.3324	     0.9577	     0.4180	    -0.2929	    -1.4185	    -0.4377	    -1.0268	    -0.6780	     4.7688	    -5.6146	    -0.3225	
     0.3324	     0.0823	    -0.4673	    -0.0691	    -1.1157	    -1.0005	    -0.7438	    -1.8957	    -1.8957	    -2.1063	    -2.2478	    -2.5309	    -2.7481	    -0.8162	     0.9248	     0.4246	    -0.2666	    -1.5534	    -0.4443	    -1.0729	    -0.6286	     4.3673	    -7.1713	    -0.3127	
     0.3061	    -0.0099	    -0.4904	    -0.1185	    -1.0795	    -0.9742	    -0.7240	    -1.7673	    -1.8628	    -2.0866	    -2.0767	    -2.4683	    -2.7349	    -1.2802	     0.9149	     0.4640	    -0.3127	    -1.6390	    -0.4377	    -1.0926	    -0.5529	     3.8276	    -7.4675	    -0.3225	
     0.2600	    -0.0922	    -0.5134	    -0.1678	    -1.0334	    -0.9676	    -0.7438	    -1.6620	    -1.8068	    -2.0504	    -1.9582	    -2.4223	    -2.7217	    -1.6456	     0.8952	     0.4772	    -0.3587	    -1.7081	    -0.4213	    -1.0959	    -0.4970	     3.2088	    -6.4703	    -0.3390	
     0.2765	    -0.1942	    -0.4904	    -0.1744	    -0.9840	    -0.9215	    -0.7175	    -1.5205	    -1.7015	    -1.9878	    -1.7838	    -2.3499	    -2.6757	    -1.8595	     0.8853	     0.4443	    -0.4410	    -1.7410	    -0.3719	    -1.1190	    -0.4114	     2.6033	    -4.3179	    -0.3785	
     0.2666	    -0.2896	    -0.4970	    -0.1547	    -0.9215	    -0.8820	    -0.6483	    -1.3954	    -1.6324	    -1.8990	    -1.6291	    -2.2610	    -2.5901	    -1.8825	     0.8590	     0.4114	    -0.5101	    -1.7937	    -0.3423	    -1.0828	    -0.3489	     2.0866	    -1.5040	    -0.4015	
     0.2534	    -0.3818	    -0.4509	    -0.1580	    -0.8590	    -0.8458	    -0.5957	    -1.2572	    -1.5337	    -1.8200	    -1.4645	    -2.1623	    -2.5407	    -1.7015	     0.7570	     0.4048	    -0.5891	    -1.8200	    -0.3489	    -1.0828	    -0.3127	     1.8397	     1.5106	    -0.4871	
     0.2732	    -0.4772	    -0.4213	    -0.1448	    -0.7899	    -0.7997	    -0.5661	    -1.1321	    -1.4711	    -1.7278	    -1.3164	    -2.0537	    -2.4486	    -1.3263	     0.6615	     0.4015	    -0.6549	    -1.8463	    -0.3752	    -1.0795	    -0.2468	     1.8364	     4.2455	    -0.5430	
     0.2830	    -0.5727	    -0.4114	    -0.1053	    -0.7273	    -0.7734	    -0.4772	    -0.9972	    -1.3691	    -1.5995	    -1.1354	    -1.9220	    -2.3235	    -0.8458	     0.5365	     0.3653	    -0.7109	    -1.8266	    -0.3653	    -1.0367	    -0.1942	     2.0964	     6.2893	    -0.6154	
     0.2633	    -0.6615	    -0.3785	    -0.0790	    -0.6944	    -0.7208	    -0.4180	    -0.8787	    -1.2835	    -1.4876	    -0.9906	    -1.8134	    -2.2018	    -0.3423	     0.4048	     0.3357	    -0.7175	    -1.8233	    -0.3818	    -1.0071	    -0.1646	     2.5210	     7.4182	    -0.6615	
     0.2929	    -0.7043	    -0.3225	     0.0197	    -0.5891	    -0.5957	    -0.2830	    -0.7306	    -1.1190	    -1.3461	    -0.7899	    -1.6488	    -2.0372	     0.0987	     0.2929	     0.3225	    -0.7405	    -1.7937	    -0.3818	    -0.9215	    -0.1053	     3.0048	     7.6551	    -0.6714	
     0.2863	    -0.7866	    -0.2600	     0.0823	    -0.5233	    -0.5562	    -0.1975	    -0.5727	    -0.9709	    -1.1749	    -0.6121	    -1.5007	    -1.8628	     0.3916	     0.1909	     0.2962	    -0.7306	    -1.7180	    -0.3719	    -0.8656	    -0.0691	     3.3964	     7.0759	    -0.6648	
