[Subject]	
[Date]	02/23/2016
[Time]	12:49:34
[Channels]	24
[Rate]	1000.000000
[Type]	Average
[Points]	1101
[Xmin]	-100.00000
[Sweeps]	251
[Accepted]	51
[Rejected]	200
[Domain]	Time
[Rows]	Points
[Electrode Labels]
[      FZ]	[     FC3]	[     FCZ]	[     FC4]	[      C3]	[      CZ]	[      C4]	[     CP3]	[     CPZ]	[     CP4]	[      P3]	[      PZ]	[      P4]	[      Oz]	[     FP1]	[     FP2]	[      A2]	[   P8/T6]	[     TP7]	[     TP8]	[   P7/T5]	[    VEOG]	[    HEOG]	[    Nose]	
[Average Data]
    -0.1053	     0.2567	    -0.0066	     0.0494	     0.2106	    -0.0494	     0.0000	     0.3587	     0.1646	     0.0263	     0.1316	     0.1975	    -0.1316	    -0.2304	    -0.3785	    -0.5759	     0.4114	    -0.5957	    -0.0165	    -0.4706	     0.3192	     0.0362	     1.3823	    -0.1382	
     0.0066	     0.3521	     0.1218	     0.1580	     0.3489	     0.0625	     0.0987	     0.4871	     0.2666	     0.1547	     0.2995	     0.3192	    -0.0362	    -0.2139	    -0.3192	    -0.5068	     0.3982	    -0.4871	     0.1020	    -0.3620	     0.4608	     0.0987	     1.3691	    -0.0658	
     0.1053	     0.4377	     0.2403	     0.2600	     0.4575	     0.1711	     0.1909	     0.6385	     0.3884	     0.2468	     0.4311	     0.4344	     0.0527	    -0.2106	    -0.2896	    -0.4904	     0.3982	    -0.3982	     0.2205	    -0.2765	     0.6154	     0.1448	     1.3526	    -0.0230	
     0.1711	     0.5299	     0.3094	     0.3390	     0.5430	     0.2534	     0.2534	     0.7273	     0.4805	     0.3521	     0.5529	     0.5266	     0.1053	    -0.2040	    -0.2534	    -0.4871	     0.4015	    -0.3028	     0.3291	    -0.1975	     0.7635	     0.1876	     1.3230	     0.0263	
     0.2370	     0.5628	     0.3785	     0.4114	     0.5891	     0.3127	     0.2929	     0.8096	     0.5365	     0.3982	     0.6582	     0.5792	     0.1481	    -0.2304	    -0.2205	    -0.4772	     0.4377	    -0.2304	     0.4443	    -0.1481	     0.8689	     0.2370	     1.2934	     0.0559	
     0.2797	     0.6286	     0.4311	     0.4706	     0.6813	     0.3653	     0.3258	     0.8689	     0.5792	     0.4443	     0.7208	     0.6286	     0.2073	    -0.2468	    -0.2403	    -0.4904	     0.4739	    -0.1678	     0.5068	    -0.1053	     1.0005	     0.2830	     1.2737	     0.1152	
     0.2962	     0.6483	     0.4706	     0.5101	     0.6977	     0.4081	     0.3324	     0.9018	     0.5957	     0.4410	     0.7701	     0.6418	     0.1942	    -0.2534	    -0.2370	    -0.5035	     0.4937	    -0.0889	     0.5562	    -0.0823	     1.0696	     0.3159	     1.2473	     0.1284	
     0.2995	     0.6385	     0.4640	     0.5332	     0.7208	     0.4246	     0.3390	     0.9083	     0.6023	     0.4278	     0.7932	     0.6385	     0.1909	    -0.2732	    -0.2139	    -0.5035	     0.5233	    -0.0790	     0.5957	    -0.0724	     1.1519	     0.3324	     1.2111	     0.1580	
     0.2732	     0.6121	     0.4509	     0.5397	     0.7109	     0.4213	     0.3094	     0.9314	     0.5595	     0.4048	     0.8030	     0.6319	     0.1448	    -0.2929	    -0.2534	    -0.5727	     0.5595	    -0.0757	     0.6352	    -0.0724	     1.1552	     0.3456	     1.1618	     0.1185	
