[Subject]	
[Date]	12/04/2015
[Time]	15:16:06
[Channels]	24
[Rate]	1000.000000
[Type]	Average
[Points]	1101
[Xmin]	-100.00000
[Sweeps]	250
[Accepted]	62
[Rejected]	188
[Domain]	Time
[Rows]	Points
[Electrode Labels]
[      FZ]	[     FC3]	[     FCZ]	[     FC4]	[      C3]	[      CZ]	[      C4]	[     CP3]	[     CPZ]	[     CP4]	[      P3]	[      PZ]	[      P4]	[      OZ]	[     FP1]	[     FP2]	[      A2]	[   P8/T6]	[     TP7]	[     TP8]	[   P7/T5]	[    VEOG]	[    HEOG]	[    Nose]	
[Average Data]
     0.0054	    -0.0785	     0.1922	    -0.0081	    -0.0785	     0.0541	     0.1245	    -0.2193	     0.2436	     0.4115	     0.0460	     0.2193	     0.4846	     1.0910	    -0.2247	    -0.3492	     0.1895	     0.4494	    -0.1002	    -0.0866	     0.1083	    -0.6822	     0.1327	    -0.1651	
    -0.0217	    -0.1570	     0.1462	    -0.0108	    -0.1299	     0.0460	     0.1354	    -0.2193	     0.2653	     0.4332	     0.0487	     0.2653	     0.5333	     0.8176	    -0.1949	    -0.3790	     0.1651	     0.4927	    -0.1083	    -0.0487	     0.1245	    -0.7905	     0.1245	    -0.2653	
    -0.0541	    -0.2166	     0.1137	    -0.0406	    -0.1408	     0.0460	     0.1191	    -0.2274	     0.2924	     0.4467	     0.0839	     0.2870	     0.5739	     0.6985	    -0.1651	    -0.4386	     0.1624	     0.5306	    -0.1137	     0.0162	     0.1760	    -0.9286	     0.1137	    -0.3628	
    -0.1056	    -0.2599	     0.0948	    -0.0514	    -0.1895	     0.0352	     0.1354	    -0.2355	     0.2680	     0.4927	     0.1056	     0.3140	     0.6010	     0.7174	    -0.1760	    -0.4873	     0.1489	     0.5875	    -0.1381	     0.0704	     0.1814	    -1.0450	     0.1029	    -0.4656	
    -0.1462	    -0.3222	     0.0758	    -0.0731	    -0.2220	     0.0379	     0.1299	    -0.2545	     0.2734	     0.5252	     0.1083	     0.3492	     0.6362	     0.8474	    -0.1516	    -0.5198	     0.1299	     0.6145	    -0.1408	     0.1029	     0.2030	    -1.1614	     0.0920	    -0.5496	
    -0.1678	    -0.3844	     0.0244	    -0.0839	    -0.2680	     0.0135	     0.1137	    -0.2870	     0.2734	     0.5144	     0.1029	     0.3655	     0.6579	     0.9340	    -0.1733	    -0.5875	     0.1083	     0.6389	    -0.1678	     0.1706	     0.2003	    -1.2589	     0.0893	    -0.6227	
    -0.2057	    -0.4440	    -0.0054	    -0.0866	    -0.2897	     0.0217	     0.1354	    -0.2734	     0.2815	     0.5712	     0.1218	     0.3925	     0.7174	     0.9556	    -0.1489	    -0.6227	     0.0731	     0.6822	    -0.1381	     0.2220	     0.2274	    -1.3265	     0.0785	    -0.6768	
    -0.2572	    -0.5171	    -0.0352	    -0.1083	    -0.3086	     0.0162	     0.1218	    -0.2815	     0.3005	     0.5793	     0.1597	     0.4142	     0.7418	     0.9340	    -0.1327	    -0.7255	     0.0379	     0.7228	    -0.1706	     0.2761	     0.2464	    -1.3347	     0.0677	    -0.7093	
    -0.3005	    -0.5820	    -0.0596	    -0.1462	    -0.3628	    -0.0054	     0.1299	    -0.2734	     0.2761	     0.5956	     0.1543	     0.4386	     0.7851	     0.8825	    -0.1137	    -0.8284	     0.0379	     0.7391	    -0.1787	     0.3140	     0.2464	    -1.3265	     0.0623	    -0.7499	
    -0.3546	    -0.6172	    -0.1110	    -0.1787	    -0.3790	    -0.0108	     0.1164	    -0.2924	     0.2788	     0.6118	     0.1489	     0.4629	     0.7905	     0.8446	    -0.0920	    -0.9259	     0.0217	     0.7364	    -0.1706	     0.3411	     0.2788	    -1.2751	     0.0541	    -0.7959	
    -0.4034	    -0.6579	    -0.1272	    -0.1814	    -0.4061	    -0.0108	     0.1354	    -0.3086	     0.2761	     0.6497	     0.1787	     0.4683	     0.8419	     0.8825	    -0.0433	    -1.0017	    -0.0108	     0.7607	    -0.1651	     0.3790	     0.2734	    -1.2074	     0.0460	    -0.8122	
    -0.4440	    -0.6930	    -0.1570	    -0.2003	    -0.4142	    -0.0487	     0.1597	    -0.3167	     0.2545	     0.6551	     0.1678	     0.4711	     0.8446	     0.8988	    -0.0298	    -1.0450	    -0.0352	     0.7824	    -0.1706	     0.4332	     0.2870	    -1.1262	     0.0541	    -0.8284	
    -0.4846	    -0.7282	    -0.1868	    -0.2030	    -0.4332	    -0.0514	     0.1435	    -0.3086	     0.2464	     0.6714	     0.1543	     0.4846	     0.8474	     0.8419	    -0.0271	    -1.1018	    -0.0677	     0.7905	    -0.1868	     0.4711	     0.2924	    -1.0287	     0.0379	    -0.8392	
    -0.5144	    -0.7553	    -0.2057	    -0.2139	    -0.4413	    -0.0650	     0.1516	    -0.3113	     0.2220	     0.6822	     0.1733	     0.4846	     0.8636	     0.6227	    -0.0217	    -1.1018	    -0.1299	     0.7878	    -0.1435	     0.4819	     0.3140	    -0.9394	     0.0379	    -0.8095	
    -0.5306	    -0.7337	    -0.2112	    -0.1976	    -0.4629	    -0.0569	     0.1787	    -0.2924	     0.2139	     0.7147	     0.1814	     0.5062	     0.8961	     0.2734	    -0.0514	    -1.1100	    -0.1733	     0.7878	    -0.1543	     0.5144	     0.3195	    -0.8392	     0.0352	    -0.8013	
    -0.5333	    -0.7634	    -0.1976	    -0.2030	    -0.4359	    -0.0623	     0.1949	    -0.2815	     0.2220	     0.7228	     0.1922	     0.5252	     0.8880	    -0.1787	    -0.0948	    -1.1235	    -0.2220	     0.8040	    -0.1408	     0.5414	     0.3195	    -0.7661	     0.0514	    -0.7743	
    -0.5198	    -0.7174	    -0.1949	    -0.1624	    -0.4440	    -0.0406	     0.2274	    -0.2680	     0.2030	     0.7418	     0.2085	     0.5306	     0.9096	    -0.6281	    -0.1354	    -1.0991	    -0.2761	     0.8257	    -0.1272	     0.5820	     0.3249	    -0.6958	     0.0596	    -0.7634	
    -0.5279	    -0.7228	    -0.1976	    -0.1760	    -0.4304	    -0.0623	     0.2193	    -0.2843	     0.1976	     0.7282	     0.1814	     0.5360	     0.8961	    -0.9529	    -0.2057	    -1.1235	    -0.3086	     0.7797	    -0.1597	     0.5658	     0.3059	    -0.6443	     0.0731	    -0.7093	
    -0.5279	    -0.6985	    -0.1922	    -0.1516	    -0.4169	    -0.0623	     0.2626	    -0.2464	     0.1976	     0.7309	     0.2220	     0.5414	     0.9232	    -1.0910	    -0.2870	    -1.1587	    -0.3492	     0.7905	    -0.1462	     0.5658	     0.2978	    -0.5766	     0.0758	    -0.6416	
    -0.5117	    -0.6416	    -0.1462	    -0.1110	    -0.3736	    -0.0217	     0.2815	    -0.2112	     0.2220	     0.7661	     0.2382	     0.5820	     0.9177	    -1.0423	    -0.3492	    -1.1939	    -0.3953	     0.7878	    -0.1408	     0.5766	     0.2897	    -0.5333	     0.0704	    -0.5604	
    -0.4981	    -0.6010	    -0.1381	    -0.1056	    -0.3546	    -0.0217	     0.3032	    -0.2112	     0.2112	     0.7418	     0.2328	     0.5766	     0.9069	    -0.8663	    -0.4359	    -1.2426	    -0.4142	     0.7661	    -0.1354	     0.5550	     0.2436	    -0.4792	     0.0839	    -0.5035	
