[Subject]	
[Date]	12/04/2015
[Time]	15:16:06
[Channels]	24
[Rate]	1000.000000
[Type]	Average
[Points]	1101
[Xmin]	-100.00000
[Sweeps]	250
[Accepted]	58
[Rejected]	192
[Domain]	Time
[Rows]	Points
[Electrode Labels]
[      FZ]	[     FC3]	[     FCZ]	[     FC4]	[      C3]	[      CZ]	[      C4]	[     CP3]	[     CPZ]	[     CP4]	[      P3]	[      PZ]	[      P4]	[      OZ]	[     FP1]	[     FP2]	[      A2]	[   P8/T6]	[     TP7]	[     TP8]	[   P7/T5]	[    VEOG]	[    HEOG]	[    Nose]	
[Average Data]
    -1.6900	    -0.7900	    -1.4180	    -0.8971	    -0.4572	    -0.9926	    -0.7495	    -0.2778	    -0.8826	    -0.8016	     0.1071	    -0.7640	    -0.7785	    -1.1807	     0.0955	    -0.8334	    -0.2981	    -0.0810	    -0.2084	     0.2055	     0.2836	     0.5064	     0.5064	    -1.1749	
    -1.6669	    -0.7524	    -1.3486	    -0.8826	    -0.4023	    -0.9752	    -0.7206	    -0.2170	    -0.8479	    -0.7640	     0.1765	    -0.6859	    -0.6888	    -1.2270	     0.2113	    -0.8334	    -0.3357	    -0.0203	    -0.2170	     0.2286	     0.3068	     0.6106	     0.4746	    -1.1286	
    -1.6061	    -0.7582	    -1.3428	    -0.9029	    -0.3733	    -0.9347	    -0.7090	    -0.1563	    -0.7727	    -0.7293	     0.2170	    -0.6077	    -0.6193	    -1.1662	     0.3212	    -0.8392	    -0.3733	     0.0145	    -0.2547	     0.2228	     0.3386	     0.6772	     0.4688	    -1.0881	
    -1.5569	    -0.7032	    -1.2733	    -0.8537	    -0.3212	    -0.8855	    -0.6656	    -0.1158	    -0.7293	    -0.6627	     0.2836	    -0.5180	    -0.5325	    -0.9666	     0.3878	    -0.8566	    -0.4051	     0.0463	    -0.2778	     0.2373	     0.3444	     0.7437	     0.4254	    -1.0476	
    -1.4962	    -0.7003	    -1.2531	    -0.8421	    -0.2952	    -0.8566	    -0.6453	    -0.0723	    -0.6772	    -0.6511	     0.3068	    -0.4659	    -0.4833	    -0.6743	     0.4688	    -0.8971	    -0.4196	     0.0781	    -0.2778	     0.2084	     0.3704	     0.7756	     0.3907	    -0.9781	
    -1.4064	    -0.6164	    -1.1489	    -0.8248	    -0.2460	    -0.7958	    -0.6222	    -0.0087	    -0.5904	    -0.6077	     0.3820	    -0.3560	    -0.4225	    -0.1678	     0.5122	    -0.9029	    -0.4486	     0.1158	    -0.2981	     0.2026	     0.3791	     0.7987	     0.3733	    -0.9521	
    -1.2994	    -0.6019	    -1.1199	    -0.8074	    -0.2170	    -0.7669	    -0.6048	     0.0289	    -0.5556	    -0.5643	     0.4254	    -0.3096	    -0.3502	     0.4051	     0.5296	    -0.9058	    -0.4428	     0.1389	    -0.3154	     0.1794	     0.4109	     0.7756	     0.3444	    -0.8769	
    -1.1778	    -0.5296	    -1.0215	    -0.7437	    -0.1852	    -0.6888	    -0.5817	     0.0868	    -0.4717	    -0.5209	     0.4833	    -0.2228	    -0.2807	     1.0187	     0.5354	    -0.9000	    -0.4572	     0.1678	    -0.3125	     0.1389	     0.4225	     0.7408	     0.3096	    -0.8595	
    -1.0244	    -0.4572	    -0.9145	    -0.6916	    -0.1100	    -0.6193	    -0.5296	     0.1592	    -0.3849	    -0.4688	     0.5527	    -0.1100	    -0.2084	     1.5772	     0.5759	    -0.8363	    -0.4601	     0.1910	    -0.2923	     0.1360	     0.4543	     0.6859	     0.2865	    -0.7929	
    -0.9116	    -0.3502	    -0.8306	    -0.6396	    -0.0579	    -0.5672	    -0.4978	     0.2113	    -0.3068	    -0.4572	     0.5990	    -0.0203	    -0.1360	     2.0113	     0.5441	    -0.7698	    -0.4428	     0.2315	    -0.2691	     0.1100	     0.4717	     0.6338	     0.2807	    -0.7524	
    -0.7814	    -0.3183	    -0.7553	    -0.5846	    -0.0289	    -0.4949	    -0.4572	     0.2605	    -0.2605	    -0.3965	     0.6569	     0.0579	    -0.0695	     2.2457	     0.5035	    -0.6830	    -0.4138	     0.2026	    -0.2547	     0.0579	     0.4804	     0.5701	     0.2605	    -0.7379	
    -0.6772	    -0.2605	    -0.6714	    -0.5469	    -0.0058	    -0.4370	    -0.4601	     0.3241	    -0.1881	    -0.3444	     0.7032	     0.1129	    -0.0174	     2.3412	     0.4630	    -0.5614	    -0.3617	     0.1939	    -0.2373	    -0.0232	     0.5064	     0.4833	     0.2373	    -0.7206	
    -0.5209	    -0.1534	    -0.5904	    -0.4514	     0.0752	    -0.3762	    -0.3907	     0.3704	    -0.0926	    -0.2894	     0.7379	     0.2026	     0.0695	     2.3441	     0.4283	    -0.4254	    -0.3357	     0.1505	    -0.1968	    -0.0839	     0.5035	     0.4167	     0.2141	    -0.6801	
    -0.4196	    -0.1100	    -0.4949	    -0.3994	     0.1042	    -0.3068	    -0.3646	     0.4051	    -0.0347	    -0.2576	     0.7785	     0.2778	     0.1100	     2.2399	     0.3415	    -0.2778	    -0.2749	     0.1505	    -0.1592	    -0.1707	     0.5267	     0.3444	     0.1910	    -0.6859	
    -0.2923	    -0.0405	    -0.4109	    -0.2923	     0.1447	    -0.2373	    -0.3039	     0.4457	     0.0376	    -0.2113	     0.8334	     0.3444	     0.1621	     2.1415	     0.3068	    -0.0984	    -0.2199	     0.1187	    -0.1360	    -0.2373	     0.5325	     0.2720	     0.1534	    -0.6656	
    -0.1881	     0.0434	    -0.3039	    -0.1997	     0.2026	    -0.1881	    -0.2518	     0.4746	     0.1302	    -0.1736	     0.8392	     0.3878	     0.2170	     2.0402	     0.2633	     0.0723	    -0.1736	     0.1042	    -0.0810	    -0.2865	     0.5267	     0.2141	     0.1476	    -0.6598	
    -0.0926	     0.1013	    -0.2257	    -0.1129	     0.2344	    -0.1215	    -0.2141	     0.4833	     0.1823	    -0.1215	     0.8537	     0.4543	     0.2460	     1.9360	     0.2026	     0.2055	    -0.1071	     0.0521	    -0.0695	    -0.3791	     0.5093	     0.1765	     0.1678	    -0.6482	
    -0.0116	     0.1650	    -0.1418	    -0.0232	     0.2576	    -0.0637	    -0.1650	     0.5151	     0.2113	    -0.0695	     0.8624	     0.4920	     0.3010	     1.8550	     0.1273	     0.3183	    -0.0637	     0.0232	    -0.0232	    -0.4370	     0.5064	     0.1505	     0.1592	    -0.6482	
     0.0666	     0.2084	    -0.0637	     0.0666	     0.2923	    -0.0289	    -0.1360	     0.5238	     0.2402	    -0.0521	     0.8306	     0.5064	     0.3270	     1.8174	     0.0839	     0.4370	    -0.0087	    -0.0376	    -0.0116	    -0.5209	     0.4862	     0.1244	     0.1505	    -0.6453	
     0.1302	     0.2778	     0.0000	     0.1129	     0.3010	     0.0000	    -0.0984	     0.5469	     0.3068	    -0.0405	     0.8537	     0.5383	     0.3646	     1.7971	    -0.0116	     0.4659	     0.0376	    -0.0723	     0.0174	    -0.5846	     0.4514	     0.1476	     0.1621	    -0.6396	
     0.1650	     0.2836	     0.0145	     0.1534	     0.2923	     0.0289	    -0.0868	     0.5180	     0.3241	    -0.0318	     0.8103	     0.5412	     0.3675	     1.8753	    -0.0723	     0.4167	     0.0839	    -0.1360	     0.0232	    -0.6772	     0.3965	     0.2055	     0.1794	    -0.5990	
     0.1881	     0.3502	     0.0723	     0.2373	     0.3241	     0.0637	    -0.0550	     0.5209	     0.3270	    -0.0376	     0.8074	     0.5441	     0.4109	     2.0431	    -0.1621	     0.3473	     0.1100	    -0.1592	     0.0318	    -0.7119	     0.3820	     0.2865	     0.1939	    -0.5875	
     0.2026	     0.3588	     0.0695	     0.2547	     0.3154	     0.0723	    -0.0492	     0.4949	     0.3270	    -0.0174	     0.7495	     0.5469	     0.4080	     2.2630	    -0.2402	     0.2576	     0.1389	    -0.2055	     0.0174	    -0.7437	     0.3010	     0.3849	     0.2141	    -0.5672	
     0.1765	     0.3936	     0.0897	     0.2633	     0.3039	     0.0723	    -0.0405	     0.4543	     0.3444	    -0.0145	     0.6916	     0.5267	     0.4370	     2.5206	    -0.3212	     0.1447	     0.1592	    -0.2344	     0.0029	    -0.7958	     0.2489	     0.5122	     0.2344	    -0.5585	
     0.1476	     0.4023	     0.0579	     0.2778	     0.2865	     0.0723	    -0.0405	     0.4370	     0.3068	    -0.0289	     0.6569	     0.5093	     0.4109	     2.7376	    -0.3675	    -0.0116	     0.1881	    -0.2749	    -0.0145	    -0.8479	     0.1852	     0.6511	     0.2576	    -0.5412	
     0.1360	     0.3502	     0.0260	     0.2518	     0.2489	     0.0405	    -0.0521	     0.3733	     0.2894	    -0.0376	     0.5875	     0.4775	     0.3907	     2.8708	    -0.4717	    -0.1650	     0.2228	    -0.3125	    -0.0752	    -0.8711	     0.1187	     0.7900	     0.2662	    -0.5730	
     0.0984	     0.3617	     0.0521	     0.2605	     0.2170	     0.0174	    -0.0405	     0.3357	     0.2633	    -0.0347	     0.5151	     0.4457	     0.3820	     2.8794	    -0.4833	    -0.2807	     0.2315	    -0.3473	    -0.0752	    -0.8826	     0.0579	     0.9029	     0.3010	    -0.5412	
     0.0550	     0.3444	    -0.0145	     0.2547	     0.2026	     0.0058	    -0.0550	     0.2894	     0.2344	    -0.0405	     0.4572	     0.4023	     0.3733	     2.7463	    -0.5006	    -0.4138	     0.2518	    -0.3791	    -0.1042	    -0.9029	     0.0029	     0.9897	     0.3068	    -0.5412	
     0.0174	     0.3010	    -0.0405	     0.2084	     0.1476	    -0.0145	    -0.0289	     0.2257	     0.1997	    -0.0232	     0.4080	     0.3704	     0.3531	     2.5148	    -0.5035	    -0.5093	     0.2807	    -0.4080	    -0.1331	    -0.9087	    -0.0608	     1.0418	     0.2865	    -0.5527	
     0.0000	     0.2720	    -0.0955	     0.1736	     0.1244	    -0.0434	    -0.0463	     0.1823	     0.1736	    -0.0145	     0.3502	     0.3560	     0.3096	     2.2515	    -0.4486	    -0.5556	     0.3010	    -0.4457	    -0.1476	    -0.8942	    -0.0926	     1.0650	     0.2894	    -0.5354	
    -0.0116	     0.2605	    -0.1302	     0.1765	     0.1187	    -0.0666	    -0.0347	     0.1592	     0.1592	    -0.0145	     0.3068	     0.3270	     0.3125	     1.9794	    -0.3646	    -0.5701	     0.3154	    -0.4572	    -0.1592	    -0.8797	    -0.1418	     1.0158	     0.2836	    -0.5527	
    -0.0260	     0.2315	    -0.1621	     0.1389	     0.1071	    -0.0723	    -0.0434	     0.1273	     0.1534	    -0.0174	     0.2576	     0.2894	     0.2952	     1.7595	    -0.2894	    -0.5817	     0.3357	    -0.4833	    -0.1650	    -0.8508	    -0.1534	     0.9261	     0.2576	    -0.5498	
    -0.0405	     0.2228	    -0.2113	     0.1071	     0.0926	    -0.0926	    -0.0232	     0.0579	     0.1418	     0.0087	     0.2026	     0.2605	     0.2605	     1.5945	    -0.1852	    -0.5354	     0.3531	    -0.4775	    -0.1678	    -0.8190	    -0.1968	     0.8103	     0.2605	    -0.5730	
    -0.0318	     0.1823	    -0.2344	     0.0550	     0.0897	    -0.1013	    -0.0145	     0.0463	     0.1100	     0.0260	     0.1563	     0.2402	     0.2431	     1.5164	    -0.0926	    -0.4891	     0.3704	    -0.4717	    -0.1678	    -0.7698	    -0.1939	     0.6801	     0.2576	    -0.5788	
    -0.0087	     0.1823	    -0.2431	     0.0492	     0.0926	    -0.0984	     0.0000	     0.0058	     0.0839	     0.0260	     0.1071	     0.2257	     0.2286	     1.4904	     0.0405	    -0.4167	     0.3849	    -0.5093	    -0.1389	    -0.7119	    -0.2199	     0.5354	     0.2344	    -0.6106	
     0.0203	     0.1592	    -0.2576	     0.0174	     0.0752	    -0.0926	     0.0087	    -0.0260	     0.0695	     0.0260	     0.0723	     0.1823	     0.1621	     1.5772	     0.1389	    -0.3473	     0.3936	    -0.5180	    -0.1563	    -0.6685	    -0.2344	     0.3849	     0.1968	    -0.5875	
     0.0318	     0.1100	    -0.2778	    -0.0318	     0.0723	    -0.1129	    -0.0058	    -0.0723	     0.0463	     0.0260	     0.0145	     0.1505	     0.1447	     1.7595	     0.2055	    -0.2749	     0.4080	    -0.5122	    -0.1447	    -0.5990	    -0.2460	     0.2720	     0.1794	    -0.5817	
     0.0521	     0.1042	    -0.2691	    -0.0347	     0.0550	    -0.1187	    -0.0058	    -0.1042	     0.0174	     0.0116	    -0.0203	     0.1244	     0.0984	     2.0981	     0.3096	    -0.1650	     0.4109	    -0.5180	    -0.1476	    -0.5325	    -0.2286	     0.1418	     0.1389	    -0.5614	
     0.0868	     0.0695	    -0.2923	    -0.0637	     0.0376	    -0.1187	    -0.0087	    -0.1476	     0.0174	    -0.0347	    -0.0579	     0.0781	     0.0579	     2.5293	     0.3473	    -0.0955	     0.4196	    -0.5469	    -0.1621	    -0.4514	    -0.2431	     0.0434	     0.0984	    -0.5296	
     0.0984	     0.0405	    -0.2749	    -0.0666	     0.0145	    -0.1158	     0.0058	    -0.1765	    -0.0058	    -0.0608	    -0.1158	     0.0608	     0.0087	     3.1196	     0.4138	    -0.0232	     0.4051	    -0.5354	    -0.1678	    -0.3733	    -0.2518	    -0.0492	     0.0550	    -0.4659	
     0.1129	     0.0145	    -0.2720	    -0.0984	     0.0029	    -0.1244	    -0.0260	    -0.2199	    -0.0608	    -0.0579	    -0.1418	     0.0058	    -0.0492	     3.6926	     0.4196	     0.0232	     0.4167	    -0.5441	    -0.1765	    -0.3068	    -0.2373	    -0.1100	     0.0405	    -0.4399	
     0.1418	    -0.0145	    -0.2691	    -0.1013	    -0.0203	    -0.1187	    -0.0463	    -0.2286	    -0.0810	    -0.0897	    -0.2141	    -0.0318	    -0.1129	     4.2338	     0.4370	     0.0550	     0.4283	    -0.5730	    -0.1736	    -0.2749	    -0.2460	    -0.1563	     0.0000	    -0.3820	
     0.1534	    -0.0405	    -0.2662	    -0.1215	    -0.0405	    -0.1273	    -0.0434	    -0.2633	    -0.0984	    -0.1302	    -0.2228	    -0.0839	    -0.1592	     4.6794	     0.4457	     0.0550	     0.4254	    -0.5875	    -0.1765	    -0.2084	    -0.2460	    -0.1765	    -0.0463	    -0.3299	
     0.1418	    -0.0521	    -0.2373	    -0.1042	    -0.0579	    -0.1273	    -0.0695	    -0.2778	    -0.1360	    -0.1563	    -0.2518	    -0.1100	    -0.2141	     4.9052	     0.4109	     0.0376	     0.4341	    -0.6048	    -0.1534	    -0.1678	    -0.2460	    -0.1476	    -0.0752	    -0.2865	
     0.1476	    -0.0521	    -0.1794	    -0.1158	    -0.0579	    -0.0984	    -0.0810	    -0.2865	    -0.1331	    -0.1707	    -0.2662	    -0.1389	    -0.2460	     4.9688	     0.3820	     0.0521	     0.4254	    -0.6222	    -0.1042	    -0.1273	    -0.2257	    -0.1042	    -0.1215	    -0.2402	
     0.1678	    -0.0839	    -0.1534	    -0.1187	    -0.0463	    -0.0810	    -0.0984	    -0.2720	    -0.1707	    -0.1997	    -0.3010	    -0.1852	    -0.2865	     4.8704	     0.3560	     0.0347	     0.4341	    -0.6309	    -0.1129	    -0.0868	    -0.2315	    -0.0405	    -0.1505	    -0.1968	
     0.1736	    -0.0666	    -0.1042	    -0.1100	    -0.0376	    -0.0608	    -0.1071	    -0.2952	    -0.1621	    -0.1910	    -0.2894	    -0.1968	    -0.3010	     4.6823	     0.3183	     0.0521	     0.4341	    -0.6222	    -0.0666	    -0.0376	    -0.1910	     0.0463	    -0.1939	    -0.1331	
     0.1736	    -0.0637	    -0.0521	    -0.1158	    -0.0376	    -0.0232	    -0.1360	    -0.2605	    -0.1621	    -0.2055	    -0.2894	    -0.2141	    -0.3299	     4.4595	     0.3299	     0.1244	     0.4399	    -0.6193	    -0.0289	    -0.0376	    -0.1678	     0.1360	    -0.2228	    -0.0810	
     0.1707	    -0.0695	    -0.0376	    -0.1331	    -0.0232	     0.0000	    -0.1505	    -0.2489	    -0.1447	    -0.2113	    -0.3068	    -0.2460	    -0.3357	     4.1817	     0.3357	     0.1592	     0.4457	    -0.6193	     0.0058	     0.0029	    -0.1215	     0.2431	    -0.2865	     0.0058	
     0.1476	    -0.0723	     0.0058	    -0.1505	    -0.0058	     0.0318	    -0.1534	    -0.2084	    -0.1360	    -0.1823	    -0.2894	    -0.2257	    -0.3386	     3.8836	     0.3241	     0.2431	     0.4543	    -0.5875	     0.0550	     0.0376	    -0.0897	     0.3560	    -0.3241	     0.0868	
     0.1360	    -0.0521	     0.0463	    -0.1418	     0.0116	     0.0434	    -0.1476	    -0.1910	    -0.1389	    -0.1852	    -0.2547	    -0.2170	    -0.3241	     3.6000	     0.3154	     0.3183	     0.4630	    -0.5498	     0.0839	     0.0376	    -0.0376	     0.4804	    -0.3502	     0.1302	
