[Subject]	
[Date]	04/21/2016
[Time]	12:24:26
[Channels]	24
[Rate]	1000.000000
[Type]	Average
[Points]	1101
[Xmin]	-100.00000
[Sweeps]	256
[Accepted]	58
[Rejected]	198
[Domain]	Time
[Rows]	Points
[Electrode Labels]
[      FZ]	[     FC3]	[     FCZ]	[     FC4]	[      C3]	[      CZ]	[      C4]	[     CP3]	[     CPZ]	[     CP4]	[      P3]	[      PZ]	[      P4]	[      Oz]	[     FP1]	[     FP2]	[      A2]	[   P8/T6]	[     TP7]	[     TP8]	[   P7/T5]	[    VEOG]	[    HEOG]	[    Nose]	
[Average Data]
    -0.2315	    -0.8682	    -0.8479	    -0.5759	    -1.0910	    -0.9955	    -0.9492	    -1.0794	    -1.3572	    -1.1836	    -1.0939	    -1.2878	    -1.0244	     0.2257	     0.4254	     0.9029	    -0.4051	    -0.4746	    -0.3791	    -0.2865	    -0.5556	    -2.5322	    -0.0058	     0.2691	
    -0.2141	    -0.8769	    -0.8392	    -0.5701	    -1.0621	    -0.9810	    -0.9145	    -1.0881	    -1.3167	    -1.1547	    -1.0505	    -1.2646	    -1.0071	     0.1910	     0.4109	     0.9695	    -0.3531	    -0.4688	    -0.3762	    -0.2952	    -0.6019	    -2.4077	     0.0145	     0.3010	
    -0.2055	    -0.8334	    -0.8421	    -0.5469	    -1.0592	    -0.9579	    -0.8884	    -1.0650	    -1.2936	    -1.1055	    -1.0215	    -1.2183	    -0.9781	     0.1563	     0.3762	     0.9810	    -0.2720	    -0.4833	    -0.3675	    -0.3154	    -0.6280	    -2.2775	     0.0203	     0.3039	
    -0.1997	    -0.8306	    -0.8363	    -0.5296	    -1.0302	    -0.9434	    -0.8479	    -1.0042	    -1.2415	    -1.0505	    -0.9810	    -1.1778	    -0.9318	     0.1331	     0.4109	     0.9984	    -0.2170	    -0.4775	    -0.3357	    -0.2865	    -0.6106	    -2.1531	     0.0260	     0.3473	
    -0.1968	    -0.8248	    -0.8363	    -0.5614	    -0.9955	    -0.9289	    -0.8103	    -0.9752	    -1.2010	    -1.0158	    -0.9550	    -1.1228	    -0.9058	     0.0810	     0.3675	     0.9868	    -0.1331	    -0.5006	    -0.3212	    -0.2952	    -0.5875	    -2.0199	     0.0203	     0.3588	
    -0.1910	    -0.8045	    -0.8334	    -0.5383	    -0.9637	    -0.9029	    -0.7814	    -0.9145	    -1.1576	    -0.9868	    -0.9029	    -1.0881	    -0.8711	     0.0521	     0.3646	     0.9810	    -0.0781	    -0.4920	    -0.2952	    -0.2836	    -0.5614	    -1.9042	     0.0347	     0.3733	
    -0.1823	    -0.7611	    -0.8277	    -0.5614	    -0.9347	    -0.8711	    -0.7553	    -0.8537	    -1.0968	    -0.9724	    -0.8334	    -1.0129	    -0.8334	     0.0174	     0.3531	     0.9926	    -0.0029	    -0.5122	    -0.2576	    -0.3068	    -0.5296	    -1.8058	     0.0463	     0.3820	
    -0.1939	    -0.7235	    -0.8016	    -0.5354	    -0.8479	    -0.8363	    -0.7437	    -0.8045	    -1.0418	    -0.9261	    -0.7698	    -0.9637	    -0.7987	    -0.0232	     0.3502	     0.9261	     0.0695	    -0.4775	    -0.1968	    -0.2807	    -0.4486	    -1.7161	     0.0695	     0.4080	
    -0.1765	    -0.6830	    -0.7900	    -0.5238	    -0.8045	    -0.7929	    -0.7235	    -0.7351	    -0.9810	    -0.8884	    -0.7293	    -0.8971	    -0.7814	    -0.0521	     0.3010	     0.8797	     0.1331	    -0.4688	    -0.1592	    -0.2662	    -0.4341	    -1.6437	     0.0810	     0.4370	
    -0.1678	    -0.6309	    -0.7698	    -0.5093	    -0.7351	    -0.7524	    -0.6830	    -0.6453	    -0.9029	    -0.8277	    -0.6222	    -0.8132	    -0.7032	    -0.0723	     0.2778	     0.7929	     0.1794	    -0.4312	    -0.1042	    -0.2460	    -0.3531	    -1.5772	     0.0868	     0.4196	
    -0.1736	    -0.5643	    -0.7437	    -0.4978	    -0.6424	    -0.7119	    -0.6453	    -0.5556	    -0.8363	    -0.7842	    -0.5469	    -0.7351	    -0.6482	    -0.1100	     0.2489	     0.7293	     0.2315	    -0.4109	    -0.0637	    -0.2257	    -0.2749	    -1.5135	     0.1158	     0.4109	
    -0.1823	    -0.4920	    -0.7090	    -0.4949	    -0.5788	    -0.6916	    -0.6135	    -0.4659	    -0.7727	    -0.7293	    -0.4630	    -0.6743	    -0.6019	    -0.1158	     0.2460	     0.5961	     0.2691	    -0.3560	     0.0087	    -0.2170	    -0.2228	    -1.4556	     0.0955	     0.4051	
    -0.1447	    -0.4109	    -0.6396	    -0.4486	    -0.4949	    -0.6048	    -0.5643	    -0.3936	    -0.6830	    -0.6656	    -0.3820	    -0.5933	    -0.5354	    -0.1389	     0.2286	     0.5064	     0.2981	    -0.3125	     0.0839	    -0.1997	    -0.1360	    -1.4093	     0.0926	     0.4370	
    -0.1910	    -0.3965	    -0.6309	    -0.4630	    -0.4341	    -0.5759	    -0.5585	    -0.3270	    -0.6164	    -0.6511	    -0.3096	    -0.5238	    -0.5035	    -0.1592	     0.1765	     0.3820	     0.3560	    -0.2662	     0.1273	    -0.1678	    -0.0868	    -1.3688	     0.0752	     0.4283	
    -0.1650	    -0.3270	    -0.5788	    -0.4428	    -0.3531	    -0.5296	    -0.5498	    -0.2228	    -0.5643	    -0.5904	    -0.2141	    -0.4399	    -0.4399	    -0.1852	     0.1910	     0.2807	     0.3936	    -0.2113	     0.1678	    -0.1592	    -0.0232	    -1.3486	     0.0463	     0.3907	
    -0.1765	    -0.2865	    -0.5643	    -0.4486	    -0.2836	    -0.5035	    -0.4891	    -0.1563	    -0.4891	    -0.5383	    -0.1505	    -0.3878	    -0.4051	    -0.2026	     0.1765	     0.1997	     0.4312	    -0.1765	     0.2170	    -0.1505	     0.0405	    -1.3196	    -0.0087	     0.4138	
    -0.1910	    -0.2373	    -0.4862	    -0.4457	    -0.2113	    -0.4688	    -0.4775	    -0.0839	    -0.4312	    -0.5122	    -0.0868	    -0.3386	    -0.3502	    -0.2199	     0.1621	     0.0955	     0.4659	    -0.1505	     0.2489	    -0.1592	     0.0926	    -1.3023	    -0.0492	     0.3588	
    -0.1794	    -0.1563	    -0.4804	    -0.4080	    -0.1215	    -0.3907	    -0.4312	    -0.0203	    -0.3791	    -0.4572	     0.0116	    -0.2605	    -0.3125	    -0.2315	     0.1563	     0.0260	     0.4891	    -0.1013	     0.3068	    -0.1187	     0.1765	    -1.2733	    -0.1071	     0.3560	
    -0.1505	    -0.1215	    -0.4196	    -0.4080	    -0.0608	    -0.3444	    -0.4167	     0.0550	    -0.3241	    -0.4080	     0.0839	    -0.1939	    -0.2431	    -0.2460	     0.1592	    -0.0289	     0.5064	    -0.0579	     0.3531	    -0.1273	     0.2228	    -1.2617	    -0.1736	     0.2865	
    -0.1505	    -0.0810	    -0.3531	    -0.3704	     0.0000	    -0.2836	    -0.3878	     0.1187	    -0.2605	    -0.3646	     0.1476	    -0.1302	    -0.1881	    -0.2547	     0.1476	    -0.1418	     0.5325	    -0.0232	     0.3762	    -0.1158	     0.2633	    -1.2415	    -0.2605	     0.2286	
