"FZ"	"FC3"	"FCZ"	"FC4"	"C3"	"CZ"	"C4"	"CP3"	"CPZ"	"CP4"	"P3"	"PZ"	"P4"	"OZ"	"FP1"	"FP2"	"A2"	"P8"	"TP7"	"TP8"	"P7"	"VEOG"	"HEOG"
-0.1849	-0.1678	-0.5661	-0.1223	-0.532	-0.8677	-0.4068	-0.6515	-0.9729	-0.4751	-0.7084	-0.9274	-0.5633	-0.3954	-0.0797	-0.7766	0.7766	-0.2077	0.0142	-0.1565	-0.0398	-1.8463	-0.2219
-0.2162	-0.1935	-0.5974	-0.1394	-0.5377	-0.8961	-0.4438	-0.6885	-1.0185	-0.5462	-0.751	-0.9701	-0.6003	-0.3585	-0.1195	-0.7425	0.6998	-0.1906	-0.1081	-0.1024	-0.1024	-1.8406	-0.1764
-0.256	-0.2503	-0.6173	-0.1792	-0.5974	-0.936	-0.4779	-0.734	-1.0953	-0.5917	-0.8079	-1.0213	-0.6316	-0.3072	-0.1764	-0.7653	0.5917	-0.1963	-0.1935	-0.0541	-0.1906	-1.8264	-0.1422
-0.3272	-0.3072	-0.6828	-0.2589	-0.6515	-1.0099	-0.5604	-0.8193	-1.1749	-0.6941	-0.8705	-1.0554	-0.6941	-0.2646	-0.202	-0.788	0.5149	-0.2162	-0.3499	-0.0284	-0.3044	-1.8207	-0.0853
-0.3841	-0.3983	-0.7624	-0.3897	-0.7055	-1.0839	-0.6771	-0.8535	-1.2489	-0.7937	-0.9246	-1.1294	-0.7681	-0.2162	-0.2105	-0.8079	0.4324	-0.2589	-0.4552	-0.0142	-0.367	-1.8349	-0.0797
-0.4609	-0.4637	-0.8136	-0.5291	-0.751	-1.1323	-0.788	-0.899	-1.3086	-0.8819	-0.9673	-1.1721	-0.8506	-0.1963	-0.2589	-0.8791	0.3641	-0.3215	-0.6003	-0.0256	-0.4153	-1.7951	-0.0256
-0.5149	-0.5235	-0.8591	-0.66	-0.788	-1.1977	-0.9075	-0.9303	-1.357	-1.0014	-1.0071	-1.229	-0.8819	-0.1536	-0.2788	-0.916	0.3044	-0.3528	-0.7254	-0.037	-0.4438	-1.7467	-0.0171
-0.6116	-0.5747	-0.9303	-0.7766	-0.8108	-1.2318	-1.0327	-0.9644	-1.3997	-1.0839	-1.0128	-1.2745	-0.9445	-0.1422	-0.3044	-0.9843	0.2731	-0.4353	-0.8279	-0.0512	-0.4722	-1.6699	0.0228
-0.6486	-0.6116	-0.9502	-0.9047	-0.8193	-1.246	-1.1379	-0.9559	-1.4338	-1.1749	-1.0128	-1.2745	-0.9644	-0.1366	-0.3272	-1.027	0.2503	-0.495	-0.9246	-0.0853	-0.4836	-1.5675	0.0398
-0.6401	-0.6372	-0.9758	-0.9815	-0.7937	-1.283	-1.2034	-0.9388	-1.431	-1.2375	-0.9929	-1.2688	-1.0241	-0.1309	-0.3556	-1.0554	0.2361	-0.5519	-0.9644	-0.1081	-0.4666	-1.431	0.0683
-0.7112	-0.6344	-0.9843	-1.0298	-0.8051	-1.283	-1.2717	-0.936	-1.4537	-1.2688	-0.9786	-1.2916	-1.0697	-0.1394	-0.404	-1.1152	0.2532	-0.6344	-0.9815	-0.1565	-0.4523	-1.2973	0.0939
-0.7112	-0.6742	-0.9843	-1.0668	-0.7994	-1.2802	-1.3001	-0.9274	-1.4537	-1.3029	-0.9473	-1.2773	-1.0981	-0.1508	-0.4353	-1.118	0.2674	-0.7084	-0.9502	-0.2134	-0.4466	-1.1493	0.0768
-0.7283	-0.697	-1.0099	-1.0754	-0.8165	-1.2859	-1.3172	-0.916	-1.4395	-1.3285	-0.9331	-1.2717	-1.101	-0.1622	-0.4666	-1.1579	0.2959	-0.7567	-0.9331	-0.2617	-0.4495	-1.0071	0.0939
-0.7311	-0.6401	-0.9786	-1.0725	-0.8023	-1.2404	-1.2887	-0.8791	-1.3883	-1.3314	-0.9189	-1.2574	-1.1067	-0.1622	-0.4666	-1.1379	0.3044	-0.8136	-0.8933	-0.3101	-0.4296	-0.8734	0.074
-0.7055	-0.6828	-0.9729	-1.0327	-0.7909	-1.2091	-1.2745	-0.8648	-1.3684	-1.3029	-0.9189	-1.2347	-1.081	-0.1764	-0.4865	-1.1351	0.3385	-0.8591	-0.8648	-0.3385	-0.4068	-0.7539	0.074
-0.6629	-0.6116	-0.9018	-0.9957	-0.7596	-1.1294	-1.2375	-0.8307	-1.3001	-1.2489	-0.8449	-1.1493	-1.0554	-0.1991	-0.4722	-1.0611	0.3613	-0.8591	-0.771	-0.3897	-0.3641	-0.6998	0.0711
-0.6572	-0.606	-0.8705	-0.9701	-0.734	-1.081	-1.192	-0.8051	-1.2261	-1.2119	-0.8165	-1.0867	-0.9957	-0.2134	-0.4523	-0.9616	0.3926	-0.8506	-0.7112	-0.3983	-0.3414	-0.66	0.0939
-0.6116	-0.5206	-0.7937	-0.9303	-0.6885	-1.0213	-1.1266	-0.7397	-1.1351	-1.1294	-0.7624	-1.0241	-0.9303	-0.2162	-0.3926	-0.862	0.4153	-0.8364	-0.606	-0.404	-0.3044	-0.6657	0.1053
-0.5291	-0.4353	-0.7368	-0.8961	-0.5747	-0.9104	-1.0611	-0.6856	-1.0327	-1.064	-0.6657	-0.9047	-0.8734	-0.2276	-0.33	-0.7254	0.421	-0.8279	-0.4865	-0.3897	-0.2532	-0.697	0.1195
-0.4552	-0.33	-0.66	-0.8335	-0.4779	-0.8051	-0.9502	-0.5889	-0.9132	-0.9502	-0.606	-0.8051	-0.7482	-0.2304	-0.2589	-0.5804	0.4296	-0.734	-0.3784	-0.3471	-0.1878	-0.7567	0.1565
-0.3784	-0.1878	-0.5348	-0.7368	-0.3641	-0.697	-0.8449	-0.4893	-0.788	-0.8335	-0.4979	-0.6856	-0.6458	-0.2304	-0.1451	-0.4097	0.4153	-0.6998	-0.2731	-0.3243	-0.1081	-0.8734	0.1963
-0.2873	-0.0541	-0.4097	-0.6799	-0.2191	-0.5206	-0.6828	-0.3556	-0.6088	-0.7055	-0.367	-0.5348	-0.5121	-0.1963	-0.0199	-0.2276	0.3812	-0.6003	-0.1735	-0.2475	-0.0256	-1.0213	0.2077
-0.1678	0.0825	-0.293	-0.5576	-0.0541	-0.3841	-0.5661	-0.2247	-0.4666	-0.5491	-0.2532	-0.404	-0.367	-0.1735	0.1109	0	0.3414	-0.495	-0.0853	-0.1991	0.0512	-1.1749	0.239
-0.0597	0.2447	-0.1309	-0.4296	0.0939	-0.2333	-0.3698	-0.0967	-0.2987	-0.3812	-0.0996	-0.2361	-0.2077	-0.1451	0.2447	0.2247	0.276	-0.3613	-0.0256	-0.0967	0.1622	-1.3712	0.2873
0.0427	0.3812	-0.0085	-0.33	0.2418	-0.0825	-0.2333	0.0427	-0.1422	-0.2077	0.0313	-0.0996	-0.0484	-0.128	0.3926	0.4666	0.239	-0.2532	0.0569	-0.0455	0.2361	-1.5761	0.2845
0.1849	0.5149	0.1053	-0.1906	0.3869	0.0398	-0.0768	0.2077	0.0228	-0.0853	0.1479	0.0626	0.0939	-0.0939	0.5377	0.7027	0.1792	-0.1223	0.0996	0.0455	0.3272	-1.778	0.3158
0.2788	0.6572	0.2447	-0.074	0.5206	0.1991	0.0711	0.3528	0.1622	0.0825	0.2845	0.2333	0.2418	-0.0683	0.6742	0.953	0.1337	0.0142	0.1394	0.1081	0.4182	-1.9829	0.3385
0.4068	0.7624	0.3812	0.0654	0.6401	0.3072	0.2219	0.4495	0.3101	0.2532	0.3926	0.3414	0.3869	-0.0341	0.788	1.1721	0.0711	0.1451	0.1935	0.1792	0.4865	-2.1564	0.3499
0.5035	0.8449	0.4922	0.2077	0.7197	0.4353	0.3869	0.5519	0.4438	0.3926	0.4865	0.4751	0.532	-0.037	0.8705	1.357	0.0455	0.2276	0.2219	0.2191	0.5491	-2.3186	0.3784
0.6003	0.9189	0.6031	0.3471	0.8079	0.5377	0.5291	0.6572	0.5633	0.5263	0.586	0.5917	0.6458	0	0.9701	1.5135	-0.0114	0.3272	0.2333	0.276	0.569	-2.4665	0.404
0.697	0.9559	0.6629	0.4836	0.8677	0.6344	0.6742	0.734	0.6771	0.6742	0.66	0.697	0.751	0.0256	0.9872	1.6244	-0.0711	0.4182	0.2503	0.3328	0.5889	-2.5547	0.4182
0.7624	0.99	0.7368	0.6145	0.8876	0.6913	0.7909	0.7823	0.7311	0.7681	0.6998	0.7482	0.8364	0.0654	0.9843	1.6386	-0.1337	0.4609	0.2703	0.3528	0.5775	-2.603	0.4267
0.825	1.0327	0.8392	0.7937	0.936	0.7966	0.9303	0.862	0.8335	0.8819	0.7596	0.8478	0.9416	0.1081	0.9559	1.65	-0.2247	0.5348	0.2987	0.3841	0.569	-2.6087	0.4267
0.862	1.0469	0.8848	0.9416	0.9274	0.8193	1.0469	0.8535	0.8478	0.9587	0.7681	0.8933	0.9758	0.1451	0.8933	1.5618	-0.3072	0.5547	0.2959	0.3897	0.5405	-2.5689	0.4353
0.8904	1.0156	0.9246	1.0554	0.936	0.8648	1.1522	0.8876	0.9189	1.0327	0.7852	0.9217	1.0355	0.1735	0.8335	1.485	-0.367	0.5917	0.2674	0.421	0.5149	-2.4978	0.441
0.9217	1.0355	0.9644	1.1778	0.9303	0.9189	1.2233	0.8876	0.9445	1.0896	0.788	0.9616	1.0583	0.2077	0.7311	1.3257	-0.441	0.6287	0.2617	0.4552	0.4495	-2.3612	0.4097
0.8933	1.0128	0.9815	1.2574	0.899	0.936	1.2859	0.899	0.9388	1.1123	0.7596	0.953	1.0412	0.2503	0.6316	1.1579	-0.495	0.6401	0.2276	0.4751	0.4097	-2.1763	0.3812
0.8876	0.9758	0.99	1.357	0.8734	0.9331	1.3257	0.8819	0.9502	1.1522	0.7425	0.9502	1.0498	0.2646	0.5576	0.9929	-0.5462	0.6458	0.2247	0.5149	0.3385	-1.98	0.3641
0.8023	0.9189	0.953	1.3456	0.8079	0.9075	1.3229	0.8079	0.9047	1.1095	0.6629	0.9047	0.9872	0.2617	0.441	0.7624	-0.5405	0.6116	0.202	0.4922	0.2503	-1.7126	0.3328
0.7397	0.8762	0.9331	1.3371	0.7425	0.8563	1.3029	0.7482	0.862	1.0782	0.6031	0.8478	0.916	0.2731	0.3954	0.6088	-0.5434	0.5946	0.2304	0.5007	0.1821	-1.4224	0.3016
0.6714	0.7994	0.8677	1.283	0.6885	0.8193	1.2546	0.6998	0.788	1.0213	0.5348	0.7624	0.8535	0.2532	0.3044	0.3954	-0.5235	0.5576	0.2503	0.5035	0.0996	-1.0924	0.2703
0.5804	0.7141	0.7937	1.1977	0.6031	0.7397	1.1436	0.6088	0.7197	0.9246	0.4495	0.6885	0.7482	0.2418	0.2532	0.202	-0.4836	0.4779	0.2162	0.4836	0.0199	-0.7368	0.2532
0.4609	0.6116	0.6885	1.0583	0.5064	0.6429	1.0412	0.4979	0.5946	0.8364	0.3528	0.5917	0.6372	0.2162	0.1764	0.0057	-0.421	0.4296	0.1906	0.4779	-0.0768	-0.3841	0.2077
0.3641	0.5434	0.6173	0.9217	0.4267	0.5434	0.8933	0.4466	0.4979	0.7283	0.2674	0.4922	0.5405	0.1821	0.1309	-0.1821	-0.3613	0.3613	0.1821	0.4495	-0.1109	-0.037	0.2048
0.2617	0.4523	0.4922	0.7254	0.3385	0.4694	0.734	0.3357	0.421	0.5747	0.1906	0.3869	0.3983	0.1394	0.0939	-0.3414	-0.293	0.293	0.1422	0.3983	-0.1906	0.3072	0.1735
0.1394	0.3357	0.3812	0.5007	0.2247	0.3556	0.5434	0.2418	0.2959	0.4267	0.1053	0.293	0.2845	0.0967	0.0484	-0.5178	-0.2048	0.2304	0.0882	0.3328	-0.2361	0.6372	0.1536
0.037	0.2532	0.2731	0.3158	0.1479	0.256	0.367	0.1422	0.1878	0.276	0.0284	0.1678	0.1394	0.0569	0.0569	-0.6287	-0.1195	0.1508	0.0512	0.3101	-0.2987	0.9445	0.1166
-0.0654	0.1252	0.1508	0.1252	0.0711	0.1593	0.1906	0.0654	0.0939	0.1451	-0.037	0.0597	0.0484	0.0142	0.0284	-0.7454	-0.0398	0.0996	0.0484	0.2617	-0.3129	1.2148	0.1024
-0.1195	0.037	0.0853	-0.0484	-0.0057	0.0654	0.0313	-0.0171	0.0114	0.0256	-0.1024	-0.0114	-0.0626	-0.037	0.0398	-0.8108	0.037	0.0484	0.0171	0.202	-0.3328	1.4594	0.0768
