"FZ"	"FC3"	"FCZ"	"FC4"	"C3"	"CZ"	"C4"	"CP3"	"CPZ"	"CP4"	"P3"	"PZ"	"P4"	"OZ"	"FP1"	"FP2"	"A2"	"P8"	"TP7"	"TP8"	"P7"	"VEOG"	"HEOG"
-1.5346	-0.5815	-1.5586	-0.8752	0.1409	-0.8812	-0.1738	0.6054	0.1828	0.7793	0.9381	0.9172	1.2828	-0.015	-0.6894	0.1109	0.006	0.8362	-0.0929	0.7104	0.3477	1.0341	-1.115
-1.4207	-0.4316	-1.4477	-0.7763	0.3267	-0.7163	-0.015	0.8153	0.4556	1.0131	1.124	1.1689	1.4986	0.0959	-0.5935	0.1858	-0.2008	1.0011	0.027	0.8422	0.4556	0.9591	-1.061
-1.3398	-0.3207	-1.3368	-0.7104	0.5395	-0.5365	0.0989	1.0131	0.6864	1.2259	1.3128	1.3997	1.7174	0.1978	-0.4886	0.2638	-0.4076	1.1689	0.1259	0.9891	0.5305	0.8632	-1.0131
-1.2199	-0.1888	-1.1869	-0.6324	0.6864	-0.3447	0.2338	1.2199	0.9082	1.3997	1.4896	1.6275	1.9272	0.2847	-0.3747	0.3057	-0.5905	1.2918	0.2128	1.076	0.6294	0.7643	-0.9891
-1.118	-0.0929	-1.097	-0.5425	0.8362	-0.2308	0.3387	1.3817	1.067	1.5646	1.6245	1.8133	2.0951	0.3597	-0.2787	0.3177	-0.7283	1.4117	0.2728	1.1569	0.6624	0.6684	-0.9381
-1.07	-0.042	-1.0161	-0.5035	0.9381	-0.0839	0.4016	1.4777	1.2379	1.6725	1.7114	1.9482	2.203	0.4136	-0.2188	0.3117	-0.8093	1.4507	0.3267	1.1869	0.6714	0.5845	-0.9082
-1.0281	0.006	-0.9262	-0.4586	1.0011	0.03	0.4646	1.5736	1.3578	1.7714	1.7684	2.0861	2.3169	0.4346	-0.1379	0.2847	-0.8782	1.5166	0.3627	1.2049	0.6804	0.5155	-0.8872
-0.9921	0.0629	-0.8572	-0.4136	1.076	0.1109	0.5095	1.6665	1.4836	1.8463	1.8493	2.194	2.4008	0.4706	-0.0959	0.1978	-0.9052	1.5406	0.4046	1.2079	0.6924	0.4646	-0.8632
-0.9591	0.0719	-0.8123	-0.3926	1.121	0.2218	0.5425	1.7174	1.5796	1.8973	1.8733	2.2449	2.4278	0.4436	-0.0689	0.1379	-0.9052	1.5406	0.3866	1.1719	0.6594	0.4286	-0.8542
-0.9411	0.0719	-0.7823	-0.3866	1.112	0.2638	0.5575	1.7294	1.6425	1.9242	1.8613	2.2869	2.4428	0.4196	-0.039	0.027	-0.8572	1.5076	0.3627	1.148	0.6144	0.3896	-0.8332
-0.9411	0.0749	-0.7403	-0.3657	1.13	0.3687	0.5785	1.7474	1.7024	1.9302	1.8733	2.3349	2.4548	0.3956	-0.054	-0.0989	-0.8093	1.4866	0.3447	1.121	0.5725	0.3687	-0.8272
-0.9262	0.0569	-0.7014	-0.3387	1.127	0.4226	0.5815	1.7504	1.7534	1.9572	1.8343	2.3349	2.4428	0.3597	-0.0569	-0.2128	-0.7373	1.4267	0.3087	1.076	0.5155	0.3417	-0.8063
-0.9561	0.024	-0.6744	-0.3387	1.085	0.4826	0.5665	1.7384	1.7834	1.9602	1.7954	2.3229	2.4158	0.3087	-0.0989	-0.3627	-0.6294	1.3847	0.2548	1.0251	0.4526	0.3387	-0.8033
-0.9501	0.006	-0.6444	-0.2967	1.079	0.5575	0.5845	1.7204	1.8343	1.9512	1.7954	2.3379	2.4308	0.2728	-0.1049	-0.4736	-0.5635	1.3578	0.2638	1.0161	0.4436	0.3567	-0.7883
-0.9172	-0.015	-0.5935	-0.2368	1.058	0.6174	0.6054	1.7174	1.8823	1.9572	1.7594	2.3499	2.3798	0.2218	-0.1559	-0.5725	-0.4646	1.3128	0.2068	0.9831	0.4136	0.3717	-0.7553
-0.8842	-0.033	-0.5125	-0.1738	1.0251	0.6834	0.6684	1.7084	1.9452	1.9692	1.7504	2.3708	2.3768	0.1738	-0.2068	-0.6594	-0.3687	1.2948	0.2098	0.9831	0.4016	0.4136	-0.7553
-0.8242	-0.012	-0.4316	-0.1049	1.043	0.7973	0.6984	1.7174	2.0172	1.9872	1.7804	2.4008	2.3768	0.1439	-0.1888	-0.7133	-0.3087	1.2948	0.2608	1.0161	0.4436	0.4616	-0.7283
-0.7493	-0.009	-0.3117	0.009	1.055	0.9082	0.7673	1.7114	2.0891	2.0202	1.7804	2.4278	2.4008	0.1079	-0.1798	-0.7793	-0.2488	1.3038	0.2847	1.043	0.4796	0.5215	-0.7133
-0.6624	0.036	-0.1888	0.1229	1.079	1.0191	0.8212	1.7534	2.161	2.0531	1.8253	2.4637	2.4038	0.0899	-0.1978	-0.8482	-0.1918	1.3188	0.3507	1.07	0.5425	0.6024	-0.7014
