"FZ"	"FC3"	"FCZ"	"FC4"	"C3"	"CZ"	"C4"	"CP3"	"CPZ"	"CP4"	"P3"	"PZ"	"P4"	"OZ"	"FP1"	"FP2"	"A2"	"P8"	"TP7"	"TP8"	"P7"
-1.2473	-1.1431	-1.5743	-1.2849	-1.0302	-1.4846	-1.0997	-0.8797	-1.3717	-0.7842	-0.6945	-0.9058	-0.5383	1.1836	-0.382	-1.0389	-2.3672	0.2836	-0.8711	-0.0868	-1.1489
-1.1055	-0.9897	-1.3862	-1.1547	-0.8826	-1.2994	-0.9666	-0.7351	-1.1749	-0.628	-0.6048	-0.7264	-0.3907	1.1778	-0.2662	-0.8884	-2.3499	0.3212	-0.7958	-0.0434	-1.117
-0.9434	-0.8363	-1.1952	-1.0013	-0.7293	-1.0939	-0.7929	-0.5904	-0.9376	-0.4862	-0.4862	-0.5441	-0.2662	1.1605	-0.1129	-0.7553	-2.3267	0.3328	-0.7003	-0.0145	-1.091
-0.8161	-0.7235	-1.0187	-0.8855	-0.5701	-0.9058	-0.6714	-0.4457	-0.7379	-0.327	-0.4051	-0.327	-0.1187	1.1344	0.0087	-0.5875	-2.2717	0.3849	-0.6222	0.0521	-1.0534
-0.6598	-0.5469	-0.8161	-0.7061	-0.4138	-0.709	-0.5122	-0.2691	-0.5064	-0.1592	-0.3212	-0.136	0.0058	1.1084	0.1331	-0.437	-2.2138	0.4109	-0.5383	0.0723	-1.036
-0.5354	-0.3936	-0.6222	-0.5672	-0.2257	-0.4804	-0.356	-0.11	-0.2778	0.0029	-0.2113	0.0463	0.1331	1.0707	0.2807	-0.2807	-2.1386	0.4601	-0.4399	0.1187	-0.9752
-0.4109	-0.2286	-0.4399	-0.4167	-0.0463	-0.2836	-0.191	0.0405	-0.0723	0.1736	-0.0752	0.2373	0.3068	1.0273	0.3965	-0.1447	-2.0691	0.4862	-0.3415	0.1823	-0.9116
-0.2778	-0.0955	-0.2633	-0.2633	0.1187	-0.0608	-0.0434	0.2055	0.1592	0.3502	0.0376	0.4457	0.4486	0.9868	0.5093	0.0058	-1.9823	0.518	-0.2286	0.2489	-0.8566
-0.1823	0.0434	-0.081	-0.1389	0.2489	0.1187	0.1013	0.3357	0.3791	0.5151	0.1476	0.6453	0.599	0.9405	0.6048	0.1071	-1.8724	0.5469	-0.1447	0.2749	-0.8132
-0.0897	0.1939	0.0752	-0.0087	0.4312	0.3212	0.2836	0.5035	0.5875	0.6772	0.2547	0.8392	0.7814	0.8855	0.709	0.217	-1.7653	0.6135	-0.0405	0.3328	-0.7437
-0.0116	0.3096	0.191	0.1071	0.5585	0.4775	0.3907	0.5961	0.7785	0.7929	0.3328	0.9868	0.8855	0.8219	0.7611	0.2547	-1.6408	0.6338	0.0608	0.3704	-0.6859
0.0463	0.4283	0.3212	0.1881	0.6916	0.628	0.5122	0.7322	0.9579	0.9463	0.4457	1.1807	1.0447	0.7698	0.8103	0.2749	-1.5222	0.6714	0.136	0.4167	-0.6106
0.0955	0.5354	0.4138	0.3039	0.8248	0.7669	0.6338	0.8306	1.1199	1.0707	0.5064	1.308	1.1807	0.6801	0.8074	0.3039	-1.3717	0.6916	0.217	0.4601	-0.5527
0.11	0.6367	0.5093	0.3849	0.9261	0.8913	0.7408	0.9347	1.2704	1.2183	0.5933	1.447	1.2762	0.6193	0.819	0.2691	-1.2386	0.7293	0.301	0.4862	-0.4862
0.1302	0.7206	0.5759	0.4601	1.0331	1.0129	0.8334	1.0476	1.4325	1.3254	0.683	1.5888	1.4151	0.5498	0.7727	0.2228	-1.1026	0.7611	0.382	0.5238	-0.4109
0.1331	0.7698	0.6164	0.5064	1.0997	1.0852	0.9029	1.1055	1.5193	1.4093	0.709	1.7045	1.5019	0.4572	0.7206	0.1592	-0.9376	0.79	0.4457	0.5325	-0.3646
0.11	0.8421	0.6482	0.5296	1.1865	1.1547	0.9695	1.1981	1.6322	1.5048	0.7727	1.8203	1.583	0.382	0.6511	0.055	-0.7871	0.7987	0.5238	0.5701	-0.301
