"FZ"	"FC3"	"FCZ"	"FC4"	"C3"	"CZ"	"C4"	"CP3"	"CPZ"	"CP4"	"P3"	"PZ"	"P4"	"OZ"	"FP1"	"FP2"	"A2"	"P8"	"TP7"	"TP8"	"P7"
0.9048	1.3087	1.1382	0.792	1.4005	1.2248	1.2274	1.3585	1.2274	1.4005	1.1225	1.0936	1.3375	0.4275	0.2282	0.0393	-0.8471	1.2195	0.5062	1.0333	0.7684
0.8419	1.2615	1.0438	0.7107	1.3874	1.1015	1.1094	1.3244	1.1225	1.2929	1.1041	1.0123	1.2221	0.3829	0.2255	0	-0.771	1.1461	0.5271	0.9599	0.7658
0.7579	1.188	0.9468	0.6452	1.3165	0.973	0.9913	1.2693	0.9992	1.1408	1.0333	0.9205	1.1015	0.3567	0.2282	-0.0446	-0.7029	1.0595	0.535	0.8602	0.7291
0.7343	1.1277	0.8733	0.5796	1.2615	0.8655	0.8602	1.2012	0.8812	1.0018	0.9756	0.7894	0.973	0.3304	0.2491	-0.0551	-0.6294	0.952	0.5455	0.7422	0.7002
0.6819	1.0674	0.7842	0.5062	1.1907	0.7553	0.7186	1.1408	0.7632	0.8261	0.9284	0.6871	0.8445	0.2885	0.2308	-0.1049	-0.5586	0.855	0.5429	0.6163	0.6688
0.6111	0.9651	0.6819	0.3934	1.07	0.5848	0.5298	1.0307	0.6242	0.6294	0.834	0.5717	0.653	0.2413	0.1888	-0.1547	-0.4537	0.695	0.493	0.438	0.6111
0.556	0.9022	0.5848	0.3042	0.9809	0.4852	0.3672	0.9599	0.493	0.4432	0.7658	0.4458	0.5035	0.2072	0.1495	-0.2046	-0.3829	0.535	0.493	0.2859	0.5612
0.4826	0.8156	0.4904	0.2019	0.8655	0.3514	0.1941	0.8445	0.3541	0.2282	0.6714	0.32	0.3068	0.1469	0.097	-0.2491	-0.2754	0.3724	0.4537	0.1075	0.5167
0.4301	0.7343	0.4222	0.1154	0.7684	0.2282	0.0446	0.7448	0.2255	0.0393	0.5953	0.2098	0.1285	0.1023	0.0603	-0.2596	-0.1915	0.2255	0.4668	-0.0525	0.4904
0.4039	0.695	0.3514	0.0105	0.6766	0.1206	-0.1233	0.6871	0.1259	-0.1705	0.5167	0.0892	-0.0472	0.0367	0.0446	-0.2964	-0.097	0.0551	0.4406	-0.2439	0.4668
0.3488	0.6058	0.2623	-0.0708	0.5507	0.0446	-0.2491	0.5717	0.0131	-0.3567	0.438	0	-0.2124	-0.0026	0.0052	-0.32	0.0026	-0.1101	0.4222	-0.4065	0.4354
0.3095	0.5612	0.2098	-0.1416	0.4747	-0.0262	-0.3593	0.4852	-0.0682	-0.5088	0.3567	-0.0892	-0.3409	-0.0446	-0.0341	-0.3777	0.1023	-0.2623	0.3777	-0.5612	0.3672
0.2596	0.4747	0.1731	-0.2046	0.3855	-0.0997	-0.4668	0.3777	-0.1416	-0.6347	0.2832	-0.1783	-0.4878	-0.0944	-0.0787	-0.417	0.1836	-0.3934	0.375	-0.6897	0.3147
0.2334	0.4249	0.1206	-0.2623	0.2911	-0.1338	-0.5691	0.2728	-0.1862	-0.7763	0.2203	-0.2544	-0.6216	-0.1364	-0.1442	-0.4668	0.2675	-0.5298	0.3383	-0.8156	0.2649
0.1967	0.3698	0.0787	-0.3357	0.1993	-0.1757	-0.6583	0.1993	-0.2596	-0.8943	0.1652	-0.3278	-0.7317	-0.1678	-0.1915	-0.5271	0.3383	-0.6268	0.2937	-0.9127	0.2439
0.1574	0.3147	0.0341	-0.3908	0.1259	-0.1967	-0.7133	0.1023	-0.2937	-0.9809	0.0892	-0.3541	-0.8104	-0.2203	-0.2387	-0.5953	0.4222	-0.7422	0.2413	-1.0097	0.1941
0.1338	0.2754	0.0236	-0.4065	0.0551	-0.1993	-0.7606	0.0262	-0.2964	-1.0307	0.0288	-0.4117	-0.8628	-0.2465	-0.2544	-0.6294	0.4826	-0.8104	0.1967	-1.0543	0.1495
0.118	0.1783	-0.021	-0.459	-0.0262	-0.2151	-0.7789	-0.0603	-0.3304	-1.0989	-0.0315	-0.4485	-0.9205	-0.2596	-0.2701	-0.6504	0.5245	-0.855	0.1259	-1.0831	0.1233
0.0682	0.1652	-0.0367	-0.4878	-0.0839	-0.2308	-0.7868	-0.1259	-0.3383	-1.1146	-0.0813	-0.4642	-0.9468	-0.2832	-0.2229	-0.6557	0.5717	-0.9232	0.0761	-1.112	0.1075
0.0315	0.0839	-0.0656	-0.5062	-0.1678	-0.257	-0.8078	-0.2072	-0.3409	-1.1199	-0.139	-0.4721	-0.9573	-0.3042	-0.2308	-0.7186	0.598	-0.9336	0.0288	-1.133	0.0892
0.0079	0.021	-0.1154	-0.5298	-0.2491	-0.2596	-0.7894	-0.2937	-0.3357	-1.1015	-0.181	-0.4852	-0.9546	-0.3278	-0.1915	-0.7265	0.6373	-0.9441	-0.0393	-1.1435	0.0551
-0.0288	-0.0341	-0.1495	-0.5376	-0.3226	-0.2701	-0.7737	-0.3829	-0.3331	-1.0884	-0.2544	-0.5009	-0.931	-0.32	-0.181	-0.7265	0.6478	-0.9494	-0.1101	-1.1094	-0.0236
-0.0656	-0.1285	-0.181	-0.5534	-0.4196	-0.2701	-0.771	-0.4406	-0.3488	-1.091	-0.3252	-0.5062	-0.9179	-0.3252	-0.1101	-0.737	0.653	-0.9153	-0.1678	-1.0831	-0.0525
