"FZ"	"FC3"	"FCZ"	"FC4"	"C3"	"CZ"	"C4"	"CP3"	"CPZ"	"CP4"	"P3"	"PZ"	"P4"	"OZ"	"FP1"	"FP2"	"A2"	"P8"	"TP7"	"TP8"	"P7"	"VEOG"	"HEOG"
0.2105	0.5604	0.2532	0.1337	0.1593	0.0028	0.1109	-0.0284	0.1024	-0.1991	0.1963	0.0569	0.1394	-0.074	-0.1195	-0.1849	0.1394	0.458	0.202	0.2191	0.3328	-4.2531	0.4267
0.2418	0.5519	0.2333	0.0853	0.091	-0.0427	0.0711	-0.091	0.0085	-0.2219	0.1366	-0.0028	0.128	-0.1166	0.0597	-0.1878	0.2361	0.4068	0.1337	0.1735	0.2788	-4.0852	0.3784
0.2304	0.5149	0.2134	0.0541	0.0313	-0.1223	0.0114	-0.165	-0.0853	-0.2617	0.0313	-0.0797	0.1024	-0.1678	0.2532	-0.1792	0.3328	0.3499	0.091	0.0967	0.2447	-3.9174	0.2788
0.2816	0.495	0.2077	0.0313	-0.0171	-0.1764	-0.0142	-0.239	-0.1622	-0.3129	-0.0654	-0.1451	0.0512	-0.2105	0.4865	-0.1792	0.4353	0.2617	0.037	0.0313	0.1935	-3.7723	0.2475
0.3158	0.4979	0.2219	0	-0.0711	-0.2162	-0.0597	-0.3072	-0.2361	-0.3471	-0.1451	-0.2162	0.0313	-0.276	0.6856	-0.1422	0.5519	0.2048	0.0114	-0.0512	0.128	-3.6613	0.165
0.3357	0.4836	0.239	-0.0171	-0.0939	-0.2475	-0.1109	-0.3784	-0.3158	-0.3841	-0.2191	-0.2703	-0.0028	-0.3328	0.8791	-0.1109	0.6458	0.1166	0.0028	-0.1252	0.1024	-3.5561	0.0853
0.4068	0.5263	0.2703	0.0085	-0.1309	-0.256	-0.1138	-0.4324	-0.3784	-0.4239	-0.3158	-0.3129	-0.0228	-0.3641	1.0611	-0.0114	0.7397	0.0683	-0.0057	-0.1821	0.0683	-3.465	0.0341
0.5092	0.5547	0.3357	0.0512	-0.1024	-0.2191	-0.1366	-0.4324	-0.4068	-0.4068	-0.3585	-0.3328	-0.0284	-0.3983	1.2375	0.0768	0.8023	0.0085	0.0142	-0.256	0.0284	-3.4025	-0.0028
0.6003	0.5718	0.3983	0.1138	-0.1138	-0.1764	-0.1366	-0.458	-0.3841	-0.3983	-0.4153	-0.3471	-0.0683	-0.4438	1.3655	0.1593	0.8791	-0.037	0.0284	-0.3072	-0.0171	-3.3342	-0.0597
0.6856	0.6316	0.4779	0.1849	-0.0996	-0.1309	-0.0996	-0.4779	-0.3613	-0.3897	-0.4438	-0.3328	-0.0484	-0.4751	1.4679	0.256	0.9303	-0.0654	0.0455	-0.33	-0.0512	-3.2716	-0.0825
0.7596	0.6828	0.5633	0.2503	-0.0967	-0.0597	-0.0967	-0.4922	-0.3357	-0.3784	-0.5035	-0.293	-0.0313	-0.5035	1.5391	0.33	0.9786	-0.1252	0.037	-0.3528	-0.0797	-3.1806	-0.0967
0.8762	0.7368	0.6856	0.3499	-0.0427	0.0284	-0.0228	-0.4637	-0.2674	-0.3158	-0.4836	-0.2361	0	-0.5064	1.5817	0.3869	0.9985	-0.1252	0.0711	-0.3613	-0.0996	-3.0838	-0.1166
0.9644	0.8051	0.7795	0.4267	0.0256	0.1309	0.0085	-0.4182	-0.1849	-0.2646	-0.4637	-0.1622	0.0427	-0.5178	1.5533	0.4182	1.0071	-0.1451	0.0683	-0.3556	-0.1166	-2.9672	-0.1081
