"FZ"	"FC3"	"FCZ"	"FC4"	"C3"	"CZ"	"C4"	"CP3"	"CPZ"	"CP4"	"P3"	"PZ"	"P4"	"OZ"	"FP1"	"FP2"	"A2"	"P8"	"TP7"	"TP8"	"P7"
-0.7247	-0.5515	-0.9245	-0.6687	-0.2638	-0.8419	-0.6501	-0.1465	-0.698	-0.5968	0.1359	-0.5675	-0.7193	-0.2424	-0.4423	-0.3916	0.5009	-0.5169	0.2531	-0.1252	0.5675
-0.6634	-0.4902	-0.8312	-0.6021	-0.2345	-0.8312	-0.6261	-0.1279	-0.6527	-0.5622	0.1279	-0.5169	-0.6874	-0.2211	-0.4023	-0.3304	0.4689	-0.5035	0.2531	-0.0986	0.5302
-0.5728	-0.4316	-0.714	-0.5488	-0.2211	-0.7726	-0.5648	-0.1252	-0.5995	-0.5328	0.1492	-0.4822	-0.6394	-0.2025	-0.349	-0.2398	0.4263	-0.4822	0.2424	-0.0826	0.5089
-0.4796	-0.3623	-0.6341	-0.4716	-0.2051	-0.698	-0.5222	-0.1012	-0.5515	-0.4876	0.1226	-0.4236	-0.5995	-0.1758	-0.2797	-0.1652	0.373	-0.4503	0.2238	-0.0426	0.4582
-0.3757	-0.2957	-0.5009	-0.389	-0.1865	-0.6208	-0.4449	-0.0826	-0.4769	-0.4103	0.1199	-0.3543	-0.5328	-0.1572	-0.2265	-0.1066	0.3224	-0.405	0.2211	-0.0053	0.4289
-0.2931	-0.2451	-0.4156	-0.3064	-0.1599	-0.5328	-0.3943	-0.0613	-0.4209	-0.3677	0.1199	-0.2984	-0.4556	-0.1305	-0.1812	-0.0293	0.2691	-0.365	0.2105	0.032	0.3783
-0.1812	-0.1678	-0.2877	-0.2185	-0.1465	-0.4396	-0.2877	-0.0586	-0.3437	-0.3037	0.0932	-0.2504	-0.4023	-0.0879	-0.1092	0.0586	0.2078	-0.317	0.2051	0.1039	0.333
-0.1066	-0.0986	-0.1812	-0.1172	-0.1092	-0.3623	-0.2131	-0.0506	-0.2771	-0.2318	0.0826	-0.1972	-0.3357	-0.0639	-0.1066	0.1305	0.1492	-0.2478	0.1785	0.1465	0.2851
-0.0373	-0.0666	-0.0693	-0.0293	-0.0959	-0.3011	-0.1279	-0.0799	-0.2185	-0.1545	0.0453	-0.1625	-0.2691	-0.0426	-0.0853	0.1652	0.1066	-0.1918	0.1465	0.1678	0.2265
0.048	-0.024	0.0613	0.0586	-0.0639	-0.2051	-0.0293	-0.04	-0.1305	-0.0906	0.0533	-0.0986	-0.1918	-0.0186	-0.0773	0.2105	0.0426	-0.1119	0.1492	0.2345	0.1892
0.1146	0.0453	0.1678	0.1599	-0.0373	-0.1172	0.0639	-0.0373	-0.0506	-0.04	0.048	-0.0693	-0.1305	0.0186	-0.0853	0.2504	-0.008	-0.0426	0.1332	0.2664	0.1439
0.1918	0.1039	0.2451	0.2531	-0.0213	-0.016	0.1465	-0.048	0.0107	0.04	0.0293	-0.0133	-0.0613	0.04	-0.0879	0.2424	-0.0586	0.0133	0.1012	0.3064	0.1039
0.2451	0.1545	0.3464	0.3357	0.0053	0.0506	0.2638	-0.024	0.0799	0.0986	0.0293	0.0266	0.0027	0.0586	-0.1039	0.2691	-0.0986	0.0799	0.0799	0.349	0.0746
0.2638	0.1732	0.397	0.3996	0.016	0.0986	0.3064	-0.0453	0.0986	0.1119	0.016	0.048	0.0293	0.0639	-0.1172	0.2531	-0.1172	0.1119	0.0666	0.3757	0.0186
0.341	0.2238	0.4769	0.4556	0.048	0.1838	0.3783	-0.0266	0.1652	0.1705	-0.008	0.0799	0.0666	0.0746	-0.1226	0.2504	-0.1359	0.1279	0.0559	0.3996	-0.0186
0.357	0.2238	0.5009	0.4955	0.0453	0.2158	0.4289	-0.0293	0.1838	0.1865	-0.032	0.0879	0.0879	0.0853	-0.1252	0.2185	-0.1412	0.1625	0.0373	0.3916	-0.0613
0.3916	0.2664	0.5728	0.5435	0.0613	0.2691	0.4796	-0.0213	0.2345	0.2318	-0.0266	0.1119	0.1359	0.0986	-0.1519	0.1758	-0.1625	0.1838	0.0346	0.4236	-0.0826
