"Subject"	"Condition"	"Electrode"	"meanAmp_factor"	"Race"	"Fix"
1	"BE"	"Pz"	0.85238131147541	"Black"	"eyes"
1	"BF"	"Pz"	3.16198	"Black"	"fore"
1	"WE"	"Pz"	5.56333213114754	"White"	"eyes"
1	"WF"	"Pz"	1.74503163934426	"White"	"fore"
2	"BE"	"Pz"	-2.84043475409836	"Black"	"eyes"
2	"BF"	"Pz"	-2.24349704918033	"Black"	"fore"
2	"WE"	"Pz"	-3.41576442622951	"White"	"eyes"
2	"WF"	"Pz"	-1.03572819672131	"White"	"fore"
3	"BE"	"Pz"	-2.55595196721311	"Black"	"eyes"
3	"BF"	"Pz"	-1.3252393442623	"Black"	"fore"
3	"WE"	"Pz"	-0.315049229508197	"White"	"eyes"
3	"WF"	"Pz"	-0.735426065573771	"White"	"fore"
4	"BE"	"Pz"	1.67481032786885	"Black"	"eyes"
4	"BF"	"Pz"	-0.182763721311475	"Black"	"fore"
4	"WE"	"Pz"	-0.102900229508197	"White"	"eyes"
4	"WF"	"Pz"	1.0493206557377	"White"	"fore"
5	"BE"	"Pz"	-3.1700706557377	"Black"	"eyes"
5	"BF"	"Pz"	-3.74333901639344	"Black"	"fore"
5	"WE"	"Pz"	-2.96911836065574	"White"	"eyes"
5	"WF"	"Pz"	-1.49945770491803	"White"	"fore"
6	"BE"	"Pz"	-3.70133393442623	"Black"	"eyes"
6	"BF"	"Pz"	-0.0161275524590164	"Black"	"fore"
6	"WE"	"Pz"	-2.29749180327869	"White"	"eyes"
6	"WF"	"Pz"	-3.05432770491803	"White"	"fore"
7	"BE"	"Pz"	1.69082721311475	"Black"	"eyes"
7	"BF"	"Pz"	4.20084655737705	"Black"	"fore"
7	"WE"	"Pz"	-0.947350983606557	"White"	"eyes"
7	"WF"	"Pz"	3.33265459016393	"White"	"fore"
8	"BE"	"Pz"	-1.35488737704918	"Black"	"eyes"
8	"BF"	"Pz"	1.24436262295082	"Black"	"fore"
8	"WE"	"Pz"	-1.94468721311475	"White"	"eyes"
8	"WF"	"Pz"	-1.30273163934426	"White"	"fore"
9	"BE"	"Pz"	1.84634491803279	"Black"	"eyes"
9	"BF"	"Pz"	1.85936229508197	"Black"	"fore"
9	"WE"	"Pz"	1.41805639344262	"White"	"eyes"
9	"WF"	"Pz"	2.69618852459016	"White"	"fore"
10	"BE"	"Pz"	-0.0114673049180328	"Black"	"eyes"
10	"BF"	"Pz"	3.2163162295082	"Black"	"fore"
10	"WE"	"Pz"	0.016335068852459	"White"	"eyes"
10	"WF"	"Pz"	1.91170557377049	"White"	"fore"
11	"BE"	"Pz"	-0.892965901639344	"Black"	"eyes"
11	"BF"	"Pz"	1.55926475409836	"Black"	"fore"
11	"WE"	"Pz"	-0.494827245901639	"White"	"eyes"
11	"WF"	"Pz"	0.878167049180328	"White"	"fore"
12	"BE"	"Pz"	-3.25285901639344	"Black"	"eyes"
12	"BF"	"Pz"	0.941668852459016	"Black"	"fore"
12	"WE"	"Pz"	-1.26983016393443	"White"	"eyes"
12	"WF"	"Pz"	-1.33657032786885	"White"	"fore"
13	"BE"	"Pz"	-3.40746885245902	"Black"	"eyes"
13	"BF"	"Pz"	-0.544809803278689	"Black"	"fore"
13	"WE"	"Pz"	-1.58485786885246	"White"	"eyes"
13	"WF"	"Pz"	-0.92859131147541	"White"	"fore"
14	"BE"	"Pz"	-3.64547819672131	"Black"	"eyes"
14	"BF"	"Pz"	-0.299784852459016	"Black"	"fore"
14	"WE"	"Pz"	-0.989726557377049	"White"	"eyes"
14	"WF"	"Pz"	0.120641770491803	"White"	"fore"
15	"BE"	"Pz"	-1.03784524590164	"Black"	"eyes"
15	"BF"	"Pz"	-3.03597393442623	"Black"	"fore"
15	"WE"	"Pz"	-1.78970295081967	"White"	"eyes"
