[Electrode Labels]
[      FZ]	[     FC3]	[     FCZ]	[     FC4]	[      C3]	[      CZ]	[      C4]	[     CP3]	[     CPZ]	[     CP4]	[      P3]	[      PZ]	[      P4]	[      OZ]	[     FP1]	[     FP2]	[      A2]	[   P8/T6]	[     TP7]	[     TP8]	[   P7/T5]	[    VEOG]	[    HEOG]	[    Nose]	
[Average Data]
    -0.1806	    -0.1079	    -0.1921	    -0.1189	     0.0009	    -0.1181	    -0.0665	     0.0798	    -0.0092	     0.0344	     0.1461	     0.0691	     0.0758	    -0.0775	    -0.1589	    -0.1938	     0.0923	     0.1432	     0.0799	    -0.0294	     0.2355	    -1.3175	     0.2569	    -0.1418	
    -0.1777	    -0.1053	    -0.1900	    -0.1131	     0.0017	    -0.1163	    -0.0596	     0.0772	    -0.0023	     0.0392	     0.1451	     0.0728	     0.0784	    -0.0797	    -0.1521	    -0.1936	     0.0948	     0.1514	     0.0741	    -0.0242	     0.2255	    -1.3000	     0.2164	    -0.1449	
    -0.1808	    -0.1070	    -0.1809	    -0.1046	     0.0018	    -0.1131	    -0.0566	     0.0727	     0.0005	     0.0393	     0.1427	     0.0781	     0.0850	    -0.0776	    -0.1428	    -0.1933	     0.0934	     0.1599	     0.0625	    -0.0144	     0.2130	    -1.2825	     0.1840	    -0.1451	
    -0.1806	    -0.1069	    -0.1803	    -0.0975	    -0.0018	    -0.1095	    -0.0518	     0.0663	     0.0027	     0.0407	     0.1373	     0.0796	     0.0888	    -0.0767	    -0.1395	    -0.1933	     0.0897	     0.1663	     0.0465	    -0.0071	     0.2016	    -1.2636	     0.1674	    -0.1475	
    -0.1799	    -0.1073	    -0.1760	    -0.0942	    -0.0026	    -0.1052	    -0.0512	     0.0651	     0.0057	     0.0418	     0.1338	     0.0807	     0.0945	    -0.0744	    -0.1380	    -0.1934	     0.0832	     0.1733	     0.0345	    -0.0003	     0.1900	    -1.2385	     0.1683	    -0.1512	
    -0.1790	    -0.1122	    -0.1738	    -0.0925	    -0.0060	    -0.1003	    -0.0484	     0.0581	     0.0102	     0.0417	     0.1318	     0.0857	     0.0961	    -0.0717	    -0.1332	    -0.1921	     0.0770	     0.1769	     0.0222	     0.0072	     0.1808	    -1.2092	     0.1838	    -0.1507	
    -0.1772	    -0.1089	    -0.1700	    -0.0874	    -0.0094	    -0.0953	    -0.0463	     0.0569	     0.0142	     0.0413	     0.1269	     0.0842	     0.1050	    -0.0691	    -0.1270	    -0.1879	     0.0672	     0.1866	     0.0099	     0.0178	     0.1745	    -1.1739	     0.2151	    -0.1484	
    -0.1733	    -0.1083	    -0.1654	    -0.0879	    -0.0127	    -0.0919	    -0.0460	     0.0529	     0.0165	     0.0413	     0.1240	     0.0876	     0.1059	    -0.0667	    -0.1268	    -0.1844	     0.0606	     0.1860	    -0.0026	     0.0257	     0.1622	    -1.1316	     0.2588	    -0.1440	
    -0.1731	    -0.1101	    -0.1560	    -0.0841	    -0.0162	    -0.0884	    -0.0450	     0.0509	     0.0212	     0.0447	     0.1224	     0.0926	     0.1133	    -0.0624	    -0.1253	    -0.1797	     0.0522	     0.1901	    -0.0133	     0.0321	     0.1540	    -1.0811	     0.3022	    -0.1395	
    -0.1680	    -0.1052	    -0.1507	    -0.0787	    -0.0160	    -0.0802	    -0.0399	     0.0482	     0.0279	     0.0490	     0.1212	     0.0983	     0.1194	    -0.0600	    -0.1217	    -0.1813	     0.0465	     0.1974	    -0.0199	     0.0394	     0.1481	    -1.0269	     0.3416	    -0.1332	
    -0.1585	    -0.1008	    -0.1390	    -0.0709	    -0.0154	    -0.0700	    -0.0344	     0.0478	     0.0317	     0.0528	     0.1214	     0.1027	     0.1285	    -0.0575	    -0.1183	    -0.1729	     0.0384	     0.1990	    -0.0273	     0.0471	     0.1477	    -0.9744	     0.3606	    -0.1242	
    -0.1491	    -0.0960	    -0.1298	    -0.0619	    -0.0202	    -0.0586	    -0.0278	     0.0499	     0.0410	     0.0549	     0.1223	     0.1088	     0.1372	    -0.0528	    -0.1156	    -0.1663	     0.0343	     0.2007	    -0.0284	     0.0512	     0.1438	    -0.9178	     0.3572	    -0.1122	
    -0.1422	    -0.0934	    -0.1216	    -0.0586	    -0.0234	    -0.0554	    -0.0242	     0.0466	     0.0475	     0.0577	     0.1221	     0.1138	     0.1417	    -0.0506	    -0.1113	    -0.1606	     0.0302	     0.2021	    -0.0297	     0.0524	     0.1422	    -0.8651	     0.3286	    -0.1031	
    -0.1357	    -0.0895	    -0.1122	    -0.0481	    -0.0241	    -0.0438	    -0.0155	     0.0475	     0.0572	     0.0628	     0.1224	     0.1208	     0.1524	    -0.0477	    -0.1077	    -0.1503	     0.0312	     0.2003	    -0.0314	     0.0565	     0.1428	    -0.8180	     0.2772	    -0.0909	
    -0.1244	    -0.0839	    -0.1001	    -0.0403	    -0.0245	    -0.0297	    -0.0075	     0.0480	     0.0677	     0.0720	     0.1256	     0.1283	     0.1610	    -0.0462	    -0.1042	    -0.1438	     0.0310	     0.2022	    -0.0329	     0.0605	     0.1422	    -0.7721	     0.2104	    -0.0801	
