Sweep Number	Channel	Mean(110.00->160.00ms)
1	FZ	2.469584
1	FC3	2.540343
1	FCZ	4.094735
1	FC4	3.559008
1	C3	4.540220
1	CZ	5.418420
1	C4	4.344794
1	CP3	5.242477
1	CPZ	5.897013
1	CP4	5.294740
1	P3	4.493552
1	PZ	4.697008
1	P4	4.600381
1	OZ	2.648291
1	FP1	1.858359
1	FP2	-0.443773
1	A2	-0.805862
1	P8/T6	1.747054
1	TP7	0.891365
1	TP8	1.699793
1	P7/T5	0.793684
1	VEOG	-4.644153
1	HEOG	-0.296068
1	Nose	3.056126
1	FZ	1.666528
1	FC3	3.187732
1	FCZ	1.977442
1	FC4	3.057701
1	C3	4.030385
1	CZ	3.332541
1	C4	3.693530
1	CP3	3.543623
1	CPZ	3.684496
1	CP4	4.341299
1	P3	3.766193
1	PZ	4.544767
1	P4	4.373822
1	OZ	-1.971698
1	FP1	2.511828
1	FP2	-0.379898
1	A2	-0.225215
1	P8/T6	1.523526
1	TP7	1.174152
1	TP8	0.660674
1	P7/T5	1.572506
1	VEOG	-5.171756
1	HEOG	-0.857302
1	Nose	2.711359
1	FZ	7.066956
1	FC3	7.205922
1	FCZ	8.664019
1	FC4	7.733507
1	C3	8.514172
1	CZ	9.433534
1	C4	9.083333
1	CP3	7.754261
1	CPZ	10.583811
1	CP4	9.762645
1	P3	7.088114
1	PZ	9.979926
1	P4	9.426146
1	OZ	1.843896
1	FP1	6.951096
1	FP2	0.293849
1	A2	-1.527277
1	P8/T6	4.682378
1	TP7	2.795900
1	TP8	3.970289
1	P7/T5	2.473572
1	VEOG	-3.448010
1	HEOG	3.529213
1	Nose	4.380939
1	FZ	1.334841
1	FC3	2.106902
1	FCZ	2.142851
1	FC4	2.505548
1	C3	3.223095
1	CZ	2.715589
1	C4	3.605033
1	CP3	3.207230
1	CPZ	3.152547
1	CP4	4.311862
1	P3	2.594324
1	PZ	4.056253
1	P4	4.450173
1	OZ	-1.639649
1	FP1	0.339322
1	FP2	-3.182758
1	A2	1.002861
1	P8/T6	2.081079
1	TP7	1.058050
1	TP8	0.485566
1	P7/T5	1.890954
1	VEOG	-4.312284
1	HEOG	-1.802432
1	Nose	2.765631
