"FZ"	"FC3"	"FCZ"	"FC4"	"C3"	"CZ"	"C4"	"CP3"	"CPZ"	"CP4"	"P3"	"PZ"	"P4"	"OZ"	"P8"	"TP7"	"TP8"	"P7"	"Subject"	"Points"	"Time"	"Trial"	"Rejected"	"Correct"
-5.7068	-15.4419	-5.3711	-1.8463	-15.1062	-4.8676	3.3569	-8.728	2.6855	10.2386	5.0354	9.5673	19.1345	3.8605	21.8201	-4.1962	10.5743	8.5602	1	211	110	2	1	2
-5.7068	-15.6097	-5.5389	-1.8463	-15.6097	-5.2032	3.3569	-9.2316	2.182	10.2386	4.6997	9.0637	18.7988	4.5319	21.3165	-4.1962	10.5743	8.2245	1	212	111	2	1	2
-5.5389	-15.6097	-5.3711	-1.6785	-15.9454	-5.2032	3.6926	-9.3994	2.182	10.0708	4.1962	8.3923	18.1274	4.8676	20.4773	-4.0283	10.2386	7.5531	1	213	112	2	1	2
-5.3711	-15.6097	-5.2032	-1.5106	-15.9454	-5.3711	3.8605	-9.7351	1.8463	9.903	3.8605	7.8888	17.7917	4.8676	19.6381	-3.8605	9.903	7.2174	1	214	113	2	1	2
-5.0354	-15.274	-5.0354	-1.3428	-16.1133	-5.5389	4.0283	-9.903	1.6785	9.5673	3.5248	7.3853	17.2882	4.8676	18.7988	-3.6926	9.5673	6.8817	1	215	114	2	1	2
-5.0354	-15.274	-5.0354	-1.1749	-16.1133	-5.7068	4.1962	-10.4065	1.3428	9.5673	3.0212	7.0496	16.6168	4.6997	17.7917	-3.5248	9.2316	6.546	1	216	115	2	1	2
-4.6997	-14.9384	-4.5319	-0.8392	-15.9454	-5.3711	4.364	-10.2386	1.3428	9.2316	2.5177	6.3782	16.1133	4.5319	16.7847	-3.1891	8.8959	5.8746	1	217	116	2	1	2
-4.364	-14.7705	-4.1962	-0.6714	-15.9454	-5.5389	4.5319	-10.4065	1.1749	9.3994	2.182	6.0425	15.6097	4.5319	16.1133	-3.0212	8.3923	5.3711	1	218	117	2	1	2
-4.1962	-14.4348	-3.8605	-0.3357	-15.4419	-5.3711	4.5319	-10.5743	1.0071	8.8959	1.5106	5.3711	14.7705	4.1962	14.7705	-2.8534	7.8888	4.5319	1	219	118	2	1	2
-3.8605	-14.267	-3.5248	-0.1678	-15.274	-5.3711	4.5319	-10.7422	1.0071	8.728	0.8392	4.6997	14.0991	4.1962	13.9313	-2.6855	7.3853	3.6926	1	220	119	2	1	2
-3.5248	-13.9313	-3.0212	0.1678	-14.9384	-5.0354	4.6997	-10.7422	0.8392	8.5602	0.3357	4.1962	13.4277	4.1962	13.092	-2.5177	7.0496	2.8534	1	221	120	2	1	2
-3.1891	-13.7634	-2.5177	0.3357	-14.6027	-4.8676	4.8676	-10.91	0.6714	8.3923	-0.3357	3.6926	12.9242	4.1962	11.9171	-2.5177	6.546	2.0142	1	222	121	2	1	2
-2.8534	-13.4277	-2.182	0.6714	-14.267	-4.6997	4.8676	-10.91	0.8392	8.3923	-0.8392	3.0212	12.2528	4.364	11.2457	-2.5177	6.3782	1.1749	1	223	122	2	1	2
