"Subject"	"numTrials"	"numArtifact"	"numIncorrect"	"numAccept"
1	223	308	15	189
2	255	280	9	223
3	253	266	2	244
4	248	343	10	162
5	250	265	8	239
6	250	285	25	205
7	253	308	5	201
8	255	265	26	221
9	251	283	40	193
10	253	261	4	247
11	254	258	21	233
12	255	262	5	245
13	255	264	4	244
14	209	304	10	198
15	252	261	23	228
16	255	261	13	238
17	250	310	18	186
18	254	281	6	226
19	248	275	4	233
20	253	263	39	213
21	253	260	8	244
22	246	283	26	204
23	252	270	15	227
24	250	266	5	241
25	250	278	12	226
26	251	262	14	236
27	206	336	15	162
28	256	257	13	242
29	245	282	3	227
30	255	257	4	251
31	254	266	3	243
32	122	398	2	113
33	252	353	15	148
34	206	308	16	188
35	251	282	31	203
36	256	261	13	238
37	254	258	7	247
38	248	299	11	203
39	222	300	4	208
40	249	268	24	220
41	256	261	12	239
42	255	259	4	249
43	254	264	10	238
44	256	262	1	249
45	251	264	12	236
46	235	287	13	213
47	251	301	54	169
48	242	275	30	207
49	251	271	4	237
50	253	287	36	192
51	247	405	3	106
52	256	270	27	217
53	256	317	32	171
54	256	284	24	208
55	256	257	7	248
56	245	270	34	208
57	256	262	11	240
58	256	273	10	229
59	256	270	6	236
60	256	257	9	246
61	256	264	18	232
62	209	382	9	122
63	256	265	6	241
64	256	260	23	229
66	256	260	100	153
