Subject	Begin	End
1	110	160
2	130	190
3	130	190
4	130	190
5	120	180
6	130	190
7	130	190
8	130	190
9	130	190
10	130	190
11	130	190
12	130	190
13	130	190
14	130	190
15	130	190
16	130	190
17	120	190
18	130	190
19	130	190
20	130	190
21	130	190
22	130	190
23	130	190
24	130	190
25	130	190
26	130	190
27	120	180
28	130	190
29	130	190
30	120	180
31	120	180
32	120	180
33	130	190
34	130	190
35	130	190
36	130	190
37	130	190
38	120	180
39	130	190
40	130	190
41	130	190
42	130	190
43	130	190
44	130	190
45	130	190
46	130	180
47	130	190
48	160	220
49	130	190
50	130	180
51	130	190
52	140	190
53	160	220
54	130	190
55	130	200
56	130	200
57	130	170
58	170	230
59	130	180
60	170	230
61	130	190
62	130	190
63	130	190
64	130	190
65	0	0
66	130	190
