[Electrode Labels]
[      FZ]	[     FC3]	[     FCZ]	[     FC4]	[      C3]	[      CZ]	[      C4]	[     CP3]	[     CPZ]	[     CP4]	[      P3]	[      PZ]	[      P4]	[      OZ]	[     FP1]	[     FP2]	[      A2]	[   P8/T6]	[     TP7]	[     TP8]	[   P7/T5]	[    VEOG]	[    HEOG]	[    Nose]	
[Average Data]
     0.0126	     0.0741	     0.0072	     0.1118	     0.0899	     0.0760	     0.1749	     0.1600	     0.2103	     0.2744	     0.2254	     0.2917	     0.3218	     0.0681	    -0.1709	    -0.1472	    -0.1296	     0.2959	     0.0973	     0.1936	     0.1977	    -0.5780	     0.0627	    -0.1694	
     0.0181	     0.0866	     0.0161	     0.1177	     0.0990	     0.0822	     0.1859	     0.1697	     0.2218	     0.2926	     0.2381	     0.3080	     0.3413	     0.0630	    -0.1567	    -0.1412	    -0.1213	     0.3096	     0.1028	     0.1992	     0.2089	    -0.5891	     0.0592	    -0.1596	
     0.0215	     0.0906	     0.0267	     0.1234	     0.1030	     0.0887	     0.1957	     0.1734	     0.2313	     0.3058	     0.2486	     0.3184	     0.3529	     0.0574	    -0.1434	    -0.1331	    -0.1142	     0.3182	     0.1060	     0.2023	     0.2190	    -0.6005	     0.0679	    -0.1486	
     0.0258	     0.0909	     0.0290	     0.1255	     0.1046	     0.0889	     0.2037	     0.1778	     0.2374	     0.3164	     0.2545	     0.3277	     0.3664	     0.0516	    -0.1300	    -0.1236	    -0.1067	     0.3261	     0.1056	     0.2065	     0.2259	    -0.6086	     0.0876	    -0.1330	
     0.0262	     0.0961	     0.0340	     0.1261	     0.1050	     0.0949	     0.2135	     0.1778	     0.2412	     0.3275	     0.2586	     0.3381	     0.3788	     0.0451	    -0.1138	    -0.1132	    -0.1010	     0.3350	     0.1044	     0.2045	     0.2324	    -0.6124	     0.1103	    -0.1227	
     0.0269	     0.0917	     0.0346	     0.1253	     0.1013	     0.0938	     0.2178	     0.1755	     0.2427	     0.3332	     0.2583	     0.3406	     0.3880	     0.0399	    -0.1031	    -0.1056	    -0.0955	     0.3407	     0.0995	     0.2064	     0.2345	    -0.6050	     0.1348	    -0.1106	
     0.0297	     0.0924	     0.0364	     0.1261	     0.1014	     0.0946	     0.2257	     0.1745	     0.2447	     0.3366	     0.2599	     0.3443	     0.3902	     0.0373	    -0.0916	    -0.0953	    -0.0931	     0.3403	     0.0972	     0.2080	     0.2410	    -0.5929	     0.1544	    -0.0941	
     0.0246	     0.0897	     0.0349	     0.1235	     0.0981	     0.0945	     0.2249	     0.1750	     0.2446	     0.3393	     0.2595	     0.3423	     0.3948	     0.0349	    -0.0829	    -0.0912	    -0.0919	     0.3438	     0.0921	     0.2054	     0.2456	    -0.5696	     0.1678	    -0.0844	
     0.0235	     0.0849	     0.0345	     0.1195	     0.0957	     0.0905	     0.2248	     0.1732	     0.2421	     0.3385	     0.2573	     0.3415	     0.3962	     0.0325	    -0.0767	    -0.0862	    -0.0911	     0.3390	     0.0877	     0.1995	     0.2443	    -0.5337	     0.1667	    -0.0752	
