[Electrode Labels]
[      FZ]	[     FC3]	[     FCZ]	[     FC4]	[      C3]	[      CZ]	[      C4]	[     CP3]	[     CPZ]	[     CP4]	[      P3]	[      PZ]	[      P4]	[      OZ]	[     FP1]	[     FP2]	[      A2]	[   P8/T6]	[     TP7]	[     TP8]	[   P7/T5]	[    VEOG]	[    HEOG]	[    Nose]	
[Average Data]
     0.0385	     0.0654	    -0.0285	    -0.0756	     0.0518	    -0.1022	    -0.0806	     0.0116	    -0.1759	    -0.1079	    -0.0198	    -0.1568	    -0.0791	    -0.0243	    -0.0050	    -0.0670	     0.0527	     0.0779	     0.1333	     0.0233	     0.0862	    -1.1660	    -0.2062	    -0.0070	
     0.0490	     0.0776	    -0.0224	    -0.0691	     0.0622	    -0.0951	    -0.0739	     0.0271	    -0.1611	    -0.0971	    -0.0032	    -0.1418	    -0.0672	    -0.0272	    -0.0029	    -0.0555	     0.0687	     0.0771	     0.1375	     0.0216	     0.0970	    -1.1763	    -0.2446	    -0.0085	
     0.0556	     0.0867	    -0.0165	    -0.0653	     0.0746	    -0.0850	    -0.0690	     0.0402	    -0.1470	    -0.0846	     0.0115	    -0.1263	    -0.0552	    -0.0306	    -0.0023	    -0.0501	     0.0821	     0.0729	     0.1441	     0.0182	     0.1065	    -1.1844	    -0.2871	    -0.0123	
     0.0625	     0.0924	    -0.0157	    -0.0646	     0.0798	    -0.0774	    -0.0670	     0.0543	    -0.1340	    -0.0759	     0.0217	    -0.1158	    -0.0484	    -0.0314	    -0.0010	    -0.0476	     0.0891	     0.0742	     0.1468	     0.0152	     0.1167	    -1.1890	    -0.3232	    -0.0119	
     0.0639	     0.0896	    -0.0139	    -0.0621	     0.0829	    -0.0716	    -0.0579	     0.0601	    -0.1264	    -0.0669	     0.0335	    -0.1077	    -0.0381	    -0.0327	    -0.0052	    -0.0469	     0.0926	     0.0705	     0.1483	     0.0147	     0.1247	    -1.1902	    -0.3431	    -0.0128	
     0.0677	     0.0884	    -0.0107	    -0.0618	     0.0851	    -0.0608	    -0.0518	     0.0695	    -0.1108	    -0.0565	     0.0409	    -0.0916	    -0.0272	    -0.0296	     0.0005	    -0.0427	     0.0889	     0.0697	     0.1492	     0.0155	     0.1312	    -1.1849	    -0.3437	    -0.0079	
     0.0674	     0.0818	    -0.0081	    -0.0592	     0.0843	    -0.0508	    -0.0444	     0.0768	    -0.0971	    -0.0461	     0.0525	    -0.0778	    -0.0114	    -0.0271	     0.0014	    -0.0402	     0.0780	     0.0696	     0.1536	     0.0202	     0.1419	    -1.1685	    -0.3221	    -0.0064	
     0.0664	     0.0727	    -0.0092	    -0.0524	     0.0795	    -0.0437	    -0.0368	     0.0792	    -0.0813	    -0.0328	     0.0615	    -0.0650	    -0.0024	    -0.0256	    -0.0018	    -0.0448	     0.0690	     0.0726	     0.1572	     0.0256	     0.1501	    -1.1375	    -0.2844	     0.0025	
     0.0621	     0.0614	    -0.0086	    -0.0472	     0.0758	    -0.0326	    -0.0275	     0.0851	    -0.0698	    -0.0218	     0.0702	    -0.0508	     0.0099	    -0.0250	     0.0011	    -0.0444	     0.0579	     0.0716	     0.1615	     0.0304	     0.1560	    -1.0977	    -0.2378	     0.0117	
