[Electrode Labels]
[      FZ]	[     FC3]	[     FCZ]	[     FC4]	[      C3]	[      CZ]	[      C4]	[     CP3]	[     CPZ]	[     CP4]	[      P3]	[      PZ]	[      P4]	[      OZ]	[     FP1]	[     FP2]	[      A2]	[   P8/T6]	[     TP7]	[     TP8]	[   P7/T5]	[    VEOG]	[    HEOG]	[    Nose]	
[Average Data]
     0.1058	     0.1832	     0.1214	     0.2547	     0.2232	     0.2195	     0.3242	     0.3147	     0.3777	     0.4414	     0.4304	     0.4732	     0.5079	     0.2467	    -0.0086	     0.0248	     0.1696	     0.4756	     0.2911	     0.3369	     0.4801	    -1.3046	     0.0451	    -0.2210	
     0.1065	     0.1874	     0.1258	     0.2585	     0.2253	     0.2239	     0.3383	     0.3177	     0.3867	     0.4587	     0.4355	     0.4843	     0.5248	     0.2516	     0.0012	     0.0275	     0.1694	     0.4850	     0.2893	     0.3421	     0.4809	    -1.2797	     0.0423	    -0.2108	
     0.1041	     0.1810	     0.1285	     0.2590	     0.2217	     0.2250	     0.3434	     0.3148	     0.3912	     0.4704	     0.4349	     0.4884	     0.5314	     0.2462	     0.0059	     0.0289	     0.1663	     0.4866	     0.2813	     0.3418	     0.4770	    -1.2539	     0.0528	    -0.1976	
     0.0994	     0.1692	     0.1223	     0.2531	     0.2123	     0.2194	     0.3449	     0.3085	     0.3900	     0.4742	     0.4280	     0.4881	     0.5349	     0.2308	     0.0071	     0.0266	     0.1594	     0.4848	     0.2696	     0.3421	     0.4662	    -1.2250	     0.0774	    -0.1832	
     0.0926	     0.1620	     0.1195	     0.2472	     0.2029	     0.2191	     0.3507	     0.3020	     0.3898	     0.4803	     0.4223	     0.4930	     0.5428	     0.2109	     0.0117	     0.0281	     0.1543	     0.4860	     0.2577	     0.3361	     0.4582	    -1.1960	     0.1083	    -0.1744	
     0.0850	     0.1476	     0.1136	     0.2415	     0.1909	     0.2127	     0.3475	     0.2911	     0.3845	     0.4788	     0.4125	     0.4872	     0.5440	     0.1783	     0.0060	     0.0217	     0.1476	     0.4837	     0.2430	     0.3326	     0.4463	    -1.1589	     0.1407	    -0.1635	
     0.0741	     0.1320	     0.1027	     0.2263	     0.1724	     0.2015	     0.3407	     0.2758	     0.3740	     0.4698	     0.3978	     0.4785	     0.5312	     0.1354	    -0.0015	     0.0168	     0.1328	     0.4696	     0.2245	     0.3242	     0.4298	    -1.1178	     0.1694	    -0.1488	
     0.0619	     0.1184	     0.0944	     0.2159	     0.1612	     0.1938	     0.3299	     0.2638	     0.3642	     0.4618	     0.3825	     0.4650	     0.5232	     0.0924	    -0.0082	     0.0115	     0.1202	     0.4626	     0.2093	     0.3133	     0.4137	    -1.0669	     0.1897	    -0.1384	
     0.0531	     0.1049	     0.0848	     0.2033	     0.1476	     0.1816	     0.3203	     0.2519	     0.3527	     0.4502	     0.3666	     0.4529	     0.5117	     0.0514	    -0.0146	     0.0023	     0.1080	     0.4469	     0.1928	     0.2989	     0.3960	    -1.0034	     0.1913	    -0.1282	
     0.0410	     0.0935	     0.0753	     0.1853	     0.1320	     0.1710	     0.3040	     0.2356	     0.3404	     0.4296	     0.3490	     0.4387	     0.4926	     0.0120	    -0.0272	    -0.0075	     0.0910	     0.4325	     0.1749	     0.2799	     0.3743	    -0.9318	     0.1835	    -0.1145	
     0.0318	     0.0877	     0.0646	     0.1698	     0.1217	     0.1571	     0.2886	     0.2225	     0.3240	     0.4125	     0.3349	     0.4229	     0.4739	    -0.0140	    -0.0349	    -0.0158	     0.0756	     0.4110	     0.1575	     0.2618	     0.3568	    -0.8606	     0.1588	    -0.1030	
     0.0213	     0.0798	     0.0574	     0.1559	     0.1123	     0.1417	     0.2708	     0.2088	     0.3070	     0.3896	     0.3159	     0.4069	     0.4511	    -0.0323	    -0.0455	    -0.0290	     0.0570	     0.3865	     0.1418	     0.2373	     0.3361	    -0.7967	     0.1243	    -0.0890	
     0.0192	     0.0795	     0.0565	     0.1463	     0.1053	     0.1350	     0.2576	     0.2000	     0.2961	     0.3705	     0.3056	     0.3960	     0.4323	    -0.0354	    -0.0507	    -0.0367	     0.0440	     0.3659	     0.1323	     0.2227	     0.3227	    -0.7483	     0.0878	    -0.0803	
     0.0168	     0.0743	     0.0534	     0.1372	     0.1042	     0.1279	     0.2429	     0.1920	     0.2836	     0.3532	     0.2950	     0.3829	     0.4086	    -0.0315	    -0.0573	    -0.0384	     0.0311	     0.3432	     0.1247	     0.2070	     0.3114	    -0.7142	     0.0506	    -0.0709	
     0.0181	     0.0749	     0.0494	     0.1290	     0.1000	     0.1204	     0.2282	     0.1827	     0.2738	     0.3335	     0.2802	     0.3704	     0.3879	    -0.0223	    -0.0553	    -0.0429	     0.0177	     0.3193	     0.1142	     0.1898	     0.2966	    -0.6935	     0.0236	    -0.0612	
     0.0248	     0.0751	     0.0523	     0.1238	     0.0997	     0.1191	     0.2186	     0.1784	     0.2657	     0.3149	     0.2717	     0.3606	     0.3717	    -0.0088	    -0.0546	    -0.0475	     0.0072	     0.2982	     0.1107	     0.1723	     0.2893	    -0.6814	     0.0044	    -0.0545	
     0.0217	     0.0719	     0.0518	     0.1183	     0.0978	     0.1122	     0.2023	     0.1696	     0.2529	     0.2975	     0.2609	     0.3458	     0.3491	     0.0034	    -0.0605	    -0.0508	    -0.0053	     0.2748	     0.1024	     0.1518	     0.2781	    -0.6732	     0.0024	    -0.0454	
     0.0298	     0.0716	     0.0593	     0.1220	     0.1019	     0.1115	     0.1978	     0.1691	     0.2480	     0.2854	     0.2548	     0.3393	     0.3335	     0.0199	    -0.0575	    -0.0533	    -0.0083	     0.2570	     0.1017	     0.1427	     0.2703	    -0.6658	     0.0101	    -0.0425	
