[Electrode Labels]
[      FZ]	[     FC3]	[     FCZ]	[     FC4]	[      C3]	[      CZ]	[      C4]	[     CP3]	[     CPZ]	[     CP4]	[      P3]	[      PZ]	[      P4]	[      OZ]	[     FP1]	[     FP2]	[      A2]	[   P8/T6]	[     TP7]	[     TP8]	[   P7/T5]	[    VEOG]	[    HEOG]	[    Nose]	
[Average Data]
    -0.0154	     0.0014	    -0.0810	    -0.1354	    -0.0087	    -0.1365	    -0.1435	    -0.0268	    -0.1997	    -0.1461	    -0.0212	    -0.1753	    -0.0964	     0.2375	    -0.0154	     0.0004	     0.1361	     0.0661	     0.1375	    -0.0176	     0.1041	    -1.2963	    -0.1117	    -0.0477	
     0.0006	     0.0173	    -0.0663	    -0.1287	     0.0080	    -0.1236	    -0.1353	    -0.0080	    -0.1822	    -0.1389	    -0.0013	    -0.1585	    -0.0889	     0.2150	    -0.0149	     0.0106	     0.1405	     0.0599	     0.1394	    -0.0219	     0.1169	    -1.2898	    -0.1428	    -0.0366	
     0.0141	     0.0327	    -0.0549	    -0.1205	     0.0266	    -0.1092	    -0.1268	     0.0093	    -0.1672	    -0.1262	     0.0171	    -0.1414	    -0.0764	     0.1674	    -0.0147	     0.0163	     0.1448	     0.0551	     0.1431	    -0.0249	     0.1296	    -1.2892	    -0.1838	    -0.0274	
     0.0262	     0.0414	    -0.0475	    -0.1170	     0.0354	    -0.0976	    -0.1223	     0.0265	    -0.1518	    -0.1159	     0.0305	    -0.1292	    -0.0712	     0.1011	    -0.0134	     0.0168	     0.1438	     0.0550	     0.1428	    -0.0288	     0.1407	    -1.2915	    -0.2219	    -0.0191	
     0.0307	     0.0430	    -0.0423	    -0.1126	     0.0428	    -0.0905	    -0.1102	     0.0351	    -0.1446	    -0.1084	     0.0426	    -0.1194	    -0.0635	     0.0248	    -0.0173	     0.0158	     0.1409	     0.0502	     0.1415	    -0.0306	     0.1491	    -1.2957	    -0.2505	    -0.0118	
     0.0376	     0.0425	    -0.0364	    -0.1119	     0.0455	    -0.0813	    -0.1043	     0.0448	    -0.1307	    -0.1001	     0.0488	    -0.1052	    -0.0569	    -0.0472	    -0.0124	     0.0136	     0.1351	     0.0451	     0.1370	    -0.0312	     0.1556	    -1.2968	    -0.2658	    -0.0068	
     0.0392	     0.0393	    -0.0327	    -0.1066	     0.0483	    -0.0720	    -0.0962	     0.0515	    -0.1204	    -0.0914	     0.0578	    -0.0959	    -0.0475	    -0.1041	    -0.0111	     0.0095	     0.1235	     0.0410	     0.1345	    -0.0292	     0.1638	    -1.2919	    -0.2608	    -0.0037	
     0.0382	     0.0298	    -0.0356	    -0.1024	     0.0404	    -0.0682	    -0.0901	     0.0506	    -0.1082	    -0.0825	     0.0642	    -0.0859	    -0.0435	    -0.1421	    -0.0151	     0.0002	     0.1106	     0.0376	     0.1324	    -0.0291	     0.1664	    -1.2728	    -0.2423	     0.0023	
     0.0319	     0.0156	    -0.0394	    -0.0999	     0.0341	    -0.0637	    -0.0846	     0.0507	    -0.1056	    -0.0766	     0.0661	    -0.0798	    -0.0391	    -0.1560	    -0.0144	    -0.0105	     0.0943	     0.0309	     0.1238	    -0.0287	     0.1660	    -1.2426	    -0.2120	     0.0083	
     0.0308	     0.0092	    -0.0361	    -0.0930	     0.0308	    -0.0608	    -0.0758	     0.0541	    -0.0915	    -0.0657	     0.0748	    -0.0673	    -0.0317	    -0.1406	    -0.0070	    -0.0157	     0.0832	     0.0274	     0.1226	    -0.0223	     0.1725	    -1.1987	    -0.1733	     0.0090	
     0.0266	     0.0014	    -0.0406	    -0.0891	     0.0242	    -0.0540	    -0.0666	     0.0554	    -0.0842	    -0.0587	     0.0773	    -0.0583	    -0.0214	    -0.1067	    -0.0068	    -0.0236	     0.0700	     0.0241	     0.1189	    -0.0224	     0.1769	    -1.1432	    -0.1337	     0.0124	
     0.0198	    -0.0058	    -0.0401	    -0.0835	     0.0237	    -0.0460	    -0.0536	     0.0602	    -0.0699	    -0.0442	     0.0851	    -0.0463	    -0.0121	    -0.0549	    -0.0010	    -0.0294	     0.0617	     0.0217	     0.1169	    -0.0205	     0.1826	    -1.0815	    -0.0941	     0.0136	
     0.0094	    -0.0152	    -0.0445	    -0.0841	     0.0134	    -0.0491	    -0.0536	     0.0535	    -0.0626	    -0.0435	     0.0844	    -0.0422	    -0.0120	    -0.0011	    -0.0073	    -0.0463	     0.0508	     0.0131	     0.1127	    -0.0241	     0.1793	    -1.0135	    -0.0695	     0.0225	
     0.0071	    -0.0173	    -0.0440	    -0.0763	     0.0148	    -0.0355	    -0.0429	     0.0597	    -0.0483	    -0.0289	     0.0918	    -0.0270	    -0.0026	     0.0631	    -0.0060	    -0.0537	     0.0446	     0.0142	     0.1169	    -0.0203	     0.1838	    -0.9514	    -0.0553	     0.0242	
     0.0032	    -0.0163	    -0.0385	    -0.0668	     0.0179	    -0.0261	    -0.0332	     0.0677	    -0.0342	    -0.0188	     0.1031	    -0.0136	     0.0068	     0.1221	    -0.0107	    -0.0631	     0.0438	     0.0157	     0.1214	    -0.0210	     0.1881	    -0.8903	    -0.0526	     0.0269	
