[Electrode Labels]
[      FZ]	[     FC3]	[     FCZ]	[     FC4]	[      C3]	[      CZ]	[      C4]	[     CP3]	[     CPZ]	[     CP4]	[      P3]	[      PZ]	[      P4]	[      OZ]	[     FP1]	[     FP2]	[      A2]	[   P8/T6]	[     TP7]	[     TP8]	[   P7/T5]	[    VEOG]	[    HEOG]	[    Nose]	
[Average Data]
    -0.0570	    -0.0348	    -0.1286	    -0.0977	    -0.0660	    -0.1783	    -0.0881	    -0.0935	    -0.1690	    -0.1398	    -0.1112	    -0.1357	    -0.0749	     0.0250	    -0.1940	     0.0581	     0.0076	     0.0552	     0.0168	     0.0959	     0.0001	    -1.1037	     0.1117	    -0.0582	
    -0.0596	    -0.0207	    -0.1296	    -0.1036	    -0.0531	    -0.1717	    -0.0894	    -0.0809	    -0.1582	    -0.1401	    -0.1014	    -0.1249	    -0.0755	     0.0419	    -0.2115	     0.0619	     0.0009	     0.0422	     0.0202	     0.0782	     0.0018	    -1.1017	     0.0867	    -0.0493	
    -0.0655	    -0.0131	    -0.1291	    -0.1099	    -0.0398	    -0.1685	    -0.0929	    -0.0713	    -0.1522	    -0.1403	    -0.0952	    -0.1129	    -0.0773	     0.0476	    -0.2328	     0.0581	    -0.0050	     0.0278	     0.0255	     0.0570	     0.0030	    -1.1020	     0.0643	    -0.0399	
    -0.0765	    -0.0087	    -0.1320	    -0.1187	    -0.0349	    -0.1663	    -0.0972	    -0.0657	    -0.1509	    -0.1415	    -0.0845	    -0.1087	    -0.0782	     0.0397	    -0.2508	     0.0518	    -0.0135	     0.0083	     0.0275	     0.0346	     0.0008	    -1.1034	     0.0566	    -0.0286	
    -0.0820	     0.0001	    -0.1307	    -0.1192	    -0.0257	    -0.1593	    -0.0967	    -0.0530	    -0.1437	    -0.1399	    -0.0775	    -0.0962	    -0.0767	     0.0234	    -0.2611	     0.0403	    -0.0152	    -0.0022	     0.0285	     0.0167	     0.0032	    -1.1047	     0.0639	    -0.0218	
    -0.0906	     0.0049	    -0.1328	    -0.1252	    -0.0193	    -0.1596	    -0.0998	    -0.0487	    -0.1393	    -0.1379	    -0.0736	    -0.0928	    -0.0787	    -0.0057	    -0.2758	     0.0217	    -0.0209	    -0.0220	     0.0308	    -0.0031	     0.0019	    -1.0992	     0.0805	    -0.0116	
    -0.0997	     0.0076	    -0.1386	    -0.1321	    -0.0148	    -0.1610	    -0.1009	    -0.0408	    -0.1379	    -0.1401	    -0.0693	    -0.0887	    -0.0812	    -0.0418	    -0.2836	     0.0030	    -0.0238	    -0.0374	     0.0308	    -0.0257	     0.0000	    -1.0896	     0.1053	    -0.0015	
    -0.1062	     0.0159	    -0.1380	    -0.1294	    -0.0040	    -0.1555	    -0.0978	    -0.0287	    -0.1305	    -0.1324	    -0.0583	    -0.0756	    -0.0768	    -0.0740	    -0.2844	    -0.0126	    -0.0190	    -0.0484	     0.0345	    -0.0360	     0.0028	    -1.0682	     0.1299	     0.0018	
    -0.1096	     0.0246	    -0.1366	    -0.1271	     0.0039	    -0.1481	    -0.0947	    -0.0176	    -0.1214	    -0.1276	    -0.0517	    -0.0702	    -0.0739	    -0.1073	    -0.2803	    -0.0297	    -0.0146	    -0.0581	     0.0374	    -0.0494	     0.0027	    -1.0424	     0.1506	     0.0072	
    -0.1159	     0.0354	    -0.1364	    -0.1254	     0.0140	    -0.1450	    -0.0853	    -0.0068	    -0.1125	    -0.1174	    -0.0409	    -0.0586	    -0.0639	    -0.1328	    -0.2734	    -0.0444	    -0.0083	    -0.0698	     0.0402	    -0.0540	     0.0082	    -1.0076	     0.1552	     0.0098	
    -0.1169	     0.0438	    -0.1338	    -0.1181	     0.0243	    -0.1335	    -0.0757	     0.0105	    -0.1030	    -0.1073	    -0.0334	    -0.0460	    -0.0578	    -0.1482	    -0.2582	    -0.0598	    -0.0027	    -0.0741	     0.0422	    -0.0613	     0.0151	    -0.9685	     0.1500	     0.0110	
    -0.1208	     0.0493	    -0.1291	    -0.1109	     0.0323	    -0.1265	    -0.0683	     0.0197	    -0.0861	    -0.0932	    -0.0232	    -0.0329	    -0.0472	    -0.1530	    -0.2412	    -0.0724	     0.0042	    -0.0799	     0.0472	    -0.0664	     0.0181	    -0.9273	     0.1284	     0.0128	
