[Electrode Labels]
[      FZ]	[     FC3]	[     FCZ]	[     FC4]	[      C3]	[      CZ]	[      C4]	[     CP3]	[     CPZ]	[     CP4]	[      P3]	[      PZ]	[      P4]	[      OZ]	[     FP1]	[     FP2]	[      A2]	[   P8/T6]	[     TP7]	[     TP8]	[   P7/T5]	[    VEOG]	[    HEOG]	[    Nose]	
[Average Data]
    -0.1022	     0.0392	    -0.0748	     0.0251	     0.1953	     0.0598	     0.0880	     0.2574	     0.1796	     0.2247	     0.3055	     0.2419	     0.2744	     0.2734	    -0.0306	    -0.0306	     0.2079	     0.3277	     0.2553	     0.1790	     0.4072	    -1.5778	     0.2447	    -0.1219	
    -0.0881	     0.0571	    -0.0590	     0.0381	     0.2055	     0.0726	     0.1047	     0.2661	     0.1984	     0.2394	     0.3124	     0.2568	     0.2894	     0.2795	    -0.0208	    -0.0180	     0.2125	     0.3479	     0.2566	     0.1915	     0.4061	    -1.5456	     0.2213	    -0.1316	
    -0.0822	     0.0666	    -0.0425	     0.0529	     0.2125	     0.0843	     0.1175	     0.2672	     0.2084	     0.2472	     0.3169	     0.2703	     0.3035	     0.2527	    -0.0114	    -0.0079	     0.2135	     0.3647	     0.2550	     0.2025	     0.4001	    -1.5104	     0.2003	    -0.1399	
    -0.0724	     0.0788	    -0.0309	     0.0687	     0.2162	     0.0953	     0.1324	     0.2720	     0.2206	     0.2594	     0.3209	     0.2811	     0.3169	     0.2033	    -0.0054	    -0.0010	     0.2167	     0.3827	     0.2532	     0.2135	     0.3988	    -1.4677	     0.1890	    -0.1513	
    -0.0643	     0.0880	    -0.0187	     0.0772	     0.2194	     0.1072	     0.1437	     0.2756	     0.2315	     0.2673	     0.3234	     0.2918	     0.3296	     0.1356	    -0.0024	     0.0046	     0.2147	     0.3953	     0.2491	     0.2230	     0.3917	    -1.4189	     0.1893	    -0.1603	
    -0.0542	     0.0931	    -0.0080	     0.0846	     0.2198	     0.1188	     0.1560	     0.2737	     0.2423	     0.2751	     0.3274	     0.3045	     0.3394	     0.0641	     0.0010	     0.0099	     0.2123	     0.4085	     0.2453	     0.2323	     0.3896	    -1.3694	     0.1986	    -0.1694	
    -0.0463	     0.1016	     0.0016	     0.0946	     0.2178	     0.1294	     0.1649	     0.2760	     0.2520	     0.2797	     0.3261	     0.3094	     0.3523	    -0.0009	     0.0019	     0.0123	     0.2051	     0.4205	     0.2375	     0.2412	     0.3850	    -1.3198	     0.2226	    -0.1763	
    -0.0391	     0.1046	     0.0096	     0.0956	     0.2140	     0.1344	     0.1704	     0.2724	     0.2571	     0.2827	     0.3259	     0.3163	     0.3565	    -0.0489	    -0.0029	     0.0116	     0.1971	     0.4262	     0.2280	     0.2472	     0.3761	    -1.2723	     0.2577	    -0.1795	
    -0.0345	     0.1077	     0.0234	     0.1003	     0.2125	     0.1405	     0.1757	     0.2727	     0.2652	     0.2893	     0.3274	     0.3249	     0.3659	    -0.0680	    -0.0063	     0.0129	     0.1901	     0.4344	     0.2215	     0.2532	     0.3723	    -1.2239	     0.2956	    -0.1846	
