"Subject"	"Bin"	"Electrode"	"Condition"	"MeanAmp"	"Race"	"Fix"
1	1	"CZ"	"Black_forehead"	15.1975286764706	"Black"	"forehead"
1	1	"CPZ"	"Black_forehead"	14.5829107843137	"Black"	"forehead"
1	1	"PZ"	"Black_forehead"	9.23526691176471	"Black"	"forehead"
1	1	"C3"	"Black_forehead"	13.3269414215686	"Black"	"forehead"
1	1	"C4"	"Black_forehead"	12.3141029411765	"Black"	"forehead"
1	1	"CP3"	"Black_forehead"	11.5612644607843	"Black"	"forehead"
1	1	"CP4"	"Black_forehead"	11.1112041666667	"Black"	"forehead"
1	2	"CZ"	"Black_forehead"	-2.30871691176471	"Black"	"forehead"
1	2	"CPZ"	"Black_forehead"	-2.64070588235294	"Black"	"forehead"
1	2	"PZ"	"Black_forehead"	-2.93155539215686	"Black"	"forehead"
1	2	"C3"	"Black_forehead"	0.0222174019607843	"Black"	"forehead"
1	2	"C4"	"Black_forehead"	-0.030444362745098	"Black"	"forehead"
1	2	"CP3"	"Black_forehead"	0.82977181372549	"Black"	"forehead"
1	2	"CP4"	"Black_forehead"	0.254241176470588	"Black"	"forehead"
1	3	"CZ"	"Black_forehead"	6.26545343137255	"Black"	"forehead"
1	3	"CPZ"	"Black_forehead"	6.25105710784314	"Black"	"forehead"
1	3	"PZ"	"Black_forehead"	4.03984117647059	"Black"	"forehead"
1	3	"C3"	"Black_forehead"	7.34534779411765	"Black"	"forehead"
1	3	"C4"	"Black_forehead"	7.33506715686275	"Black"	"forehead"
1	3	"CP3"	"Black_forehead"	7.45231004901961	"Black"	"forehead"
1	3	"CP4"	"Black_forehead"	7.48275171568627	"Black"	"forehead"
1	4	"CZ"	"Black_forehead"	-0.226675735294118	"Black"	"forehead"
1	4	"CPZ"	"Black_forehead"	1.19179485294118	"Black"	"forehead"
1	4	"PZ"	"Black_forehead"	2.17748088235294	"Black"	"forehead"
1	4	"C3"	"Black_forehead"	4.91650857843137	"Black"	"forehead"
1	4	"C4"	"Black_forehead"	1.37897745098039	"Black"	"forehead"
1	4	"CP3"	"Black_forehead"	2.3284625	"Black"	"forehead"
1	4	"CP4"	"Black_forehead"	2.73820539215686	"Black"	"forehead"
1	5	"CZ"	"Black_forehead"	5.54675588235294	"Black"	"forehead"
1	5	"CPZ"	"Black_forehead"	4.05752990196078	"Black"	"forehead"
1	5	"PZ"	"Black_forehead"	2.47820637254902	"Black"	"forehead"
