"Electrode"	"AvgAmp"	"Condition"	"Subject"	"faceRace"	"FixArea"
"FZ"	3.921825	"Black_eyes"	1	"Black"	"eyes"
"FC3"	4.575545	"Black_eyes"	1	"Black"	"eyes"
"FCZ"	4.454612	"Black_eyes"	1	"Black"	"eyes"
"FC4"	4.286269	"Black_eyes"	1	"Black"	"eyes"
"C3"	4.671112	"Black_eyes"	1	"Black"	"eyes"
"CZ"	4.671174	"Black_eyes"	1	"Black"	"eyes"
"C4"	4.966473	"Black_eyes"	1	"Black"	"eyes"
"CP3"	5.139008	"Black_eyes"	1	"Black"	"eyes"
"CPZ"	5.765499	"Black_eyes"	1	"Black"	"eyes"
"CP4"	5.400403	"Black_eyes"	1	"Black"	"eyes"
"P3"	5.242771	"Black_eyes"	1	"Black"	"eyes"
"PZ"	5.328744	"Black_eyes"	1	"Black"	"eyes"
"P4"	6.126621	"Black_eyes"	1	"Black"	"eyes"
"OZ"	-0.199795	"Black_eyes"	1	"Black"	"eyes"
"FP1"	4.871311	"Black_eyes"	1	"Black"	"eyes"
"FP2"	0.062686	"Black_eyes"	1	"Black"	"eyes"
"A2"	-1.072002	"Black_eyes"	1	"Black"	"eyes"
"P8/T6"	4.35886	"Black_eyes"	1	"Black"	"eyes"
"TP7"	2.10895	"Black_eyes"	1	"Black"	"eyes"
"TP8"	3.538969	"Black_eyes"	1	"Black"	"eyes"
"P7/T5"	2.314552	"Black_eyes"	1	"Black"	"eyes"
"VEOG"	-1.562098	"Black_eyes"	1	"Black"	"eyes"
"HEOG"	0.473516	"Black_eyes"	1	"Black"	"eyes"
"Nose"	2.346159	"Black_eyes"	1	"Black"	"eyes"
"FZ"	3.042054	"Black_fore"	1	"Black"	"fore"
"FC3"	3.812619	"Black_fore"	1	"Black"	"fore"
"FCZ"	3.896231	"Black_fore"	1	"Black"	"fore"
"FC4"	3.934776	"Black_fore"	1	"Black"	"fore"
"C3"	4.085485	"Black_fore"	1	"Black"	"fore"
"CZ"	3.805207	"Black_fore"	1	"Black"	"fore"
"C4"	4.035584	"Black_fore"	1	"Black"	"fore"
"CP3"	3.575807	"Black_fore"	1	"Black"	"fore"
"CPZ"	3.692182	"Black_fore"	1	"Black"	"fore"
"CP4"	4.203728	"Black_fore"	1	"Black"	"fore"
"P3"	3.622417	"Black_fore"	1	"Black"	"fore"
"PZ"	2.655037	"Black_fore"	1	"Black"	"fore"
"P4"	3.782554	"Black_fore"	1	"Black"	"fore"
"OZ"	2.800469	"Black_fore"	1	"Black"	"fore"
"FP1"	1.987387	"Black_fore"	1	"Black"	"fore"
"FP2"	-0.237879	"Black_fore"	1	"Black"	"fore"
"A2"	-0.570993	"Black_fore"	1	"Black"	"fore"
"P8/T6"	2.335384	"Black_fore"	1	"Black"	"fore"
"TP7"	1.725936	"Black_fore"	1	"Black"	"fore"
"TP8"	1.32531	"Black_fore"	1	"Black"	"fore"
"P7/T5"	2.005532	"Black_fore"	1	"Black"	"fore"
"VEOG"	-2.16226	"Black_fore"	1	"Black"	"fore"
"HEOG"	1.301086	"Black_fore"	1	"Black"	"fore"
"Nose"	1.561914	"Black_fore"	1	"Black"	"fore"
"FZ"	2.618628	"White_eyes"	1	"White"	"eyes"
"FC3"	4.393817	"White_eyes"	1	"White"	"eyes"
"FCZ"	3.526609	"White_eyes"	1	"White"	"eyes"
"FC4"	4.544415	"White_eyes"	1	"White"	"eyes"
"C3"	4.727194	"White_eyes"	1	"White"	"eyes"
"CZ"	4.672007	"White_eyes"	1	"White"	"eyes"
"C4"	4.834216	"White_eyes"	1	"White"	"eyes"
"CP3"	4.399789	"White_eyes"	1	"White"	"eyes"
"CPZ"	5.619573	"White_eyes"	1	"White"	"eyes"
"CP4"	5.988756	"White_eyes"	1	"White"	"eyes"
"P3"	5.934209	"White_eyes"	1	"White"	"eyes"
"PZ"	6.246956	"White_eyes"	1	"White"	"eyes"
"P4"	7.198087	"White_eyes"	1	"White"	"eyes"
"OZ"	0.571099	"White_eyes"	1	"White"	"eyes"
"FP1"	3.292087	"White_eyes"	1	"White"	"eyes"
"FP2"	0.272918	"White_eyes"	1	"White"	"eyes"
"A2"	-2.360184	"White_eyes"	1	"White"	"eyes"
"P8/T6"	5.429724	"White_eyes"	1	"White"	"eyes"
"TP7"	1.301269	"White_eyes"	1	"White"	"eyes"
"TP8"	3.74565	"White_eyes"	1	"White"	"eyes"
"P7/T5"	3.150538	"White_eyes"	1	"White"	"eyes"
"VEOG"	-1.597743	"White_eyes"	1	"White"	"eyes"
"HEOG"	2.765509	"White_eyes"	1	"White"	"eyes"
"Nose"	1.836593	"White_eyes"	1	"White"	"eyes"
"FZ"	0.920109	"White_fore"	1	"White"	"fore"
"FC3"	2.617779	"White_fore"	1	"White"	"fore"
