Sweep Number	Channel	Mean(130.00->190.00ms)
1	FZ	2.855340
1	FC3	3.354674
1	FCZ	2.887285
1	FC4	2.194669
1	C3	3.122355
1	CZ	2.683668
1	C4	1.845665
1	CP3	2.452445
1	CPZ	1.877498
1	CP4	0.794828
1	P3	1.304766
1	PZ	0.697359
1	P4	-0.380904
1	Oz	-1.197700
1	FP1	3.361989
1	FP2	1.946131
1	A2	2.367437
1	P8/T6	-3.202621
1	TP7	2.635526
1	TP8	-1.027079
1	P7/T5	0.137803
1	VEOG	7.828281
1	HEOG	-1.913806
1	Nose	1.733722
1	FZ	3.580471
1	FC3	3.686237
1	FCZ	4.319056
1	FC4	2.911040
1	C3	3.889649
1	CZ	4.295974
1	C4	2.597087
1	CP3	3.492898
1	CPZ	3.755186
1	CP4	2.094593
1	P3	2.664808
1	PZ	2.808072
1	P4	1.093607
1	Oz	-1.125216
1	FP1	2.523544
1	FP2	1.983688
1	A2	2.228579
1	P8/T6	-3.066653
1	TP7	2.790221
1	TP8	-0.720460
1	P7/T5	0.710887
1	VEOG	9.862772
1	HEOG	-1.152755
1	Nose	1.647995
1	FZ	3.817567
1	FC3	3.443866
1	FCZ	4.151515
1	FC4	3.454268
1	C3	2.916523
1	CZ	3.391228
1	C4	2.734427
1	CP3	2.124246
1	CPZ	2.540876
1	CP4	2.019977
1	P3	1.673747
1	PZ	1.587463
1	P4	1.194277
1	Oz	-1.021755
1	FP1	2.313546
1	FP2	2.044718
1	A2	1.992461
1	P8/T6	-1.085400
1	TP7	1.445186
1	TP8	-0.048030
1	P7/T5	0.203930
1	VEOG	8.013868
1	HEOG	-1.290941
1	Nose	1.531671
1	FZ	2.433135
1	FC3	2.604857
1	FCZ	2.457968
1	FC4	1.514816
1	C3	1.961444
1	CZ	1.859062
1	C4	0.934415
1	CP3	1.088160
1	CPZ	0.855101
1	CP4	-0.011006
1	P3	0.116484
1	PZ	0.119121
1	P4	-1.023727
1	Oz	-1.240208
1	FP1	2.565394
1	FP2	2.204524
1	A2	2.448933
1	P8/T6	-4.285318
1	TP7	1.703300
1	TP8	-2.251645
1	P7/T5	-0.827149
1	VEOG	6.192809
1	HEOG	-1.570719
1	Nose	1.709927
