[Electrode Labels]
[      FZ]	[     FC3]	[     FCZ]	[     FC4]	[      C3]	[      CZ]	[      C4]	[     CP3]	[     CPZ]	[     CP4]	[      P3]	[      PZ]	[      P4]	[      OZ]	[     FP1]	[     FP2]	[      A2]	[   P8/T6]	[     TP7]	[     TP8]	[   P7/T5]	[    VEOG]	[    HEOG]	[    Nose]	
[Average Data]
    -0.1768	    -0.1407	    -0.1910	    -0.0871	    -0.0926	    -0.1470	    -0.0825	    -0.0406	    -0.0612	    -0.0080	     0.0114	    -0.0092	     0.0104	    -0.0798	    -0.1444	    -0.1133	     0.0794	     0.0579	    -0.0218	    -0.0643	     0.1254	    -1.4849	     0.3176	    -0.0969	
    -0.1739	    -0.1313	    -0.1899	    -0.0799	    -0.0878	    -0.1456	    -0.0723	    -0.0394	    -0.0548	    -0.0036	     0.0123	    -0.0042	     0.0129	    -0.0822	    -0.1375	    -0.1147	     0.0827	     0.0665	    -0.0263	    -0.0572	     0.1155	    -1.4625	     0.2687	    -0.0991	
    -0.1774	    -0.1293	    -0.1826	    -0.0731	    -0.0847	    -0.1454	    -0.0654	    -0.0417	    -0.0507	    -0.0016	     0.0135	     0.0053	     0.0199	    -0.0810	    -0.1279	    -0.1158	     0.0820	     0.0752	    -0.0364	    -0.0458	     0.1028	    -1.4383	     0.2289	    -0.0987	
    -0.1758	    -0.1277	    -0.1828	    -0.0656	    -0.0847	    -0.1426	    -0.0574	    -0.0457	    -0.0492	     0.0006	     0.0115	     0.0076	     0.0232	    -0.0803	    -0.1247	    -0.1190	     0.0786	     0.0835	    -0.0489	    -0.0381	     0.0909	    -1.4117	     0.2062	    -0.0984	
    -0.1751	    -0.1263	    -0.1812	    -0.0625	    -0.0837	    -0.1390	    -0.0552	    -0.0415	    -0.0453	     0.0006	     0.0133	     0.0115	     0.0300	    -0.0785	    -0.1229	    -0.1194	     0.0717	     0.0897	    -0.0587	    -0.0313	     0.0815	    -1.3766	     0.2059	    -0.0993	
    -0.1759	    -0.1300	    -0.1789	    -0.0613	    -0.0838	    -0.1356	    -0.0476	    -0.0451	    -0.0406	     0.0046	     0.0147	     0.0170	     0.0316	    -0.0758	    -0.1155	    -0.1204	     0.0647	     0.0962	    -0.0675	    -0.0225	     0.0746	    -1.3355	     0.2253	    -0.0953	
    -0.1743	    -0.1279	    -0.1762	    -0.0565	    -0.0842	    -0.1305	    -0.0425	    -0.0409	    -0.0353	     0.0042	     0.0149	     0.0201	     0.0427	    -0.0731	    -0.1100	    -0.1177	     0.0544	     0.1064	    -0.0759	    -0.0119	     0.0716	    -1.2872	     0.2603	    -0.0882	
    -0.1729	    -0.1271	    -0.1741	    -0.0607	    -0.0842	    -0.1269	    -0.0418	    -0.0391	    -0.0333	     0.0076	     0.0184	     0.0261	     0.0455	    -0.0699	    -0.1067	    -0.1150	     0.0466	     0.1103	    -0.0842	    -0.0025	     0.0629	    -1.2325	     0.3116	    -0.0791	
    -0.1736	    -0.1294	    -0.1658	    -0.0599	    -0.0852	    -0.1243	    -0.0397	    -0.0341	    -0.0261	     0.0123	     0.0248	     0.0361	     0.0576	    -0.0666	    -0.1023	    -0.1117	     0.0371	     0.1166	    -0.0919	     0.0075	     0.0581	    -1.1683	     0.3629	    -0.0698	
    -0.1691	    -0.1275	    -0.1605	    -0.0566	    -0.0810	    -0.1163	    -0.0357	    -0.0301	    -0.0181	     0.0177	     0.0311	     0.0448	     0.0651	    -0.0637	    -0.0955	    -0.1164	     0.0307	     0.1298	    -0.0922	     0.0176	     0.0578	    -1.1038	     0.4059	    -0.0600	
    -0.1612	    -0.1263	    -0.1510	    -0.0540	    -0.0768	    -0.1041	    -0.0315	    -0.0252	    -0.0116	     0.0228	     0.0404	     0.0541	     0.0786	    -0.0598	    -0.0907	    -0.1114	     0.0215	     0.1362	    -0.0956	     0.0294	     0.0618	    -1.0411	     0.4250	    -0.0497	
    -0.1528	    -0.1224	    -0.1424	    -0.0496	    -0.0799	    -0.0938	    -0.0261	    -0.0162	     0.0000	     0.0252	     0.0489	     0.0657	     0.0909	    -0.0544	    -0.0835	    -0.1083	     0.0169	     0.1412	    -0.0915	     0.0351	     0.0652	    -0.9789	     0.4164	    -0.0372	
    -0.1476	    -0.1225	    -0.1357	    -0.0535	    -0.0789	    -0.0895	    -0.0278	    -0.0121	     0.0091	     0.0277	     0.0581	     0.0759	     0.0991	    -0.0528	    -0.0783	    -0.1077	     0.0133	     0.1456	    -0.0858	     0.0405	     0.0708	    -0.9241	     0.3731	    -0.0290	
    -0.1431	    -0.1223	    -0.1263	    -0.0489	    -0.0771	    -0.0759	    -0.0217	    -0.0044	     0.0208	     0.0316	     0.0662	     0.0862	     0.1142	    -0.0496	    -0.0727	    -0.1041	     0.0155	     0.1465	    -0.0808	     0.0453	     0.0787	    -0.8749	     0.3023	    -0.0183	
