"Source.File"	"Sweep.Number"	"Electrode"	"Marker"	"Latency"	"Peak"	"Subject"	"faceRace"	"FixArea"	"Hemisphere"	"Coronal"
"Sub1_Black_eyes.avg"	1	"P8/T6"	"N170"	151	-6.846002	1	"Black"	"eyes"	"right"	"posterior"
"Sub1_Black_eyes.avg"	1	"TP7"	"N170"	151	-4.149741	1	"Black"	"eyes"	"left"	"anterior"
"Sub1_Black_eyes.avg"	1	"TP8"	"N170"	153	-5.578224	1	"Black"	"eyes"	"right"	"anterior"
"Sub1_Black_eyes.avg"	1	"P7/T5"	"N170"	153	-5.138965	1	"Black"	"eyes"	"left"	"posterior"
"Sub1_Black_fore.avg"	1	"P8/T6"	"N170"	152	-6.131761	1	"Black"	"fore"	"right"	"posterior"
"Sub1_Black_fore.avg"	1	"TP7"	"N170"	140	-3.085522	1	"Black"	"fore"	"left"	"anterior"
"Sub1_Black_fore.avg"	1	"TP8"	"N170"	154	-5.667504	1	"Black"	"fore"	"right"	"anterior"
"Sub1_Black_fore.avg"	1	"P7/T5"	"N170"	143	-4.17474	1	"Black"	"fore"	"left"	"posterior"
"Sub1_White_eyes.avg"	1	"P8/T6"	"N170"	147	-4.227638	1	"White"	"eyes"	"right"	"posterior"
"Sub1_White_eyes.avg"	1	"TP7"	"N170"	139	-3.937403	1	"White"	"eyes"	"left"	"anterior"
"Sub1_White_eyes.avg"	1	"TP8"	"N170"	150	-2.891858	1	"White"	"eyes"	"right"	"anterior"
"Sub1_White_eyes.avg"	1	"P7/T5"	"N170"	139	-5.052885	1	"White"	"eyes"	"left"	"posterior"
"Sub1_White_fore.avg"	1	"P8/T6"	"N170"	147	-3.6129	1	"White"	"fore"	"right"	"posterior"
"Sub1_White_fore.avg"	1	"TP7"	"N170"	167	-1.745605	1	"White"	"fore"	"left"	"anterior"
"Sub1_White_fore.avg"	1	"TP8"	"N170"	147	-3.747177	1	"White"	"fore"	"right"	"anterior"
"Sub1_White_fore.avg"	1	"P7/T5"	"N170"	172	-2.291107	1	"White"	"fore"	"left"	"posterior"
"Sub2_Black_eyes.avg"	1	"P8/T6"	"N170"	162	-5.749725	2	"Black"	"eyes"	"right"	"posterior"
