[Electrode Labels]
[      FZ]	[     FC3]	[     FCZ]	[     FC4]	[      C3]	[      CZ]	[      C4]	[     CP3]	[     CPZ]	[     CP4]	[      P3]	[      PZ]	[      P4]	[      OZ]	[     FP1]	[     FP2]	[      A2]	[   P8/T6]	[     TP7]	[     TP8]	[   P7/T5]	[    VEOG]	[    HEOG]	[    Nose]	
[Average Data]
    -0.0404	    -0.0267	    -0.0884	    -0.0202	     0.0141	    -0.0664	     0.0095	     0.0272	     0.0424	    -0.0034	     0.0390	     0.0992	     0.1173	     0.1135	    -0.2639	     0.0742	     0.1293	     0.1920	     0.0883	     0.1984	     0.1087	    -0.9942	     0.0858	    -0.1542	
    -0.0373	    -0.0005	    -0.0793	    -0.0203	     0.0388	    -0.0485	     0.0141	     0.0495	     0.0617	     0.0008	     0.0534	     0.1154	     0.1234	     0.1437	    -0.2773	     0.0867	     0.1223	     0.1856	     0.0917	     0.1814	     0.1134	    -0.9981	     0.0548	    -0.1512	
    -0.0340	     0.0177	    -0.0690	    -0.0188	     0.0642	    -0.0388	     0.0160	     0.0666	     0.0752	     0.0066	     0.0655	     0.1333	     0.1269	     0.1607	    -0.2917	     0.0895	     0.1164	     0.1770	     0.0990	     0.1640	     0.1200	    -1.0068	     0.0282	    -0.1486	
    -0.0391	     0.0331	    -0.0642	    -0.0225	     0.0788	    -0.0287	     0.0170	     0.0803	     0.0831	     0.0092	     0.0803	     0.1418	     0.1315	     0.1602	    -0.3038	     0.0872	     0.1080	     0.1635	     0.1005	     0.1421	     0.1205	    -1.0174	     0.0206	    -0.1437	
    -0.0402	     0.0508	    -0.0549	    -0.0172	     0.0944	    -0.0173	     0.0199	     0.0973	     0.0905	     0.0125	     0.0905	     0.1555	     0.1364	     0.1465	    -0.3101	     0.0785	     0.1056	     0.1569	     0.1017	     0.1252	     0.1244	    -1.0280	     0.0302	    -0.1420	
    -0.0401	     0.0703	    -0.0473	    -0.0149	     0.1119	    -0.0107	     0.0231	     0.1092	     0.1013	     0.0204	     0.0995	     0.1624	     0.1403	     0.1200	    -0.3199	     0.0592	     0.1022	     0.1455	     0.1052	     0.1084	     0.1261	    -1.0315	     0.0532	    -0.1396	
    -0.0454	     0.0785	    -0.0466	    -0.0167	     0.1228	    -0.0072	     0.0264	     0.1220	     0.1063	     0.0228	     0.1042	     0.1670	     0.1402	     0.0824	    -0.3218	     0.0383	     0.1008	     0.1342	     0.1051	     0.0890	     0.1252	    -1.0268	     0.0873	    -0.1352	
    -0.0432	     0.0984	    -0.0372	    -0.0073	     0.1409	     0.0047	     0.0345	     0.1388	     0.1162	     0.0349	     0.1193	     0.1831	     0.1495	     0.0498	    -0.3148	     0.0229	     0.1088	     0.1294	     0.1120	     0.0819	     0.1307	    -1.0102	     0.1205	    -0.1395	
    -0.0428	     0.1143	    -0.0300	     0.0009	     0.1551	     0.0175	     0.0416	     0.1542	     0.1271	     0.0433	     0.1289	     0.1884	     0.1562	     0.0145	    -0.3072	     0.0033	     0.1135	     0.1256	     0.1141	     0.0732	     0.1322	    -0.9837	     0.1489	    -0.1396	
    -0.0448	     0.1324	    -0.0259	     0.0070	     0.1690	     0.0222	     0.0553	     0.1668	     0.1368	     0.0560	     0.1398	     0.2009	     0.1684	    -0.0123	    -0.2937	    -0.0143	     0.1226	     0.1199	     0.1192	     0.0735	     0.1395	    -0.9483	     0.1593	    -0.1422	
    -0.0464	     0.1442	    -0.0217	     0.0148	     0.1795	     0.0342	     0.0649	     0.1828	     0.1424	     0.0674	     0.1458	     0.2093	     0.1738	    -0.0299	    -0.2764	    -0.0326	     0.1251	     0.1163	     0.1194	     0.0676	     0.1451	    -0.9066	     0.1547	    -0.1427	
    -0.0505	     0.1504	    -0.0170	     0.0221	     0.1834	     0.0387	     0.0720	     0.1892	     0.1558	     0.0802	     0.1532	     0.2175	     0.1838	    -0.0346	    -0.2553	    -0.0480	     0.1281	     0.1153	     0.1223	     0.0672	     0.1462	    -0.8604	     0.1307	    -0.1419	
    -0.0546	     0.1576	    -0.0168	     0.0293	     0.1873	     0.0424	     0.0826	     0.1963	     0.1604	     0.0901	     0.1584	     0.2246	     0.1905	    -0.0234	    -0.2334	    -0.0660	     0.1298	     0.1090	     0.1245	     0.0650	     0.1491	    -0.8179	     0.0952	    -0.1397	
