Sweep Number	Channel	Mean(130.00->190.00ms)
1	FZ	1.755817
1	FC3	2.195459
1	FCZ	3.050540
1	FC4	3.106285
1	C3	3.754843
1	CZ	4.248498
1	C4	3.760346
1	CP3	3.565595
1	CPZ	4.693032
1	CP4	4.243504
1	P3	3.557850
1	PZ	4.675758
1	P4	3.609927
1	OZ	0.405961
1	FP1	4.202180
1	FP2	0.247082
1	A2	1.491155
1	P8/T6	-0.208560
1	TP7	2.875916
1	TP8	1.108430
1	P7/T5	1.586594
1	VEOG	-0.213961
1	HEOG	-0.040611
1	Nose	0.823081
1	FZ	0.102959
1	FC3	1.680118
1	FCZ	1.169724
1	FC4	1.682319
1	C3	3.036699
1	CZ	2.717165
1	C4	3.060013
1	CP3	3.443183
1	CPZ	3.817949
1	CP4	3.328667
1	P3	3.511723
1	PZ	3.824853
1	P4	2.712612
1	OZ	-2.099910
1	FP1	5.048958
1	FP2	-0.724317
1	A2	1.217401
1	P8/T6	-0.440304
1	TP7	1.893291
1	TP8	0.426696
1	P7/T5	1.104686
1	VEOG	-0.048578
1	HEOG	-0.021612
1	Nose	1.085275
1	FZ	0.749532
1	FC3	0.854505
1	FCZ	1.879057
1	FC4	1.878461
1	C3	0.964476
1	CZ	2.813404
1	C4	2.655096
1	CP3	0.953424
1	CPZ	3.029312
1	CP4	2.520819
1	P3	1.006346
1	PZ	2.432722
1	P4	1.680485
1	OZ	-0.985205
1	FP1	5.312118
1	FP2	-0.911738
1	A2	1.974950
1	P8/T6	-1.208221
1	TP7	0.839142
1	TP8	0.136203
1	P7/T5	0.641486
1	VEOG	-0.011144
1	HEOG	-0.029488
1	Nose	1.640862
1	FZ	2.572682
1	FC3	3.910152
1	FCZ	4.304329
1	FC4	3.599623
1	C3	4.262005
1	CZ	5.451940
1	C4	4.044680
1	CP3	3.613932
1	CPZ	5.459545
1	CP4	4.483933
1	P3	3.877283
1	PZ	4.832333
1	P4	4.039727
1	OZ	-1.325113
1	FP1	4.530510
1	FP2	0.258849
1	A2	0.797609
1	P8/T6	-0.192411
1	TP7	1.619933
1	TP8	1.125848
1	P7/T5	1.318810
1	VEOG	-0.170048
1	HEOG	-0.043875
1	Nose	3.504919
