[Electrode Labels]
[      FZ]	[     FC3]	[     FCZ]	[     FC4]	[      C3]	[      CZ]	[      C4]	[     CP3]	[     CPZ]	[     CP4]	[      P3]	[      PZ]	[      P4]	[      OZ]	[     FP1]	[     FP2]	[      A2]	[   P8/T6]	[     TP7]	[     TP8]	[   P7/T5]	[    VEOG]	[    HEOG]	[    Nose]	
[Average Data]
    -0.0167	     0.0595	    -0.0235	     0.1223	     0.0979	     0.0642	     0.1733	     0.1749	     0.2174	     0.2392	     0.2354	     0.3150	     0.2826	     0.0294	    -0.2245	    -0.1559	    -0.0573	     0.1952	     0.1414	     0.1213	     0.2066	    -0.6158	     0.0739	    -0.1991	
    -0.0123	     0.0702	    -0.0165	     0.1302	     0.1058	     0.0737	     0.1894	     0.1894	     0.2322	     0.2623	     0.2542	     0.3357	     0.3069	     0.0240	    -0.2120	    -0.1529	    -0.0513	     0.2101	     0.1440	     0.1229	     0.2210	    -0.6192	     0.0730	    -0.1867	
    -0.0097	     0.0709	    -0.0073	     0.1372	     0.1095	     0.0810	     0.2014	     0.1968	     0.2442	     0.2795	     0.2683	     0.3501	     0.3228	     0.0201	    -0.2000	    -0.1447	    -0.0469	     0.2208	     0.1470	     0.1245	     0.2333	    -0.6237	     0.0868	    -0.1732	
    -0.0093	     0.0670	    -0.0073	     0.1392	     0.1083	     0.0795	     0.2125	     0.2028	     0.2517	     0.2943	     0.2793	     0.3595	     0.3402	     0.0146	    -0.1854	    -0.1358	    -0.0422	     0.2279	     0.1446	     0.1249	     0.2426	    -0.6254	     0.1145	    -0.1559	
    -0.0092	     0.0680	    -0.0044	     0.1416	     0.1076	     0.0866	     0.2251	     0.2046	     0.2556	     0.3087	     0.2890	     0.3731	     0.3558	     0.0101	    -0.1673	    -0.1248	    -0.0402	     0.2393	     0.1411	     0.1195	     0.2523	    -0.6239	     0.1482	    -0.1424	
    -0.0125	     0.0595	    -0.0046	     0.1413	     0.1020	     0.0862	     0.2320	     0.2042	     0.2575	     0.3179	     0.2927	     0.3767	     0.3675	     0.0066	    -0.1540	    -0.1171	    -0.0384	     0.2468	     0.1336	     0.1190	     0.2567	    -0.6109	     0.1805	    -0.1273	
    -0.0146	     0.0555	    -0.0069	     0.1423	     0.1014	     0.0849	     0.2386	     0.2063	     0.2620	     0.3242	     0.2998	     0.3822	     0.3735	     0.0057	    -0.1376	    -0.1049	    -0.0401	     0.2491	     0.1289	     0.1187	     0.2654	    -0.5938	     0.2075	    -0.1069	
    -0.0242	     0.0472	    -0.0109	     0.1382	     0.0980	     0.0840	     0.2383	     0.2091	     0.2613	     0.3281	     0.3045	     0.3824	     0.3803	     0.0037	    -0.1230	    -0.0994	    -0.0415	     0.2551	     0.1226	     0.1147	     0.2706	    -0.5666	     0.2256	    -0.0938	
    -0.0295	     0.0403	    -0.0155	     0.1336	     0.0959	     0.0796	     0.2400	     0.2103	     0.2585	     0.3303	     0.3071	     0.3830	     0.3843	     0.0034	    -0.1144	    -0.0947	    -0.0447	     0.2524	     0.1165	     0.1086	     0.2703	    -0.5273	     0.2255	    -0.0842	
