[Electrode Labels]
[      FZ]	[     FC3]	[     FCZ]	[     FC4]	[      C3]	[      CZ]	[      C4]	[     CP3]	[     CPZ]	[     CP4]	[      P3]	[      PZ]	[      P4]	[      OZ]	[     FP1]	[     FP2]	[      A2]	[   P8/T6]	[     TP7]	[     TP8]	[   P7/T5]	[    VEOG]	[    HEOG]	[    Nose]	
[Average Data]
     0.1643	     0.1867	     0.0970	    -0.0004	     0.1190	    -0.0102	    -0.0249	     0.0625	    -0.1353	    -0.0953	     0.0251	    -0.1339	    -0.0886	    -0.0506	     0.1007	    -0.0118	     0.0980	    -0.0137	     0.1865	    -0.0511	     0.1388	    -1.4026	    -0.2192	     0.0190	
     0.1794	     0.2043	     0.1082	     0.0088	     0.1338	    -0.0001	    -0.0185	     0.0816	    -0.1181	    -0.0840	     0.0429	    -0.1183	    -0.0794	    -0.0557	     0.0963	    -0.0026	     0.1193	    -0.0188	     0.1936	    -0.0535	     0.1508	    -1.4088	    -0.2735	     0.0149	
     0.1895	     0.2202	     0.1177	     0.0119	     0.1504	     0.0111	    -0.0142	     0.0976	    -0.1024	    -0.0720	     0.0566	    -0.1046	    -0.0696	    -0.0601	     0.0925	    -0.0013	     0.1373	    -0.0243	     0.2008	    -0.0560	     0.1610	    -1.4149	    -0.3303	     0.0089	
     0.2008	     0.2315	     0.1202	     0.0138	     0.1611	     0.0220	    -0.0127	     0.1148	    -0.0858	    -0.0638	     0.0677	    -0.0912	    -0.0635	    -0.0620	     0.0869	    -0.0015	     0.1472	    -0.0264	     0.2037	    -0.0585	     0.1702	    -1.4193	    -0.3783	     0.0092	
     0.2076	     0.2336	     0.1273	     0.0174	     0.1683	     0.0321	    -0.0032	     0.1219	    -0.0747	    -0.0547	     0.0801	    -0.0832	    -0.0557	    -0.0632	     0.0760	    -0.0024	     0.1522	    -0.0291	     0.2043	    -0.0540	     0.1752	    -1.4216	    -0.4050	     0.0064	
     0.2153	     0.2381	     0.1326	     0.0200	     0.1752	     0.0452	     0.0048	     0.1344	    -0.0554	    -0.0421	     0.0885	    -0.0643	    -0.0446	    -0.0601	     0.0765	    -0.0025	     0.1473	    -0.0285	     0.2032	    -0.0487	     0.1810	    -1.4167	    -0.4072	     0.0108	
     0.2184	     0.2345	     0.1389	     0.0225	     0.1764	     0.0564	     0.0121	     0.1442	    -0.0377	    -0.0284	     0.1011	    -0.0488	    -0.0271	    -0.0572	     0.0741	    -0.0004	     0.1328	    -0.0268	     0.2070	    -0.0356	     0.1922	    -1.4003	    -0.3802	     0.0159	
     0.2221	     0.2298	     0.1424	     0.0343	     0.1771	     0.0688	     0.0228	     0.1507	    -0.0176	    -0.0120	     0.1127	    -0.0334	    -0.0152	    -0.0532	     0.0685	    -0.0030	     0.1185	    -0.0197	     0.2098	    -0.0220	     0.2022	    -1.3673	    -0.3326	     0.0258	
     0.2209	     0.2212	     0.1446	     0.0411	     0.1761	     0.0815	     0.0329	     0.1601	    -0.0026	     0.0029	     0.1240	    -0.0168	    -0.0008	    -0.0512	     0.0714	     0.0002	     0.1020	    -0.0155	     0.2112	    -0.0094	     0.2070	    -1.3249	    -0.2699	     0.0369	
     0.2188	     0.2114	     0.1495	     0.0502	     0.1741	     0.0871	     0.0423	     0.1642	     0.0172	     0.0140	     0.1341	    -0.0022	     0.0079	    -0.0466	     0.0717	     0.0009	     0.0834	    -0.0141	     0.2100	     0.0034	     0.2136	    -1.2741	    -0.2046	     0.0412	
     0.2132	     0.2000	     0.1463	     0.0559	     0.1684	     0.1002	     0.0542	     0.1703	     0.0321	     0.0256	     0.1454	     0.0140	     0.0241	    -0.0432	     0.0690	     0.0031	     0.0692	    -0.0097	     0.2123	     0.0135	     0.2234	    -1.2137	    -0.1428	     0.0518	
     0.2048	     0.1864	     0.1494	     0.0628	     0.1632	     0.1099	     0.0635	     0.1714	     0.0490	     0.0390	     0.1526	     0.0247	     0.0358	    -0.0424	     0.0685	     0.0021	     0.0570	    -0.0074	     0.2140	     0.0194	     0.2315	    -1.1551	    -0.0897	     0.0566	
     0.1951	     0.1759	     0.1508	     0.0689	     0.1573	     0.1162	     0.0698	     0.1729	     0.0650	     0.0461	     0.1580	     0.0372	     0.0431	    -0.0418	     0.0646	    -0.0026	     0.0500	    -0.0047	     0.2226	     0.0276	     0.2393	    -1.0961	    -0.0616	     0.0655	
     0.1868	     0.1632	     0.1506	     0.0754	     0.1521	     0.1313	     0.0793	     0.1763	     0.0796	     0.0590	     0.1667	     0.0530	     0.0525	    -0.0410	     0.0585	    -0.0048	     0.0451	    -0.0010	     0.2334	     0.0320	     0.2499	    -1.0469	    -0.0520	     0.0702	
     0.1757	     0.1527	     0.1485	     0.0803	     0.1452	     0.1378	     0.0835	     0.1779	     0.0919	     0.0664	     0.1722	     0.0613	     0.0581	    -0.0403	     0.0488	    -0.0108	     0.0489	     0.0019	     0.2400	     0.0335	     0.2529	    -0.9973	    -0.0606	     0.0692	
     0.1583	     0.1403	     0.1427	     0.0793	     0.1388	     0.1415	     0.0911	     0.1755	     0.1035	     0.0709	     0.1746	     0.0694	     0.0628	    -0.0433	     0.0364	    -0.0204	     0.0554	     0.0019	     0.2492	     0.0333	     0.2576	    -0.9566	    -0.0878	     0.0639	
     0.1479	     0.1317	     0.1411	     0.0793	     0.1357	     0.1498	     0.0982	     0.1709	     0.1141	     0.0774	     0.1743	     0.0799	     0.0697	    -0.0464	     0.0203	    -0.0309	     0.0684	     0.0005	     0.2478	     0.0325	     0.2593	    -0.9236	    -0.1272	     0.0594	
     0.1334	     0.1206	     0.1376	     0.0771	     0.1349	     0.1539	     0.1005	     0.1651	     0.1243	     0.0759	     0.1729	     0.0869	     0.0666	    -0.0478	    -0.0037	    -0.0446	     0.0810	     0.0009	     0.2519	     0.0293	     0.2619	    -0.8967	    -0.1796	     0.0482	
     0.1189	     0.1132	     0.1312	     0.0661	     0.1269	     0.1510	     0.0999	     0.1556	     0.1261	     0.0737	     0.1714	     0.0873	     0.0652	    -0.0514	    -0.0271	    -0.0661	     0.0976	    -0.0048	     0.2514	     0.0243	     0.2609	    -0.8774	    -0.2364	     0.0336	
     0.1041	     0.1015	     0.1265	     0.0596	     0.1215	     0.1508	     0.0934	     0.1497	     0.1305	     0.0726	     0.1683	     0.0880	     0.0609	    -0.0524	    -0.0521	    -0.0835	     0.1124	    -0.0043	     0.2456	     0.0227	     0.2532	    -0.8670	    -0.2867	     0.0207	
     0.0877	     0.0939	     0.1209	     0.0482	     0.1098	     0.1492	     0.0898	     0.1391	     0.1265	     0.0717	     0.1622	     0.0875	     0.0616	    -0.0533	    -0.0711	    -0.1007	     0.1229	    -0.0069	     0.2376	     0.0181	     0.2450	    -0.8588	    -0.3300	     0.0017	
     0.0768	     0.0843	     0.1144	     0.0372	     0.1001	     0.1462	     0.0832	     0.1269	     0.1256	     0.0660	     0.1506	     0.0822	     0.0565	    -0.0536	    -0.0920	    -0.1122	     0.1296	    -0.0077	     0.2347	     0.0159	     0.2319	    -0.8579	    -0.3499	    -0.0180	
     0.0648	     0.0749	     0.1100	     0.0263	     0.0932	     0.1420	     0.0719	     0.1135	     0.1246	     0.0580	     0.1442	     0.0811	     0.0537	    -0.0518	    -0.1118	    -0.1232	     0.1278	    -0.0087	     0.2298	     0.0161	     0.2247	    -0.8561	    -0.3521	    -0.0369	
     0.0531	     0.0674	     0.0991	     0.0193	     0.0829	     0.1356	     0.0654	     0.1023	     0.1190	     0.0545	     0.1343	     0.0723	     0.0502	    -0.0514	    -0.1266	    -0.1287	     0.1234	    -0.0052	     0.2241	     0.0170	     0.2116	    -0.8492	    -0.3231	    -0.0588	
     0.0446	     0.0635	     0.0976	     0.0070	     0.0756	     0.1319	     0.0553	     0.0913	     0.1156	     0.0447	     0.1260	     0.0687	     0.0478	    -0.0514	    -0.1376	    -0.1341	     0.1153	    -0.0027	     0.2198	     0.0205	     0.2050	    -0.8302	    -0.2771	    -0.0729	
