[Electrode Labels]
[      FZ]	[     FC3]	[     FCZ]	[     FC4]	[      C3]	[      CZ]	[      C4]	[     CP3]	[     CPZ]	[     CP4]	[      P3]	[      PZ]	[      P4]	[      OZ]	[     FP1]	[     FP2]	[      A2]	[   P8/T6]	[     TP7]	[     TP8]	[   P7/T5]	[    VEOG]	[    HEOG]	[    Nose]	
[Average Data]
    -0.1156	    -0.0908	    -0.1585	    -0.1529	    -0.0607	    -0.1601	    -0.1344	    -0.0213	    -0.0619	    -0.1030	     0.0002	    -0.0079	     0.0282	    -0.0390	    -0.2976	    -0.1116	     0.0476	     0.0821	     0.0123	     0.0755	     0.0685	    -1.4194	    -0.0205	    -0.1229	
    -0.1135	    -0.0658	    -0.1496	    -0.1535	    -0.0365	    -0.1438	    -0.1280	     0.0014	    -0.0397	    -0.0964	     0.0166	     0.0121	     0.0384	    -0.0432	    -0.3067	    -0.0991	     0.0494	     0.0733	     0.0189	     0.0567	     0.0773	    -1.4079	    -0.0636	    -0.1259	
    -0.1143	    -0.0502	    -0.1421	    -0.1533	    -0.0109	    -0.1294	    -0.1229	     0.0200	    -0.0245	    -0.0872	     0.0314	     0.0302	     0.0428	    -0.0441	    -0.3167	    -0.0952	     0.0523	     0.0647	     0.0254	     0.0393	     0.0842	    -1.3995	    -0.0940	    -0.1287	
    -0.1185	    -0.0345	    -0.1373	    -0.1513	     0.0071	    -0.1159	    -0.1156	     0.0373	    -0.0079	    -0.0774	     0.0508	     0.0461	     0.0520	    -0.0448	    -0.3229	    -0.0919	     0.0552	     0.0528	     0.0307	     0.0170	     0.0906	    -1.3921	    -0.0982	    -0.1307	
    -0.1217	    -0.0175	    -0.1302	    -0.1436	     0.0234	    -0.1061	    -0.1077	     0.0527	     0.0012	    -0.0697	     0.0593	     0.0604	     0.0579	    -0.0454	    -0.3285	    -0.0983	     0.0594	     0.0451	     0.0305	    -0.0068	     0.0931	    -1.3857	    -0.0764	    -0.1367	
    -0.1224	    -0.0008	    -0.1210	    -0.1354	     0.0411	    -0.0956	    -0.0946	     0.0679	     0.0172	    -0.0552	     0.0720	     0.0706	     0.0654	    -0.0446	    -0.3379	    -0.1114	     0.0640	     0.0348	     0.0339	    -0.0290	     0.0946	    -1.3776	    -0.0365	    -0.1444	
    -0.1287	     0.0081	    -0.1213	    -0.1331	     0.0554	    -0.0891	    -0.0829	     0.0814	     0.0251	    -0.0449	     0.0764	     0.0786	     0.0695	    -0.0464	    -0.3427	    -0.1289	     0.0716	     0.0265	     0.0351	    -0.0514	     0.0970	    -1.3653	     0.0189	    -0.1545	
    -0.1319	     0.0190	    -0.1167	    -0.1235	     0.0693	    -0.0814	    -0.0741	     0.0932	     0.0330	    -0.0339	     0.0849	     0.0869	     0.0746	    -0.0479	    -0.3479	    -0.1479	     0.0796	     0.0160	     0.0362	    -0.0724	     0.0961	    -1.3480	     0.0737	    -0.1699	
    -0.1357	     0.0291	    -0.1119	    -0.1122	     0.0806	    -0.0685	    -0.0624	     0.1055	     0.0447	    -0.0199	     0.0926	     0.0920	     0.0818	    -0.0503	    -0.3484	    -0.1671	     0.0868	     0.0119	     0.0367	    -0.0902	     0.0955	    -1.3230	     0.1222	    -0.1851	
    -0.1455	     0.0357	    -0.1160	    -0.1084	     0.0871	    -0.0702	    -0.0485	     0.1082	     0.0487	    -0.0110	     0.0936	     0.0967	     0.0871	    -0.0509	    -0.3533	    -0.1885	     0.0962	     0.0021	     0.0342	    -0.1020	     0.0929	    -1.2933	     0.1501	    -0.1987	
    -0.1525	     0.0408	    -0.1142	    -0.0962	     0.0937	    -0.0579	    -0.0323	     0.1210	     0.0537	     0.0057	     0.0945	     0.1024	     0.0952	    -0.0504	    -0.3503	    -0.2078	     0.1004	    -0.0017	     0.0314	    -0.1110	     0.0952	    -1.2549	     0.1604	    -0.2106	
    -0.1603	     0.0387	    -0.1132	    -0.0921	     0.0941	    -0.0577	    -0.0230	     0.1227	     0.0653	     0.0160	     0.0936	     0.1063	     0.1005	    -0.0520	    -0.3496	    -0.2245	     0.1067	    -0.0050	     0.0307	    -0.1185	     0.0914	    -1.2101	     0.1462	    -0.2225	
    -0.1670	     0.0410	    -0.1127	    -0.0809	     0.0943	    -0.0541	    -0.0070	     0.1260	     0.0723	     0.0293	     0.0967	     0.1124	     0.1091	    -0.0499	    -0.3463	    -0.2392	     0.1092	    -0.0079	     0.0297	    -0.1199	     0.0901	    -1.1639	     0.1145	    -0.2314	
    -0.1704	     0.0377	    -0.1126	    -0.0652	     0.0956	    -0.0497	     0.0045	     0.1281	     0.0781	     0.0413	     0.1009	     0.1203	     0.1163	    -0.0489	    -0.3401	    -0.2520	     0.1100	    -0.0071	     0.0314	    -0.1200	     0.0899	    -1.1147	     0.0751	    -0.2361	
    -0.1724	     0.0398	    -0.1073	    -0.0539	     0.0989	    -0.0392	     0.0219	     0.1325	     0.0884	     0.0602	     0.1067	     0.1306	     0.1305	    -0.0504	    -0.3343	    -0.2605	     0.1077	     0.0008	     0.0345	    -0.1196	     0.0938	    -1.0661	     0.0322	    -0.2384	
    -0.1798	     0.0336	    -0.1091	    -0.0470	     0.0945	    -0.0385	     0.0363	     0.1305	     0.0942	     0.0709	     0.1052	     0.1355	     0.1391	    -0.0485	    -0.3322	    -0.2734	     0.1082	     0.0052	     0.0331	    -0.1136	     0.0903	    -1.0219	    -0.0090	    -0.2450	
    -0.1788	     0.0383	    -0.1067	    -0.0363	     0.0945	    -0.0311	     0.0531	     0.1356	     0.1056	     0.0855	     0.1083	     0.1463	     0.1553	    -0.0445	    -0.3279	    -0.2785	     0.1013	     0.0148	     0.0331	    -0.1065	     0.0898	    -0.9785	    -0.0475	    -0.2432	
    -0.1844	     0.0324	    -0.1050	    -0.0297	     0.0918	    -0.0283	     0.0597	     0.1323	     0.1132	     0.0988	     0.1082	     0.1597	     0.1681	    -0.0424	    -0.3280	    -0.2873	     0.0946	     0.0275	     0.0317	    -0.0988	     0.0864	    -0.9384	    -0.0743	    -0.2425	
    -0.1797	     0.0294	    -0.1024	    -0.0253	     0.0864	    -0.0222	     0.0671	     0.1279	     0.1209	     0.1116	     0.1124	     0.1656	     0.1799	    -0.0379	    -0.3213	    -0.2952	     0.0840	     0.0420	     0.0320	    -0.0843	     0.0868	    -0.9064	    -0.0979	    -0.2379	
    -0.1795	     0.0261	    -0.1023	    -0.0255	     0.0795	    -0.0188	     0.0715	     0.1250	     0.1272	     0.1195	     0.1129	     0.1731	     0.1950	    -0.0331	    -0.3209	    -0.3025	     0.0747	     0.0535	     0.0281	    -0.0754	     0.0782	    -0.8733	    -0.0995	    -0.2377	
    -0.1775	     0.0194	    -0.1055	    -0.0236	     0.0692	    -0.0182	     0.0750	     0.1171	     0.1257	     0.1292	     0.1073	     0.1767	     0.2004	    -0.0300	    -0.3213	    -0.3073	     0.0608	     0.0649	     0.0226	    -0.0623	     0.0711	    -0.8492	    -0.0834	    -0.2347	
    -0.1774	     0.0150	    -0.1045	    -0.0241	     0.0582	    -0.0173	     0.0784	     0.1076	     0.1273	     0.1352	     0.1006	     0.1773	     0.2124	    -0.0195	    -0.3194	    -0.3104	     0.0429	     0.0807	     0.0162	    -0.0478	     0.0614	    -0.8259	    -0.0388	    -0.2300	
    -0.1761	     0.0060	    -0.1049	    -0.0221	     0.0488	    -0.0229	     0.0810	     0.0993	     0.1260	     0.1427	     0.0895	     0.1763	     0.2172	    -0.0134	    -0.3135	    -0.3080	     0.0272	     0.0949	     0.0049	    -0.0305	     0.0460	    -0.8048	     0.0281	    -0.2240	
    -0.1731	    -0.0032	    -0.1089	    -0.0269	     0.0365	    -0.0228	     0.0805	     0.0834	     0.1252	     0.1463	     0.0821	     0.1734	     0.2227	    -0.0054	    -0.3029	    -0.3053	     0.0082	     0.1081	    -0.0001	    -0.0198	     0.0322	    -0.7821	     0.0999	    -0.2146	
    -0.1726	    -0.0200	    -0.1129	    -0.0273	     0.0195	    -0.0239	     0.0788	     0.0750	     0.1237	     0.1536	     0.0741	     0.1715	     0.2271	     0.0021	    -0.2966	    -0.3023	    -0.0086	     0.1202	    -0.0086	    -0.0063	     0.0173	    -0.7545	     0.1764	    -0.2098	
    -0.1708	    -0.0335	    -0.1187	    -0.0257	     0.0057	    -0.0323	     0.0782	     0.0588	     0.1147	     0.1525	     0.0631	     0.1640	     0.2244	     0.0096	    -0.2923	    -0.2935	    -0.0262	     0.1308	    -0.0198	     0.0012	     0.0021	    -0.7211	     0.2378	    -0.2039	
