[Electrode Labels]
[      FZ]	[     FC3]	[     FCZ]	[     FC4]	[      C3]	[      CZ]	[      C4]	[     CP3]	[     CPZ]	[     CP4]	[      P3]	[      PZ]	[      P4]	[      OZ]	[     FP1]	[     FP2]	[      A2]	[   P8/T6]	[     TP7]	[     TP8]	[   P7/T5]	[    VEOG]	[    HEOG]	[    Nose]	
[Average Data]
     0.0882	     0.1680	     0.0968	     0.2697	     0.2180	     0.2155	     0.3084	     0.3182	     0.3755	     0.3892	     0.4181	     0.4785	     0.4456	     0.2231	    -0.0451	     0.0655	     0.1739	     0.3625	     0.2905	     0.2611	     0.4343	    -1.3494	     0.0934	    -0.1908	
     0.0858	     0.1683	     0.0975	     0.2736	     0.2176	     0.2185	     0.3246	     0.3255	     0.3861	     0.4069	     0.4297	     0.4914	     0.4626	     0.2295	    -0.0391	     0.0650	     0.1708	     0.3678	     0.2861	     0.2609	     0.4392	    -1.3234	     0.0931	    -0.1779	
     0.0805	     0.1555	     0.0950	     0.2722	     0.2112	     0.2162	     0.3288	     0.3235	     0.3887	     0.4176	     0.4314	     0.4943	     0.4678	     0.2229	    -0.0393	     0.0645	     0.1643	     0.3670	     0.2767	     0.2554	     0.4356	    -1.2965	     0.1086	    -0.1615	
     0.0732	     0.1408	     0.0864	     0.2660	     0.1995	     0.2067	     0.3340	     0.3201	     0.3875	     0.4240	     0.4315	     0.4941	     0.4731	     0.2067	    -0.0386	     0.0606	     0.1569	     0.3634	     0.2659	     0.2527	     0.4293	    -1.2658	     0.1414	    -0.1465	
     0.0648	     0.1266	     0.0791	     0.2595	     0.1872	     0.2040	     0.3395	     0.3137	     0.3836	     0.4282	     0.4302	     0.4987	     0.4789	     0.1818	    -0.0362	     0.0591	     0.1486	     0.3616	     0.2523	     0.2400	     0.4247	    -1.2357	     0.1833	    -0.1357	
     0.0520	     0.1050	     0.0686	     0.2518	     0.1704	     0.1939	     0.3356	     0.3033	     0.3753	     0.4266	     0.4249	     0.4913	     0.4790	     0.1423	    -0.0423	     0.0481	     0.1393	     0.3594	     0.2375	     0.2324	     0.4164	    -1.1951	     0.2238	    -0.1241	
     0.0343	     0.0833	     0.0519	     0.2331	     0.1490	     0.1778	     0.3255	     0.2890	     0.3643	     0.4178	     0.4148	     0.4817	     0.4667	     0.0911	    -0.0499	     0.0385	     0.1225	     0.3446	     0.2192	     0.2204	     0.4035	    -1.1483	     0.2608	    -0.1091	
     0.0158	     0.0631	     0.0393	     0.2187	     0.1364	     0.1668	     0.3139	     0.2784	     0.3516	     0.4083	     0.4032	     0.4685	     0.4587	     0.0386	    -0.0555	     0.0265	     0.1089	     0.3361	     0.2046	     0.2070	     0.3899	    -1.0894	     0.2844	    -0.0982	
     0.0045	     0.0470	     0.0259	     0.2055	     0.1219	     0.1538	     0.3080	     0.2695	     0.3401	     0.3997	     0.3935	     0.4580	     0.4503	    -0.0083	    -0.0603	     0.0117	     0.0972	     0.3240	     0.1921	     0.1934	     0.3780	    -1.0156	     0.2857	    -0.0909	
