"Electrode"	"AvgAmp"	"Condition"	"Subject"	"faceRace"	"FixArea"
"FZ"	2.469584	"Black_eyes"	1	"Black"	"eyes"
"FC3"	2.540343	"Black_eyes"	1	"Black"	"eyes"
"FCZ"	4.094735	"Black_eyes"	1	"Black"	"eyes"
"FC4"	3.559008	"Black_eyes"	1	"Black"	"eyes"
"C3"	4.54022	"Black_eyes"	1	"Black"	"eyes"
"CZ"	5.41842	"Black_eyes"	1	"Black"	"eyes"
"C4"	4.344794	"Black_eyes"	1	"Black"	"eyes"
"CP3"	5.242477	"Black_eyes"	1	"Black"	"eyes"
"CPZ"	5.897013	"Black_eyes"	1	"Black"	"eyes"
"CP4"	5.29474	"Black_eyes"	1	"Black"	"eyes"
"P3"	4.493552	"Black_eyes"	1	"Black"	"eyes"
"PZ"	4.697008	"Black_eyes"	1	"Black"	"eyes"
"P4"	4.600381	"Black_eyes"	1	"Black"	"eyes"
"OZ"	2.648291	"Black_eyes"	1	"Black"	"eyes"
"FP1"	1.858359	"Black_eyes"	1	"Black"	"eyes"
"FP2"	-0.443773	"Black_eyes"	1	"Black"	"eyes"
"A2"	-0.805862	"Black_eyes"	1	"Black"	"eyes"
"P8/T6"	1.747054	"Black_eyes"	1	"Black"	"eyes"
"TP7"	0.891365	"Black_eyes"	1	"Black"	"eyes"
"TP8"	1.699793	"Black_eyes"	1	"Black"	"eyes"
"P7/T5"	0.793684	"Black_eyes"	1	"Black"	"eyes"
"VEOG"	-4.644153	"Black_eyes"	1	"Black"	"eyes"
"HEOG"	-0.296068	"Black_eyes"	1	"Black"	"eyes"
"Nose"	3.056126	"Black_eyes"	1	"Black"	"eyes"
"FZ"	1.886946	"Black_fore"	1	"Black"	"fore"
"FC3"	3.256428	"Black_fore"	1	"Black"	"fore"
"FCZ"	2.248905	"Black_fore"	1	"Black"	"fore"
"FC4"	3.327757	"Black_fore"	1	"Black"	"fore"
"C3"	4.123383	"Black_fore"	1	"Black"	"fore"
"CZ"	3.523768	"Black_fore"	1	"Black"	"fore"
"C4"	3.965473	"Black_fore"	1	"Black"	"fore"
"CP3"	3.81598	"Black_fore"	1	"Black"	"fore"
"CPZ"	3.839651	"Black_fore"	1	"Black"	"fore"
"CP4"	4.6211	"Black_fore"	1	"Black"	"fore"
"P3"	3.856993	"Black_fore"	1	"Black"	"fore"
"PZ"	4.709074	"Black_fore"	1	"Black"	"fore"
"P4"	4.600657	"Black_fore"	1	"Black"	"fore"
"OZ"	-2.067514	"Black_fore"	1	"Black"	"fore"
"FP1"	2.787002	"Black_fore"	1	"Black"	"fore"
"FP2"	-0.245125	"Black_fore"	1	"Black"	"fore"
"A2"	-0.414743	"Black_fore"	1	"Black"	"fore"
"P8/T6"	1.794605	"Black_fore"	1	"Black"	"fore"
"TP7"	1.164927	"Black_fore"	1	"Black"	"fore"
"TP8"	0.840373	"Black_fore"	1	"Black"	"fore"
"P7/T5"	1.694796	"Black_fore"	1	"Black"	"fore"
"VEOG"	-4.738251	"Black_fore"	1	"Black"	"fore"
"HEOG"	-0.60759	"Black_fore"	1	"Black"	"fore"
"Nose"	2.738205	"Black_fore"	1	"Black"	"fore"
"FZ"	7.066956	"White_eyes"	1	"White"	"eyes"
"FC3"	7.205922	"White_eyes"	1	"White"	"eyes"
"FCZ"	8.664019	"White_eyes"	1	"White"	"eyes"
"FC4"	7.733507	"White_eyes"	1	"White"	"eyes"
"C3"	8.514172	"White_eyes"	1	"White"	"eyes"
"CZ"	9.433534	"White_eyes"	1	"White"	"eyes"
"C4"	9.083333	"White_eyes"	1	"White"	"eyes"
"CP3"	7.754261	"White_eyes"	1	"White"	"eyes"
"CPZ"	10.583811	"White_eyes"	1	"White"	"eyes"
"CP4"	9.762645	"White_eyes"	1	"White"	"eyes"
"P3"	7.088114	"White_eyes"	1	"White"	"eyes"
"PZ"	9.979926	"White_eyes"	1	"White"	"eyes"
"P4"	9.426146	"White_eyes"	1	"White"	"eyes"
"OZ"	1.843896	"White_eyes"	1	"White"	"eyes"
"FP1"	6.951096	"White_eyes"	1	"White"	"eyes"
"FP2"	0.293849	"White_eyes"	1	"White"	"eyes"
"A2"	-1.527277	"White_eyes"	1	"White"	"eyes"
"P8/T6"	4.682378	"White_eyes"	1	"White"	"eyes"
"TP7"	2.7959	"White_eyes"	1	"White"	"eyes"
"TP8"	3.970289	"White_eyes"	1	"White"	"eyes"
"P7/T5"	2.473572	"White_eyes"	1	"White"	"eyes"
"VEOG"	-3.44801	"White_eyes"	1	"White"	"eyes"
"HEOG"	3.529213	"White_eyes"	1	"White"	"eyes"
"Nose"	4.380939	"White_eyes"	1	"White"	"eyes"
"FZ"	1.334841	"White_fore"	1	"White"	"fore"
"FC3"	2.106902	"White_fore"	1	"White"	"fore"
"FCZ"	2.142851	"White_fore"	1	"White"	"fore"
"FC4"	2.505548	"White_fore"	1	"White"	"fore"
"C3"	3.223095	"White_fore"	1	"White"	"fore"
"CZ"	2.715589	"White_fore"	1	"White"	"fore"
"C4"	3.605033	"White_fore"	1	"White"	"fore"
"CP3"	3.20723	"White_fore"	1	"White"	"fore"
"CPZ"	3.152547	"White_fore"	1	"White"	"fore"
"CP4"	4.311862	"White_fore"	1	"White"	"fore"
"P3"	2.594324	"White_fore"	1	"White"	"fore"
"PZ"	4.056253	"White_fore"	1	"White"	"fore"
"P4"	4.450173	"White_fore"	1	"White"	"fore"
"OZ"	-1.639649	"White_fore"	1	"White"	"fore"
"FP1"	0.339322	"White_fore"	1	"White"	"fore"
"FP2"	-3.182758	"White_fore"	1	"White"	"fore"
"A2"	1.002861	"White_fore"	1	"White"	"fore"
"P8/T6"	2.081079	"White_fore"	1	"White"	"fore"
"TP7"	1.05805	"White_fore"	1	"White"	"fore"
"TP8"	0.485566	"White_fore"	1	"White"	"fore"
"P7/T5"	1.890954	"White_fore"	1	"White"	"fore"
"VEOG"	-4.312284	"White_fore"	1	"White"	"fore"
"HEOG"	-1.802432	"White_fore"	1	"White"	"fore"
"Nose"	2.765631	"White_fore"	1	"White"	"fore"
"FZ"	1.755817	"Black_eyes"	2	"Black"	"eyes"
"FC3"	2.195459	"Black_eyes"	2	"Black"	"eyes"
"FCZ"	3.05054	"Black_eyes"	2	"Black"	"eyes"
"FC4"	3.106285	"Black_eyes"	2	"Black"	"eyes"
"C3"	3.754843	"Black_eyes"	2	"Black"	"eyes"
"CZ"	4.248498	"Black_eyes"	2	"Black"	"eyes"
"C4"	3.760346	"Black_eyes"	2	"Black"	"eyes"
"CP3"	3.565595	"Black_eyes"	2	"Black"	"eyes"
"CPZ"	4.693032	"Black_eyes"	2	"Black"	"eyes"
"CP4"	4.243504	"Black_eyes"	2	"Black"	"eyes"
"P3"	3.55785	"Black_eyes"	2	"Black"	"eyes"
"PZ"	4.675758	"Black_eyes"	2	"Black"	"eyes"
"P4"	3.609927	"Black_eyes"	2	"Black"	"eyes"
"OZ"	0.405961	"Black_eyes"	2	"Black"	"eyes"
"FP1"	4.20218	"Black_eyes"	2	"Black"	"eyes"
"FP2"	0.247082	"Black_eyes"	2	"Black"	"eyes"
"A2"	1.491155	"Black_eyes"	2	"Black"	"eyes"
"P8/T6"	-0.20856	"Black_eyes"	2	"Black"	"eyes"
"TP7"	2.875916	"Black_eyes"	2	"Black"	"eyes"
"TP8"	1.10843	"Black_eyes"	2	"Black"	"eyes"
"P7/T5"	1.586594	"Black_eyes"	2	"Black"	"eyes"
"VEOG"	-0.213961	"Black_eyes"	2	"Black"	"eyes"
"HEOG"	-0.040611	"Black_eyes"	2	"Black"	"eyes"
"Nose"	0.823081	"Black_eyes"	2	"Black"	"eyes"
"FZ"	0.102959	"Black_fore"	2	"Black"	"fore"
