Sweep Number	Channel	Mean(130.00->190.00ms)
1	FZ	3.265064
1	FC3	3.661405
1	FCZ	4.781132
1	FC4	4.804941
1	C3	3.652757
1	CZ	5.530573
1	C4	5.114298
1	CP3	2.749563
1	CPZ	5.083918
1	CP4	6.192975
1	P3	2.469295
1	PZ	6.292594
1	P4	6.750368
1	Oz	0.814638
1	FP1	2.805325
1	FP2	-0.059187
1	A2	-1.633431
1	P8/T6	4.824483
1	TP7	-0.044475
1	TP8	3.746311
1	P7/T5	-0.403697
1	VEOG	2.149718
1	HEOG	-0.037399
1	Nose	-0.369330
1	FZ	-0.224108
1	FC3	-0.490192
1	FCZ	0.228499
1	FC4	1.597559
1	C3	0.534042
1	CZ	1.028273
1	C4	2.311624
1	CP3	0.908433
1	CPZ	2.060000
1	CP4	3.146935
1	P3	2.461381
1	PZ	3.686948
1	P4	3.925751
1	Oz	1.442709
1	FP1	2.141201
1	FP2	1.805625
1	A2	-2.849530
1	P8/T6	3.419927
1	TP7	-1.660377
1	TP8	2.966326
1	P7/T5	-0.012470
1	VEOG	-2.763879
1	HEOG	-0.728175
1	Nose	-0.772259
1	FZ	-1.413971
1	FC3	-1.852652
1	FCZ	-1.329949
1	FC4	-0.088296
1	C3	-1.468315
1	CZ	0.326800
1	C4	1.914464
1	CP3	-2.477900
1	CPZ	0.167011
1	CP4	2.447240
1	P3	-1.824252
1	PZ	1.270692
1	P4	3.306128
1	Oz	2.177093
1	FP1	-2.906411
1	FP2	3.479281
1	A2	-4.358117
1	P8/T6	4.147474
1	TP7	-2.539565
1	TP8	3.030576
1	P7/T5	-2.405966
1	VEOG	5.477963
1	HEOG	2.442867
1	Nose	-3.576323
1	FZ	1.443281
1	FC3	2.449311
1	FCZ	4.199719
1	FC4	2.544716
1	C3	3.554147
1	CZ	4.854946
1	C4	3.890841
1	CP3	2.833032
1	CPZ	4.834084
1	CP4	4.658984
1	P3	3.812796
1	PZ	5.135658
1	P4	4.601500
1	Oz	-0.040223
1	FP1	-0.109763
1	FP2	-0.142382
1	A2	0.054331
1	P8/T6	2.168099
1	TP7	1.030494
1	TP8	1.392952
1	P7/T5	0.422343
1	VEOG	-0.913626
1	HEOG	1.854868
1	Nose	-2.009507
